   75  310
 310      .00000000E+00      .00000000E+00
 309      .00000000E+00      .18477400E-05
 308      .18477440E-05      .27418100E-05
 307      .64373016E-05      .11146100E-04
 306      .22172928E-04      .27698299E-03
 305      .31489134E-03      .12688000E-02
 304      .18764138E-02      .22392899E-02
 303      .56772232E-02      .37463901E-02
 302      .13224423E-01      .39586402E-02
 301      .24730265E-01      .16382301E-02
 300      .37874341E-01     -.62793499E-03
 299      .50390482E-01     -.86247898E-03
 298      .62044144E-01     -.83666999E-03
 297      .72861135E-01     -.52911002E-03
 296      .83149016E-01     -.62698103E-03
 295      .92809916E-01     -.47087698E-04
 294      .10242373E+00     -.30106300E-03
 293      .11173648E+00      .10156600E-03
 292      .12115079E+00     -.69713598E-03
 291      .12986797E+00     -.28538701E-03
 290      .13829976E+00     -.31763301E-03
 289      .14641392E+00     -.52082498E-03
 288      .15400726E+00     -.76550199E-03
 287      .16083509E+00     -.91433503E-04
 286      .16757149E+00     -.52636903E-03
 285      .17378151E+00     -.33152101E-03
 284      .17966002E+00     -.46718100E-03
 283      .18507135E+00      .44286298E-04
 282      .19052696E+00     -.13577900E-03
 281      .19584680E+00     -.32222300E-03
 280      .20084441E+00     -.11640800E-03
 279      .20572561E+00      .18012500E-03
 278      .21078694E+00     -.62823303E-04
 277      .21578544E+00     -.14776000E-03
 276      .22063619E+00     -.38743001E-04
 275      .22544819E+00     -.87797598E-04
 274      .23017240E+00     -.14400500E-03
 273      .23475260E+00      .19764900E-03
 272      .23953044E+00     -.21427900E-03
 271      .24409401E+00     -.31411601E-04
 270      .24862617E+00     -.18477400E-05
 269      .25315648E+00      .72062001E-04
 268      .25775886E+00     -.18477400E-05
 267      .26235938E+00     -.31411601E-04
 266      .26692849E+00     -.51736799E-04
 265      .27144587E+00     -.12552700E-03
 264      .27583772E+00      .10520200E-03
 263      .28033477E+00      .17583399E-04
 262      .28484941E+00      .46491600E-05
 261      .28936869E+00     -.71167902E-04
 260      .29381680E+00     -.23633199E-03
 259      .29802859E+00      .54836300E-05
 258      .30224586E+00     -.13571999E-03
 257      .30632740E+00     -.55432301E-05
 256      .31040341E+00     -.14865400E-03
 255      .31433076E+00      .12463301E-03
 254      .31838274E+00     -.35047498E-04
 253      .32239968E+00      .13756800E-03
 252      .32655418E+00      .53525000E-04
 251      .33076221E+00      .13482600E-03
 250      .33510506E+00     -.65505497E-04
 249      .33938241E+00      .18280699E-03
 248      .34384257E+00     -.65565102E-04
 247      .34823716E+00      .74744203E-04
 246      .35270649E+00     -.16570100E-04
 245      .35715926E+00     -.17523800E-04
 244      .36159450E+00      .38743001E-04
 243      .36606848E+00     -.39696701E-04
 242      .37050277E+00     -.13828300E-04
 241      .37492323E+00      .35107099E-04
 240      .37937880E+00     -.88691697E-04
 239      .38374567E+00      .92327602E-04
 238      .38820487E+00     -.74744203E-04
 237      .39258933E+00      .93221701E-04
 236      .39706701E+00     -.45895599E-05
 235      .40154010E+00      .10711000E-03
 234      .40612030E+00     -.14316999E-03
 233      .41055733E+00      .71167902E-04
 232      .41506553E+00     -.21332499E-03
 231      .41936040E+00      .20402700E-03
 230      .42385930E+00     -.17726400E-03
 229      .42818093E+00      .28812900E-03
 228      .43279070E+00     -.25856501E-03
 227      .43714190E+00      .91373899E-04
 226      .44158447E+00     -.36895301E-04
 225      .44599015E+00     -.36954900E-05
 224      .45039213E+00     -.10711000E-03
 223      .45468700E+00      .12743501E-03
 222      .45910931E+00      .14722300E-04
 221      .46354634E+00     -.61810002E-04
 220      .46792156E+00      .89407001E-06
 219      .47229767E+00     -.40650400E-04
 218      .47663313E+00      .76711200E-04
 217      .48104531E+00     -.28669800E-04
 216      .48542881E+00     -.15056100E-03
 215      .48966175E+00      .12934201E-03
 214      .49402404E+00     -.72062001E-04
 213      .49831426E+00      .43451801E-04
 212      .50264794E+00     -.12654100E-03
 211      .50685507E+00      .50783201E-04
 210      .51111299E+00      .72956100E-04
 209      .51544386E+00      .85890300E-04
 208      .51986063E+00     -.12469300E-03
 207      .52415270E+00      .83088897E-04
 206      .52852786E+00     -.20265599E-04
 205      .53288275E+00      .27418100E-05
 204      .53724039E+00     -.46133999E-04
 203      .54155189E+00     -.13297801E-03
 202      .54573041E+00      .35941601E-04
 201      .54994488E+00      .98884098E-04
 200      .55425823E+00     -.16439000E-03
 199      .55840719E+00      .56326400E-04
 198      .56261247E+00     -.47087698E-04
 197      .56677067E+00      .61869599E-04
 196      .57099074E+00     -.10347400E-03
 195      .57510734E+00      .11736200E-03
 194      .57934129E+00      .17881400E-05
 193      .58357704E+00      .19073500E-05
 192      .58781469E+00     -.17368799E-03
 191      .59187865E+00      .90539499E-04
 190      .59603316E+00      .81241102E-04
 189      .60026890E+00     -.13667300E-03
 188      .60436797E+00     -.13011700E-03
 187      .60833693E+00      .11158000E-03
 186      .61241746E+00      .10263900E-03
 185      .61660063E+00      .82254401E-05
 184      .62079203E+00     -.13107101E-03
 183      .62485236E+00      .12004400E-03
 182      .62903273E+00     -.13023600E-03
 181      .63308287E+00      .25391599E-03
 180      .63738692E+00     -.24276999E-03
 179      .64144820E+00      .18465500E-03
 178      .64569414E+00      .13381201E-03
 177      .65007389E+00     -.14764100E-03
 176      .65430599E+00     -.99778197E-04
 175      .65843832E+00     -.34153501E-04
 174      .66253650E+00      .20039100E-03
 173      .66683507E+00      .82254401E-05
 172      .67114186E+00     -.16242301E-03
 171      .67528623E+00      .86784399E-04
 170      .67951739E+00      .77545599E-04
 169      .68382609E+00      .52630901E-04
 168      .68818742E+00     -.25486900E-03
 167      .69229388E+00      .15056100E-03
 166      .69655091E+00     -.13673300E-03
 165      .70067120E+00      .26786301E-03
 164      .70505935E+00     -.14495800E-03
 163      .70930254E+00     -.13053400E-04
 162      .71353269E+00     -.83923303E-04
 161      .71767890E+00      .70154703E-04
 160      .72189528E+00      .48935399E-04
 159      .72616059E+00     -.91433503E-04
 158      .73033446E+00     -.36358799E-05
 157      .73450470E+00      .12093800E-03
 156      .73879588E+00     -.41603998E-04
 155      .74304545E+00     -.33199802E-04
 154      .74726182E+00     -.37908601E-04
 153      .75144029E+00      .19490700E-03
 152      .75581366E+00     -.17273400E-03
 151      .76001430E+00      .40710001E-04
 150      .76425564E+00     -.56386001E-04
 149      .76844060E+00      .51736799E-04
 148      .77267730E+00     -.96976801E-04
 147      .77681702E+00      .17267501E-03
 146      .78112942E+00     -.12099700E-03
 145      .78532082E+00      .12379901E-03
 144      .78963602E+00     -.18376100E-03
 143      .79376745E+00      .91373899E-04
 142      .79799026E+00     -.27656601E-04
 141      .80218542E+00      .42438500E-04
 140      .80642301E+00     -.81300699E-04
 139      .81057930E+00     -.15616401E-04
 138      .81471997E+00     -.28014199E-05
 137      .81885785E+00      .18560899E-03
 136      .82318133E+00     -.19019800E-03
 135      .82731462E+00      .68247296E-04
 134      .83151615E+00     -.10073200E-04
 133      .83570760E+00     -.14782000E-04
 132      .83988428E+00     -.84042498E-04
 131      .84397691E+00     -.10156600E-03
 130      .84796798E+00      .19204601E-03
 129      .85215110E+00      .38743001E-04
 128      .85637295E+00     -.30094400E-03
 127      .86029387E+00      .19848300E-03
 126      .86441326E+00     -.99718600E-04
 125      .86843294E+00      .79393401E-04
 124      .87253201E+00     -.19371500E-04
 123      .87661171E+00      .11175900E-03
 122      .88080317E+00     -.45299501E-04
 121      .88494933E+00      .11271200E-03
 120      .88920820E+00     -.23549800E-03
 119      .89323157E+00      .70154703E-04
 118      .89732510E+00     -.33199802E-04
 117      .90138543E+00      .88632100E-04
 116      .90553439E+00      .96023097E-04
 115      .90977937E+00     -.12004400E-03
 114      .91390431E+00     -.63717402E-04
 113      .91796553E+00      .11450100E-03
 112      .92214125E+00     -.16987300E-03
 111      .92614710E+00      .33199802E-04
 110      .93018615E+00     -.10132800E-04
 109      .93421507E+00      .71108298E-04
 108      .93831509E+00     -.87738001E-04
 107      .94232738E+00      .15884600E-03
 106      .94649851E+00     -.83148501E-04
 105      .95058650E+00      .14841600E-04
 104      .95468932E+00     -.10347400E-03
 103      .95868868E+00      .75697899E-04
 102      .96276373E+00     -.20957000E-03
 101      .96662921E+00     -.55432301E-05
 100      .97048914E+00     -.16254200E-03
  99      .97418654E+00      .36954900E-05
  98      .97788763E+00     -.14591200E-03
  97      .98144281E+00     -.28163200E-03
  96      .98471636E+00     -.35643601E-03
  95      .98763347E+00     -.15419700E-03
  94      .99039638E+00     -.50699699E-03
  93      .99265230E+00     -.35917800E-03
  92      .99454904E+00     -.35095200E-03
  91      .99609482E+00     -.31209001E-03
  90      .99732852E+00     -.33426299E-03
  89      .99822795E+00     -.28723499E-03
  88      .99884015E+00     -.16522400E-03
  87      .99928713E+00     -.14227600E-03
  86      .99959183E+00     -.13661401E-03
  85      .99975991E+00     -.57280100E-04
  84      .99987072E+00     -.43392200E-04
  83      .99993813E+00     -.44345899E-04
  82      .99996120E+00     -.91791198E-05
  81      .99997509E+00     -.46491600E-05
  80      .99998432E+00      .89407001E-06
  79      .99999446E+00     -.82850502E-05
  78      .99999630E+00     -.89407001E-06
  77      .99999726E+00     -.59604599E-07
  76      .99999815E+00      .95367398E-06
  75      .10000000E+01     -.18477400E-05
