   75  315
 315      .00000000E+00      .19669501E-05
 314      .19669533E-05      .19073500E-05
 313      .58412552E-05     -.19073500E-05
 312      .78082085E-05      .19669501E-05
 311      .11742115E-04      .38743001E-05
 310      .19550323E-04      .12332200E-03
 309      .15068054E-03      .58609201E-03
 308      .86790323E-03      .12112900E-02
 307      .27964115E-02      .18228900E-02
 306      .65478086E-02      .22808299E-02
 305      .12580037E-01      .21251400E-02
 304      .20737410E-01      .10058900E-02
 303      .29900670E-01      .62322599E-03
 302      .39687157E-01      .35285899E-04
 301      .49508929E-01     -.23096800E-03
 300      .59099734E-01     -.59777498E-03
 299      .68092763E-01     -.30928900E-03
 298      .76776505E-01     -.32967300E-03
 297      .85130572E-01     -.19568201E-03
 296      .93288958E-01     -.55968802E-03
 295      .10088766E+00     -.14483900E-03
 294      .10834152E+00     -.56451600E-03
 293      .11523086E+00     -.10275800E-03
 292      .12201744E+00     -.46283001E-03
 291      .12834120E+00     -.15753500E-03
 290      .13450742E+00     -.30529499E-03
 289      .14036834E+00     -.15842900E-03
 288      .14607084E+00     -.29850000E-03
 287      .15147483E+00     -.97811200E-04
 286      .15678102E+00     -.10669200E-03
 285      .16198051E+00      .55789900E-04
 284      .16723579E+00     -.34636300E-03
 283      .17214471E+00      .12230899E-03
 282      .17717594E+00     -.13995200E-03
 281      .18206722E+00      .29385101E-04
 280      .18698788E+00     -.20349000E-03
 279      .19170505E+00      .15848900E-03
 278      .19658071E+00     -.11938800E-03
 277      .20133698E+00      .25451200E-04
 276      .20611870E+00     -.21529201E-03
 275      .21068513E+00      .25451200E-04
 274      .21527702E+00      .18596600E-04
 273      .21988750E+00     -.80227903E-04
 272      .22441775E+00     -.21517300E-04
 271      .22892648E+00      .14776000E-03
 270      .23358297E+00     -.19669501E-05
 269      .23823750E+00      .75340300E-04
 268      .24296737E+00     -.15753500E-03
 267      .24753970E+00      .13649500E-04
 266      .25212568E+00     -.13887900E-03
 265      .25657278E+00      .11837500E-03
 264      .26113826E+00     -.29206301E-05
 263      .26570082E+00      .32246098E-04
 262      .27029562E+00     -.13989200E-03
 261      .27475053E+00      .22900100E-03
 260      .27943444E+00     -.22900100E-03
