   70  295
 295      .00000000E+00      .37550899E-05
 294      .37550926E-05      .39279501E-04
 293      .46789646E-04      .26094899E-03
 292      .35077333E-03      .11700400E-02
 291      .18247962E-02      .22906701E-02
 290      .55894852E-02      .34334699E-02
 289      .12787640E-01      .41182600E-02
 288      .24104059E-01      .14348000E-02
 287      .36855280E-01      .38325801E-04
 286      .49644828E-01     -.71460003E-03
 285      .61719775E-01     -.70804398E-03
 284      .73086679E-01     -.94276702E-03
 283      .83510816E-01     -.11509700E-03
 282      .93819857E-01     -.30112299E-03
 281      .10382777E+00     -.42557699E-03
 280      .11341012E+00     -.37318500E-03
 279      .12261927E+00     -.90718298E-04
 278      .13173771E+00     -.42933199E-03
 277      .14042681E+00     -.56123699E-03
 276      .14855468E+00     -.86229999E-03
 275      .15582025E+00     -.13470600E-03
 274      .16295111E+00     -.42366999E-03
 273      .16965830E+00     -.30028800E-03
 272      .17606521E+00     -.63037901E-03
 271      .18184173E+00     -.12159300E-03
 270      .18749666E+00     -.34135600E-03
 269      .19281024E+00      .11402400E-03
 268      .19823784E+00     -.24777700E-03
 267      .20341766E+00     -.27972501E-03
 266      .20831776E+00      .14316999E-03
 265      .21336102E+00     -.19830500E-03
 264      .21820599E+00     -.22471000E-04
 263      .22302848E+00      .10252000E-04
 262      .22786123E+00      .11324900E-04
 261      .23270530E+00     -.88930101E-04
 260      .23746043E+00     -.15902500E-03
 259      .24205655E+00      .33736200E-04
 258      .24668640E+00     -.56624399E-05
 257      .25131059E+00      .47087701E-05
 256      .25593948E+00     -.13935599E-03
 255      .26042902E+00      .18984100E-03
 254      .26510841E+00      .65565100E-05
 253      .26979434E+00      .22471000E-04
 252      .27450275E+00     -.29087099E-03
 251      .27892029E+00      .94413801E-04
 250      .28343225E+00     -.10097000E-03
 249      .28784323E+00      .77605197E-04
 248      .29233181E+00     -.11038800E-03
 247      .29671001E+00     -.56088000E-04
 246      .30103213E+00     -.14215701E-03
 245      .30521208E+00      .18656299E-04
 244      .30941069E+00     -.10752700E-03
 243      .31350178E+00     -.14007100E-04
 242      .31757885E+00      .84042504E-05
 241      .32166433E+00      .62644503E-04
 240      .32581246E+00     -.56147601E-04
 239      .32990444E+00      .10013600E-03
 238      .33409655E+00      .35524401E-04
 237      .33832419E+00      .53286600E-04
 236      .34260511E+00      .13285900E-03
 235      .34701890E+00      .90718298E-04
 234      .35152340E+00     -.43034601E-04
 233      .35598487E+00      .11503700E-03
 232      .36056137E+00     -.19544399E-03
 231      .36494243E+00      .13929600E-03
 230      .36946279E+00     -.12344100E-03
 229      .37385970E+00      .38385399E-04
