   70  300
 300      .00000000E+00      .48875800E-05
 299      .48875809E-05      .39339102E-05
 298      .13709068E-04      .15002499E-03
 297      .17255545E-03      .68515498E-03
 296      .10165572E-02      .16311400E-02
 295      .34916997E-02      .24918299E-02
 294      .84586740E-02      .29839301E-02
 293      .16409576E-01      .20821099E-02
 292      .26442587E-01      .27149901E-03
 291      .36747098E-01     -.35977401E-03
 290      .46691835E-01     -.45579701E-03
 289      .56180775E-01     -.63419301E-03
 288      .65035522E-01     -.41276199E-03
 287      .73477507E-01     -.20188100E-03
 286      .81717610E-01     -.37056199E-03
 285      .89587152E-01     -.29206301E-05
 284      .97453773E-01     -.49012899E-03
 283      .10483027E+00     -.21964300E-03
 282      .11198711E+00     -.23520000E-03
 281      .11890876E+00     -.16373400E-03
 280      .12566668E+00     -.63616002E-03
 279      .13178843E+00      .16629700E-04
 278      .13792682E+00     -.33420301E-03
 277      .14373100E+00      .33259399E-04
 276      .14956844E+00     -.40972201E-03
 275      .15499616E+00     -.10389100E-03
 274      .16031998E+00     -.97096003E-04
 273      .16554672E+00     -.23484199E-04
 272      .17074996E+00     -.26077000E-03
 271      .17569244E+00      .78439698E-04
 270      .18071336E+00      .34272700E-04
 269      .18576854E+00     -.12838800E-03
 268      .19069535E+00     -.18429800E-03
 267      .19543785E+00      .12546800E-03
 266      .20030582E+00     -.64671003E-04
 265      .20510912E+00      .24497500E-04
 264      .20993692E+00     -.21469600E-03
 263      .21455002E+00      .87261200E-04
 262      .21925038E+00      .78678104E-05
 261      .22395861E+00      .11074500E-03
 260      .22877759E+00     -.32645499E-03
 259      .23327011E+00      .18334400E-03
 258      .23794597E+00      .95367398E-06
 257      .24262279E+00     -.48995000E-04
 256      .24725062E+00     -.53942200E-04
 255      .25182450E+00      .36299200E-04
 254      .25643468E+00     -.20563601E-04
 253      .26102430E+00      .14799800E-03
 252      .26576191E+00     -.10293700E-03
 251      .27039659E+00      .34272700E-04
 250      .27506554E+00     -.89168498E-04
 249      .27964532E+00      .74505799E-04
 248      .28429961E+00     -.16957500E-03
 247      .28878433E+00      .12743501E-03
 246      .29339647E+00     -.39219900E-04
 245      .29796940E+00      .11742100E-04
 244      .30255407E+00      .39339102E-05
 243      .30714267E+00     -.33319000E-04
 242      .31169796E+00      .10877800E-03
 241      .31636202E+00     -.47981699E-04
 240      .32097811E+00     -.26565799E-03
 239      .32532853E+00      .39160299E-04
 238      .32971811E+00     -.14698500E-03
 237      .33396071E+00      .75459502E-04
 236      .33827877E+00     -.59783499E-04
 235      .34253705E+00      .13130900E-03
 234      .34692663E+00      .19609901E-04
 233      .35133582E+00      .10788400E-03
 232      .35585290E+00     -.15783300E-03
 231      .36021215E+00      .27739999E-03
 230      .36484879E+00     -.40233099E-04
 229      .36944520E+00      .22256401E-03
 228      .37426418E+00     -.19407300E-03
 227      .37888908E+00      .19073500E-05
 226      .38351589E+00      .43153799E-04
 225      .38818586E+00      .81360296E-04
 224      .39293718E+00     -.15682000E-03
 223      .39753169E+00     -.17643000E-04
 222      .40210855E+00     -.34332301E-04
 221      .40665108E+00      .27054499E-03
 220      .41146415E+00     -.35578001E-03
 219      .41592145E+00      .81300699E-04
 218      .42046005E+00     -.83327301E-04
 217      .42491531E+00      .94175302E-04
 216      .42946476E+00      .36180001E-04
 215      .43405038E+00      .26524100E-04
 214      .43866253E+00     -.25510801E-04
 213      .44324917E+00      .97096003E-04
 212      .44793290E+00     -.24807500E-03
 211      .45236856E+00      .26863799E-03
 210      .45707285E+00     -.20390700E-03
 209      .46157324E+00      .34701801E-03
 208      .46642065E+00     -.44310099E-03
 207      .47082496E+00      .53882599E-04
 206      .47528315E+00      .14221700E-03
 205      .47988355E+00     -.10395100E-03
 204      .48438001E+00      .65684297E-04
 203      .48894215E+00     -.68545301E-05
 202      .49349743E+00     -.10490400E-03
 201      .49794781E+00      .21958401E-03
 200      .50261778E+00     -.19604000E-03
 199      .50709170E+00     -.16629700E-04
 198      .51154900E+00      .67949300E-05
 197      .51601309E+00      .14412400E-03
 196      .52062130E+00      .81360296E-04
 195      .52531087E+00     -.19896000E-03
 194      .52980149E+00      .10287800E-03
 193      .53439498E+00      .66638000E-04
 192      .53905511E+00     -.26261801E-03
 191      .54345262E+00      .19788700E-03
 190      .54804802E+00     -.18417800E-03
 189      .55245924E+00      .20480200E-03
 188      .55707526E+00     -.16856199E-03
 187      .56152272E+00      .92148803E-04
 186      .56606233E+00     -.54895900E-04
 185      .57054704E+00      .15288600E-03
 184      .57518464E+00     -.20092700E-03
 183      .57962132E+00      .86247899E-04
 182      .58414423E+00     -.78082103E-05
 181      .58865935E+00      .11742100E-04
 180      .59318620E+00      .10788400E-04
 179      .59772384E+00      .58829799E-04
 178      .60232031E+00     -.10985100E-03
 177      .60680693E+00      .81419901E-04
 176      .61137497E+00     -.25290300E-03
 175      .61569011E+00      .13720999E-03
