   90  330
 330      .00000000E+00      .65565098E-06
 329      .65565109E-06     -.29802300E-06
 328      .10132790E-05      .47683699E-06
 327      .18477440E-05     -.65565098E-06
 326      .20265579E-05      .10728800E-04
 325      .12934208E-04      .16611800E-03
 324      .18996000E-03      .79691398E-03
 323      .11638999E-02      .22048999E-02
 322      .43427348E-02      .37539599E-02
 321      .11275530E-01      .44333902E-02
 320      .22641718E-01      .16111101E-02
 319      .35619020E-01     -.40620600E-03
 318      .48190117E-01     -.14188900E-02
 317      .59342325E-01     -.76079398E-03
 316      .69733739E-01     -.67216199E-03
 315      .79452991E-01     -.15747501E-03
 314      .89014769E-01     -.24092200E-03
 313      .98335624E-01     -.22471000E-04
 312      .10763401E+00     -.37366201E-03
 311      .11655873E+00     -.13297801E-03
 310      .12535048E+00     -.27483699E-03
 309      .13386738E+00     -.28342000E-03
 308      .14210087E+00     -.57661498E-03
 307      .14975774E+00     -.40227201E-03
 306      .15701234E+00     -.40841100E-03
 305      .16385853E+00     -.28818799E-03
 304      .17041653E+00     -.58251602E-03
 303      .17639202E+00     -.19907999E-03
 302      .18216842E+00     -.20939100E-03
 301      .18773544E+00     -.13130900E-03
 300      .19317114E+00     -.26065100E-03
 299      .19834620E+00     -.12999801E-03
 298      .20339125E+00     -.45180299E-04
 297      .20839113E+00     -.26702901E-04
 296      .21336430E+00     -.13744801E-03
 295      .21820003E+00     -.44882301E-04
 294      .22299087E+00     -.16510499E-04
 293      .22776520E+00     -.38743001E-05
 292      .23253566E+00     -.12213000E-03
 291      .23718399E+00      .37252899E-04
 290      .24186957E+00     -.80585502E-04
 289      .24647456E+00      .18477400E-04
 288      .25109804E+00     -.10931500E-03
 287      .25561219E+00      .21278900E-04
 286      .26014763E+00     -.18417801E-04
 285      .26466465E+00      .31530901E-04
 284      .26921320E+00     -.10615600E-03
 283      .27365559E+00      .11861300E-04
 282      .27810985E+00     -.23901501E-04
 281      .28254020E+00      .98943703E-04
 280      .28706950E+00     -.29236099E-03
 279      .29130644E+00      .57995301E-04
 278      .29560137E+00     -.11766000E-03
 277      .29977864E+00      .31948101E-04
 276      .30398786E+00     -.15813101E-03
 275      .30803895E+00     -.26226000E-04
 274      .31206381E+00      .31650099E-04
 273      .31612033E+00      .10854000E-03
 272      .32028538E+00     -.10842100E-03
 271      .32434201E+00      .11742100E-03
 270      .32851607E+00      .48756599E-04
 269      .33273888E+00      .14919000E-03
 268      .33711088E+00     -.28073800E-04
 267      .34145480E+00      .56803201E-04
 266      .34585553E+00      .46253201E-04
 265      .35030252E+00      .69737398E-04
 264      .35481924E+00     -.12773300E-03
 263      .35920823E+00     -.45895599E-05
 262      .36359262E+00      .32484499E-04
 261      .36800951E+00      .11885200E-03
 260      .37254524E+00     -.18346299E-03
 259      .37689751E+00      .32126900E-04
 258      .38128191E+00      .39100600E-04
 257      .38570541E+00      .35583998E-04
 256      .39016449E+00     -.14305100E-03
 255      .39448053E+00      .14233599E-03
 254      .39893889E+00     -.71465998E-04
 253      .40332580E+00      .83923303E-04
 252      .40779662E+00     -.19764900E-03
 251      .41206980E+00      .13130900E-03
 250      .41647428E+00      .88214902E-05
 249      .42088759E+00     -.17523800E-04
 248      .42528337E+00     -.91135502E-04
 247      .42958802E+00      .88572502E-04
 246      .43398124E+00     -.12219000E-04
 245      .43836224E+00      .50485101E-04
 244      .44279373E+00     -.10335400E-03
 243      .44712186E+00      .59127800E-04
 242      .45150912E+00     -.18000601E-04
 241      .45587838E+00      .97632401E-04
 240      .46034527E+00     -.93221701E-04
 239      .46471894E+00      .30159999E-04
 238      .46912277E+00     -.10132800E-04
 237      .47351646E+00      .10609600E-04
 236      .47792077E+00     -.81598802E-04
 235      .48224348E+00      .97751599E-05
 234      .48657596E+00     -.41723301E-05
 233      .49090427E+00      .10401000E-03
 232      .49533659E+00     -.15962101E-03
 231      .49960929E+00      .70154703E-04
 230      .50395215E+00     -.37014499E-04
 229      .50825799E+00      .30458001E-04
 228      .51259428E+00     -.91195099E-04
 227      .51683939E+00      .18775499E-04
 226      .52110326E+00      .28014199E-05
 225      .52536994E+00      .57518500E-04
 224      .52969414E+00     -.12892501E-03
 223      .53388941E+00      .51379200E-04
 222      .53813607E+00     -.18238999E-04
 221      .54236448E+00      .52452098E-04
 220      .54664534E+00     -.11003000E-03
 219      .55081618E+00      .10311600E-04
 218      .55499732E+00      .17404600E-04
 217      .55919588E+00      .75578697E-04
 216      .56347001E+00     -.10484500E-03
 215      .56763929E+00     -.60915900E-04
 214      .57174766E+00     -.26285599E-04
 213      .57582974E+00      .11605000E-03
 212      .58002788E+00     -.70333503E-04
 211      .58415568E+00      .31411601E-04
 210      .58831489E+00      .32544100E-04
 209      .59250665E+00      .98347700E-04
 208      .59679675E+00     -.97632401E-04
 207      .60098922E+00     -.28610200E-05
 206      .60517883E+00     -.12278600E-04
 205      .60935616E+00      .55193901E-04
 204      .61358869E+00     -.87141998E-04
 203      .61773407E+00      .26643300E-04
 202      .62190610E+00      .10490400E-04
 201      .62608862E+00      .25331999E-04
 200      .63029647E+00     -.82969702E-04
 199      .63442135E+00      .63776999E-04
 198      .63861001E+00      .18596600E-04
 197      .64281726E+00      .62346502E-04
 196      .64708686E+00     -.99659002E-04
 195      .65125680E+00      .25034000E-04
 194      .65545177E+00     -.35643599E-04
 193      .65961111E+00      .13566000E-03
 192      .66390610E+00     -.12487199E-03
 191      .66807622E+00      .37074100E-04
 190      .67228341E+00      .12397800E-04
 189      .67650300E+00      .10252000E-04
 188      .68073285E+00     -.23663000E-04
 187      .68493903E+00      .34809102E-04
 186      .68918002E+00     -.50663898E-05
 185      .69341594E+00      .11378500E-03
 184      .69776565E+00     -.18757601E-03
 183      .70192778E+00      .35345602E-04
 182      .70612526E+00     -.18119799E-04
 181      .71030462E+00      .65207503E-04
 180      .71454918E+00     -.12272601E-03
 179      .71867102E+00      .16689301E-05
 178      .72279453E+00      .68843401E-04
 177      .72698689E+00     -.10252000E-04
 176      .73116899E+00     -.21040400E-04
 175      .73533005E+00     -.11920900E-06
 174      .73949099E+00     -.70571899E-04
 173      .74358135E+00      .16474701E-03
 172      .74783647E+00     -.16593900E-03
 171      .75192565E+00      .77545599E-04
 170      .75609237E+00     -.10192400E-04
 169      .76024890E+00      .10186400E-03
 168      .76450729E+00     -.12314301E-03
 167      .76864254E+00      .21219301E-04
 166      .77279902E+00     -.38206599E-04
 165      .77691728E+00      .13333600E-03
 164      .78116888E+00     -.11992500E-03
 163      .78530055E+00     -.53703799E-04
 162      .78937852E+00      .91135502E-04
 161      .79354763E+00     -.35762801E-06
 160      .79771638E+00     -.10883800E-03
 159      .80177629E+00      .82969702E-04
 158      .80591917E+00     -.19311899E-04
 157      .81004274E+00      .10550000E-03
 156      .81427181E+00     -.13834200E-03
 155      .81836253E+00      .18358200E-04
 154      .82247162E+00      .45895599E-05
 153      .82658529E+00      .56743600E-04
 152      .83075571E+00     -.13190501E-03
 151      .83479422E+00      .26464500E-04
 150      .83885920E+00      .22351700E-04
 149      .84294653E+00      .10371200E-03
 148      .84713757E+00     -.18775499E-03
 147      .85114086E+00      .98824501E-04
 146      .85524297E+00     -.26404899E-04
 145      .85931867E+00      .64969099E-04
 144      .86345935E+00     -.87678403E-04
 143      .86751235E+00     -.11920900E-06
 142      .87156522E+00     -.26762500E-04
 141      .87559134E+00      .11539500E-03
 140      .87973285E+00     -.93460098E-04
 139      .88378090E+00      .58293299E-04
 138      .88788724E+00     -.64790198E-04
 137      .89192879E+00      .96738302E-04
 136      .89606708E+00     -.10168600E-03
 135      .90010369E+00      .26941299E-04
 134      .90416723E+00     -.65207503E-04
 133      .90816557E+00      .14543500E-03
 132      .91230935E+00     -.13113000E-03
 131      .91632199E+00      .47087698E-04
 130      .92038172E+00      .79870197E-05
 129      .92444944E+00      .52750100E-04
 128      .92856991E+00     -.12737499E-03
 127      .93256301E+00      .37193298E-04
 126      .93659329E+00      .10967300E-04
 125      .94063455E+00      .57578101E-04
 124      .94473338E+00     -.52332900E-04
 123      .94877988E+00     -.43034601E-04
 122      .95278335E+00     -.23007400E-04
 121      .95676380E+00      .10734800E-03
 120      .96085161E+00     -.21797400E-03
 119      .96472144E+00     -.20980800E-04
 118      .96857029E+00     -.10097000E-03
 117      .97231817E+00     -.37789301E-04
 116      .97602826E+00     -.26500199E-03
 115      .97947335E+00     -.12731600E-03
 114      .98279113E+00     -.23108700E-03
 113      .98587781E+00     -.24920699E-03
 112      .98871529E+00     -.38993399E-03
 111      .99116284E+00     -.27054499E-03
 110      .99333984E+00     -.38266199E-03
 109      .99513417E+00     -.32550099E-03
 108      .99660301E+00     -.37843001E-03
 107      .99769342E+00     -.27084400E-03
 106      .99851298E+00     -.24509401E-03
 105      .99908745E+00     -.19031799E-03
 104      .99947160E+00     -.14931000E-03
 103      .99970645E+00     -.91970003E-04
 102      .99984932E+00     -.62763698E-04
 101      .99992943E+00     -.43034601E-04
 100      .99996650E+00     -.21457699E-04
  99      .99998212E+00     -.69141402E-05
  98      .99999082E+00     -.56624399E-05
  97      .99999386E+00     -.14901200E-05
  96      .99999541E+00     -.17881401E-06
  95      .99999678E+00     -.89407001E-06
  94      .99999726E+00      .59604599E-07
  93      .99999779E+00     -.59604599E-07
  92      .99999827E+00      .23841901E-06
  91      .99999899E+00      .29802300E-06
  90      .10000000E+01     -.10132800E-05
