   90  335
 335      .00000000E+00      .35762801E-06
 334      .35762787E-06     -.35762801E-06
 333      .35762787E-06      .17881401E-06
 332      .53644180E-06      .00000000E+00
 331      .71525574E-06      .71525602E-06
 330      .16093254E-05      .81062299E-05
 329      .10609627E-04      .73611700E-04
 328      .93221664E-04      .44000099E-03
 327      .61583519E-03      .11438100E-02
 326      .22822618E-02      .19614701E-02
 325      .59101582E-02      .26994899E-02
 324      .12237549E-01      .21759300E-02
 323      .20740867E-01      .11527500E-02
 322      .30396938E-01      .55253498E-04
 321      .40108263E-01     -.12308400E-03
 320      .49696505E-01     -.70059299E-03
 319      .58584154E-01     -.33432199E-03
 318      .67137480E-01     -.28193000E-03
 317      .75408876E-01     -.17070799E-03
 316      .83509564E-01     -.44262400E-03
 315      .91167629E-01     -.15652200E-03
 314      .98669171E-01     -.30243400E-03
 313      .10586828E+00     -.19341700E-03
 312      .11287397E+00     -.48095000E-03
 311      .11939871E+00     -.21892801E-03
 310      .12570453E+00     -.30285100E-03
 309      .13170749E+00     -.44047800E-04
 308      .13766640E+00     -.39905301E-03
 307      .14322627E+00     -.55193901E-04
 306      .14873093E+00     -.17732399E-03
 305      .15405828E+00     -.20861601E-05
 304      .15938354E+00     -.22995500E-03
 303      .16447884E+00     -.56147601E-04
 302      .16951799E+00     -.11831500E-03
 301      .17443883E+00      .77486002E-04
 300      .17943716E+00     -.16176701E-03
 299      .18427372E+00     -.21755701E-04
 298      .18908852E+00     -.79512603E-04
 297      .19382381E+00      .92267997E-04
 296      .19865137E+00     -.21135800E-03
 295      .20326757E+00      .40650400E-04
 294      .20792443E+00     -.61929197E-04
 293      .21251935E+00      .48279799E-04
 292      .21716255E+00     -.12868601E-03
 291      .22167706E+00      .43570999E-04
 290      .22623515E+00      .16510499E-04
 289      .23080975E+00      .44822700E-04
 288      .23542917E+00     -.11748100E-03
 287      .23993111E+00      .11622900E-03
 286      .24454927E+00     -.67651301E-04
 285      .24909979E+00      .83088897E-04
 284      .25373340E+00     -.97096003E-04
 283      .25826991E+00     -.27954600E-04
 282      .26277846E+00      .35643599E-04
 281      .26732266E+00      .24318701E-04
 280      .27189118E+00     -.95725103E-04
 279      .27636397E+00      .41902102E-04
 278      .28087866E+00      .18179400E-04
 277      .28541154E+00      .49531500E-04
 276      .28999394E+00     -.78678102E-04
 275      .29449767E+00     -.27716200E-04
 274      .29897368E+00      .13113000E-04
 273      .30346280E+00      .15378000E-04
 272      .30796731E+00     -.15693900E-03
 271      .31231487E+00      .20504000E-04
 270      .31668293E+00     -.73969401E-04
 269      .32097703E+00      .94473398E-04
 268      .32536560E+00     -.10645400E-03
 267      .32964772E+00      .51736799E-04
 266      .33398157E+00     -.60796701E-05
 265      .33830935E+00      .54180600E-04
 264      .34269130E+00     -.59068199E-04
 263      .34701419E+00      .15622401E-03
 262      .35149330E+00      .24437900E-05
 261      .35597485E+00      .14758100E-03
 260      .36060399E+00     -.13148801E-03
 259      .36510164E+00      .48339400E-04
 258      .36964762E+00     -.40650400E-04
 257      .37415296E+00      .12439500E-03
 256      .37878269E+00     -.18793299E-03
 255      .38322449E+00      .16450900E-04
 254      .38768274E+00     -.56624399E-05
 253      .39213532E+00      .95427000E-04
 252      .39668334E+00     -.13369300E-03
 251      .40109766E+00      .30398401E-05
 250      .40551502E+00      .28967899E-04
 249      .40996134E+00      .12815000E-03
 248      .41453582E+00     -.17440300E-03
 247      .41893589E+00      .63002102E-04
 246      .42339897E+00     -.61392799E-04
