   80  320
 320      .00000000E+00      .11920901E-05
 319      .11920929E-05     -.47683699E-06
 318      .19073486E-05      .11920900E-06
 317      .27418137E-05      .00000000E+00
 316      .35762787E-05     -.11920900E-06
 315      .42915344E-05     -.23841901E-06
 314      .47683716E-05      .89407001E-06
 313      .61392784E-05      .36120400E-04
 312      .43630600E-04      .31089800E-03
 311      .39201975E-03      .10804500E-02
 310      .18208623E-02      .26093700E-02
 309      .58590770E-02      .38811599E-02
 308      .13778448E-01      .35974400E-02
 307      .25295258E-01      .15322000E-02
 306      .38344264E-01     -.81425899E-03
 305      .50579011E-01     -.93501800E-03
 304      .61878741E-01     -.10844501E-02
 303      .72094023E-01     -.31185200E-03
 302      .81997454E-01     -.41961699E-03
 301      .91481268E-01     -.33974600E-05
 300      .10096169E+00     -.37354199E-03
 299      .11006856E+00     -.81956401E-04
 298      .11909348E+00     -.22858400E-03
 297      .12788981E+00     -.10746700E-03
 296      .13657868E+00     -.62477600E-03
 295      .14464277E+00     -.43660399E-03
 294      .15227026E+00     -.43475599E-03
 293      .15946299E+00     -.31101701E-03
 292      .16634470E+00     -.55652898E-03
 291      .17266989E+00     -.28037999E-03
 290      .17871469E+00     -.20802001E-03
 289      .18455148E+00     -.16313800E-03
 288      .19022512E+00     -.36150200E-03
 287      .19553727E+00     -.23663000E-04
 286      .20082575E+00     -.15765399E-03
 285      .20595658E+00     -.11980500E-04
 284      .21107543E+00     -.19937800E-03
 283      .21599489E+00     -.53823002E-04
 282      .22086054E+00     -.10198400E-03
 281      .22562420E+00      .79810598E-04
 280      .23046768E+00     -.15085901E-03
 279      .23516029E+00      .43630600E-04
 278      .23989654E+00     -.11247400E-03
 277      .24452031E+00      .62882900E-04
 276      .24920696E+00     -.91970003E-04
 275      .25380164E+00      .27775801E-04
 274      .25842410E+00     -.87618801E-05
 273      .26303780E+00     -.58412602E-05
 272      .26764566E+00     -.15217099E-03
 271      .27210134E+00      .10460600E-03
 270      .27666163E+00     -.80406702E-04
 269      .28114152E+00      .23066999E-04
 268      .28564447E+00     -.12105700E-03
 267      .29002637E+00     -.66220797E-04
 266      .29434204E+00     -.42140498E-04
 265      .29861557E+00      .18715900E-04
 264      .30290782E+00     -.24741900E-03
 263      .30695266E+00      .49889099E-04
 262      .31104738E+00     -.41484800E-04
 261      .31510061E+00      .77903300E-04
 260      .31923175E+00     -.10252000E-03
 259      .32326037E+00      .15711800E-03
 258      .32744610E+00      .47743299E-04
 257      .33167958E+00      .15789300E-03
 256      .33607095E+00     -.41306001E-04
 255      .34042102E+00      .13232201E-03
 254      .34490341E+00      .33259399E-04
 253      .34941906E+00      .33319000E-04
 252      .35396802E+00     -.86069100E-04
 251      .35843092E+00      .39696701E-04
 250      .36293352E+00     -.49948700E-04
 249      .36738616E+00      .10263900E-03
 248      .37194145E+00     -.11223600E-03
 247      .37638450E+00     -.18000601E-04
 246      .38080955E+00      .35285899E-04
 245      .38526988E+00      .59723901E-04
 244      .38978994E+00     -.10442700E-03
 243      .39420557E+00      .49829501E-04
 242      .39867103E+00     -.43451801E-04
 241      .40309304E+00      .89287802E-04
 240      .40760434E+00     -.92029601E-04
 239      .41202360E+00      .16689301E-05
 238      .41644454E+00     -.29206301E-05
 237      .42086256E+00      .44226599E-04
 236      .42532480E+00     -.10550000E-03
 235      .42968154E+00      .79274199E-04
 234      .43411756E+00     -.33199802E-04
 233      .43852037E+00      .11003000E-03
 232      .44303322E+00     -.13417000E-03
 231      .44741189E+00      .27537300E-04
 230      .45181811E+00      .28610200E-04
 229      .45625293E+00      .65922701E-04
 228      .46075368E+00     -.90420202E-04
 227      .46516401E+00      .64194202E-04
 226      .46963853E+00     -.60558301E-04
 225      .47405249E+00      .58651000E-04
 224      .47852510E+00     -.11926900E-03
 223      .48287845E+00      .33378601E-04
 222      .48726517E+00     -.73909800E-05
 221      .49164450E+00      .57697300E-04
 220      .49608153E+00     -.14805800E-03
 219      .50037050E+00      .29504299E-04
 218      .50468898E+00      .79154997E-04
 217      .50908661E+00      .35285899E-04
 216      .51351953E+00     -.13876001E-03
 215      .51781368E+00      .55193901E-04
 214      .52216303E+00     -.28729401E-04
 213      .52648365E+00      .89407004E-04
 212      .53089368E+00     -.12314301E-03
 211      .53518057E+00      .26226000E-04
 210      .53949368E+00      .33378601E-04
 209      .54384017E+00      .12874600E-04
 208      .54819953E+00     -.12368000E-03
 207      .55243522E+00      .50544699E-04
 206      .55672145E+00     -.29981100E-04
 205      .56097770E+00      .10228200E-03
 204      .56533623E+00     -.19919900E-03
 203      .56949556E+00      .73671297E-04
 202      .57372856E+00     -.25331999E-04
 201      .57793623E+00     -.22649799E-05
 200      .58214164E+00     -.51140800E-04
 199      .58629590E+00      .12290500E-03
 198      .59057307E+00     -.10138800E-03
 197      .59474885E+00      .12451400E-03
 196      .59904915E+00     -.12636201E-03
 195      .60322309E+00      .54597898E-04
 194      .60745162E+00     -.20265600E-05
 193      .61167812E+00      .41782900E-04
 192      .61594641E+00     -.76293902E-04
 191      .62013841E+00      .16033600E-04
 190      .62434644E+00      .61631203E-04
 189      .62861609E+00      .18417801E-04
 188      .63290417E+00     -.16927699E-04
 187      .63717532E+00     -.23066999E-04
 186      .64142340E+00     -.94175302E-05
 185      .64566207E+00      .10794400E-03
 184      .65000868E+00     -.98884098E-04
 183      .65425640E+00      .50663901E-04
 182      .65855479E+00     -.44703502E-05
 181      .66284871E+00      .27775801E-04
 180      .66717041E+00     -.94711802E-04
 179      .67139739E+00      .11217600E-03
 178      .67573655E+00     -.67293600E-04
 177      .68000841E+00      .66518798E-04
 176      .68434680E+00     -.11491800E-03
 175      .68857026E+00      .18596600E-04
 174      .69281232E+00     -.20027201E-04
 173      .69703436E+00      .73194497E-04
 172      .70132959E+00     -.11372600E-03
 171      .70551109E+00      .89645400E-04
 170      .70978224E+00     -.83684899E-04
 169      .71396971E+00      .11122200E-03
 168      .71826839E+00     -.11563300E-03
 167      .72245145E+00      .60021899E-04
 166      .72669452E+00     -.71704402E-04
 165      .73086590E+00      .73254101E-04
 164      .73511052E+00     -.67949302E-04
 163      .73928720E+00      .40769599E-04
 162      .74350464E+00      .18298600E-04
 161      .74774039E+00      .87439999E-04
 160      .75206357E+00     -.18227100E-03
 159      .75620449E+00      .35703200E-04
 158      .76038110E+00      .21994099E-04
 157      .76457971E+00      .72896502E-04
 156      .76885122E+00     -.94354204E-04
 155      .77302837E+00      .43392200E-04
 154      .77724892E+00      .18775499E-04
 153      .78148824E+00      .55968801E-04
 152      .78578353E+00     -.16754901E-03
 151      .78991127E+00      .10472500E-03
 150      .79414374E+00     -.59246999E-04
 149      .79831696E+00      .94354204E-04
 148      .80258453E+00     -.13268000E-03
 147      .80671942E+00      .40113900E-04
 146      .81089443E+00     -.18358200E-04
 145      .81505108E+00      .60737100E-04
 144      .81926847E+00     -.14221700E-03
 143      .82334363E+00      .10454700E-03
 142      .82752335E+00     -.80704704E-04
 141      .83162236E+00      .70810303E-04
 140      .83579218E+00     -.64373002E-04
 139      .83989763E+00     -.11801700E-04
 138      .84399128E+00      .31173200E-04
 137      .84811610E+00      .58651000E-04
 136      .85229957E+00     -.11050700E-03
 135      .85637254E+00      .97393997E-04
 134      .86054289E+00     -.79274199E-04
 133      .86463398E+00      .96201897E-04
 132      .86882126E+00     -.95903903E-04
 131      .87291265E+00      .10621500E-03
 130      .87711024E+00     -.90599096E-04
 129      .88121724E+00      .78201301E-04
 128      .88540244E+00     -.15503200E-03
 127      .88943261E+00      .75459502E-04
 126      .89353824E+00     -.32007702E-04
 125      .89761186E+00      .73969401E-04
 124      .90175945E+00     -.91612303E-04
 123      .90581542E+00      .26702901E-04
 122      .90989810E+00      .17166099E-04
 121      .91399795E+00      .15020400E-04
 120      .91811281E+00     -.71704402E-04
 119      .92215598E+00      .10609600E-03
 118      .92630523E+00     -.42915301E-04
 117      .93041158E+00      .58174101E-04
 116      .93457609E+00     -.14329000E-03
 115      .93859732E+00      .99956997E-04
 114      .94271851E+00     -.63836596E-04
 113      .94677585E+00      .70929498E-04
 112      .95090413E+00     -.14936901E-03
 111      .95488304E+00      .30398400E-04
 110      .95889235E+00     -.15795200E-04
 109      .96288586E+00     -.41782900E-04
 108      .96683758E+00     -.14585300E-03
 107      .97064346E+00     -.74267402E-04
 106      .97437507E+00     -.13661401E-03
 105      .97797006E+00     -.16671400E-03
 104      .98139834E+00     -.25409501E-03
 103      .98457253E+00     -.27710199E-03
 102      .98746961E+00     -.26583701E-03
 101      .99010086E+00     -.37485399E-03
 100      .99235725E+00     -.35560099E-03
  99      .99425805E+00     -.29629501E-03
  98      .99586254E+00     -.33587200E-03
  97      .99713117E+00     -.32216299E-03
  96      .99807763E+00     -.28795001E-03
  95      .99873614E+00     -.17029000E-03
  94      .99922436E+00     -.17219799E-03
  93      .99954039E+00     -.11795800E-03
  92      .99973845E+00     -.81360296E-04
  91      .99985516E+00     -.46849302E-04
  90      .99992502E+00     -.34570701E-04
  89      .99996030E+00     -.15795200E-04
  88      .99997979E+00     -.11980500E-04
  87      .99998730E+00     -.32186499E-05
  86      .99999160E+00     -.13709100E-05
  85      .99999452E+00     -.13709100E-05
  84      .99999607E+00     -.10132800E-05
  83      .99999660E+00      .65565098E-06
  82      .99999779E+00     -.17881401E-06
  81      .99999881E+00      .17881401E-06
  80      .10000000E+01     -.11920901E-05
