   80  320
 320      .00000000E+00      .00000000E+00
 319      .00000000E+00      .10728800E-05
 318      .10728836E-05      .53048102E-05
 317      .74505806E-05      .83327301E-04
 316      .97155571E-04      .42563700E-03
 315      .61249733E-03      .11660500E-02
 314      .22938848E-02      .21998300E-02
 313      .61751008E-02      .29462599E-02
 312      .13002574E-01      .19044300E-02
 311      .21734476E-01      .10074400E-02
 310      .31473815E-01     -.41723301E-05
 309      .41208982E-01     -.34266699E-03
 308      .50601482E-01     -.69642102E-03
 307      .59297562E-01     -.23961101E-03
 306      .67754030E-01     -.25355801E-03
 305      .75956941E-01     -.84757798E-04
 304      .84075093E-01     -.50997699E-03
 303      .91683269E-01     -.90241403E-04
 302      .99201202E-01     -.32746801E-03
 301      .10639167E+00      .15973999E-04
 300      .11359811E+00     -.50747400E-03
 299      .12029707E+00     -.25945899E-03
 298      .12673658E+00     -.24718000E-03
 297      .13292891E+00     -.14412400E-03
 296      .13897711E+00     -.32526301E-03
 295      .14470005E+00     -.13500500E-03
 294      .15028799E+00     -.18954300E-03
 293      .15568638E+00      .15020400E-04
 292      .16109979E+00     -.27453899E-03
 291      .16623867E+00      .17941000E-04
 290      .17139548E+00     -.87857203E-04
 289      .17646444E+00     -.22053700E-05
 288      .18153119E+00     -.20009300E-03
 287      .18639785E+00      .32067299E-04
 286      .19129658E+00     -.98168799E-04
 285      .19609714E+00      .78976198E-04
 284      .20097667E+00     -.16510500E-03
 283      .20569110E+00     -.29802300E-06
 282      .21040523E+00     -.85592299E-04
 281      .21503377E+00      .76830402E-04
 280      .21973914E+00     -.17756200E-03
 279      .22426695E+00      .11509700E-03
 278      .22890985E+00     -.45001500E-04
 277      .23350775E+00      .13047500E-03
 276      .23823613E+00     -.78618497E-04
 275      .24288589E+00      .17881401E-06
 274      .24753582E+00      .36358799E-05
 273      .25218940E+00      .11444100E-04
 272      .25685441E+00     -.43928601E-04
 271      .26147550E+00      .77485998E-06
 270      .26609737E+00     -.56743600E-04
 269      .27066249E+00      .10854000E-03
 268      .27533615E+00     -.12099700E-03
 267      .27988881E+00      .37848899E-04
 266      .28447932E+00     -.20861600E-04
 265      .28904897E+00      .11503700E-03
 264      .29373366E+00     -.13744801E-03
 263      .29828089E+00      .69856600E-04
 262      .30289799E+00     -.71346803E-04
 261      .30744374E+00      .58889400E-04
 260      .31204838E+00     -.94950199E-04
 259      .31655806E+00     -.60021899E-04
 258      .32100773E+00     -.34213099E-04
 257      .32542318E+00      .92387199E-04
 256      .32993102E+00     -.21994099E-03
 255      .33421892E+00      .77486002E-04
 254      .33858430E+00      .42438500E-04
 253      .34299213E+00      .12558700E-03
 252      .34752554E+00     -.54717100E-04
 251      .35200423E+00      .51498399E-04
 250      .35653442E+00      .21696100E-04
 249      .36108631E+00      .15223000E-03
 248      .36579043E+00     -.10621500E-03
 247      .37038833E+00      .22888200E-04
 246      .37500912E+00      .34749501E-04
 245      .37966466E+00     -.25034001E-05
 244      .38431770E+00     -.45716799E-04
 243      .38892502E+00     -.62286897E-04
 242      .39347005E+00      .16093300E-04
 241      .39803118E+00      .10967300E-03
 240      .40270197E+00     -.19174800E-03
 239      .40718102E+00      .74625001E-04
 238      .41173470E+00     -.43451801E-04
 237      .41624492E+00      .86605498E-04
 236      .42084175E+00     -.11193800E-03
 235      .42532665E+00     -.26702901E-04
 234      .42978483E+00      .86426699E-04
 233      .43432945E+00      .33020999E-04
 232      .43890709E+00     -.15419700E-03
 231      .44333053E+00      .72300398E-04
 230      .44782627E+00     -.44107401E-04
 229      .45227790E+00      .12475300E-03
 228      .45685428E+00     -.11313000E-03
 227      .46131754E+00      .60558301E-04
 226      .46584135E+00     -.59604601E-04
 225      .47030556E+00      .11235500E-03
 224      .47488213E+00     -.15986001E-03
 223      .47929883E+00      .12177200E-03
 222      .48383731E+00     -.35882000E-04
 221      .48833990E+00      .92446797E-04
 220      .49293494E+00     -.12707700E-03
 219      .49740291E+00     -.32067299E-04
 218      .50183880E+00      .63300096E-04
 217      .50633800E+00      .73015697E-04
 216      .51091021E+00     -.15807200E-03
 215      .51532435E+00      .81062302E-04
 214      .51981956E+00      .83446503E-06
 213      .52431560E+00      .10645400E-03
 212      .52891809E+00     -.14388601E-03
 211      .53337669E+00      .84221399E-04
 210      .53791952E+00     -.78082099E-04
 209      .54238427E+00      .10609600E-03
 208      .54695511E+00     -.15902500E-03
 207      .55136693E+00      .51140800E-04
 206      .55582988E+00      .11026900E-04
 205      .56030387E+00      .70810303E-04
 204      .56484866E+00     -.10848000E-03
 203      .56928498E+00      .29683100E-04
 202      .57375097E+00     -.28789000E-04
 201      .57818818E+00      .97274802E-04
 200      .58272266E+00     -.14913100E-03
 199      .58710802E+00      .45478300E-04
 198      .59153885E+00     -.39696701E-04
 197      .59592998E+00      .15717700E-03
 196      .60047829E+00     -.15264700E-03
 195      .60487396E+00      .43690201E-04
 194      .60931331E+00     -.12099700E-04
 193      .61374056E+00      .88751302E-04
 192      .61825657E+00     -.14555499E-03
 191      .62262702E+00      .53882599E-04
 190      .62705135E+00      .56147601E-04
 189      .63153183E+00      .10728800E-04
 188      .63602304E+00     -.12219000E-03
 187      .64039207E+00      .73790601E-04
 186      .64483488E+00      .12695800E-04
 185      .64929038E+00      .57458899E-04
 184      .65380335E+00     -.91970003E-04
 183      .65822434E+00      .71525601E-05
 182      .66265249E+00      .30994399E-05
 181      .66708374E+00      .92506401E-04
 180      .67160749E+00     -.90002999E-04
 179      .67604125E+00      .18119799E-04
 178      .68049312E+00     -.92387199E-05
 177      .68493575E+00      .77903300E-04
 176      .68945628E+00     -.18793299E-03
 175      .69378889E+00      .10603700E-03
 174      .69822752E+00     -.29861900E-04
 173      .70263630E+00      .48875801E-04
 172      .70709395E+00     -.84996202E-04
 171      .71146661E+00      .51319599E-04
 170      .71589059E+00     -.36060799E-04
 169      .72027850E+00      .10323500E-03
 168      .72476965E+00     -.12427600E-03
 167      .72913653E+00      .47147299E-04
 166      .73355055E+00     -.23663000E-04
 165      .73794091E+00      .84757798E-04
 164      .74241602E+00     -.12242800E-03
 163      .74676871E+00      .72956100E-04
 162      .75119436E+00     -.82552397E-04
 161      .75553745E+00      .37550901E-04
 160      .75991809E+00      .45299498E-05
 159      .76430327E+00      .39160299E-04
 158      .76872760E+00     -.83386898E-04
 157      .77306855E+00      .10514300E-03
 156      .77751464E+00     -.91910399E-04
 155      .78186882E+00      .26464500E-04
 154      .78624946E+00      .12338200E-04
 153      .79064244E+00      .58352900E-04
 152      .79509377E+00     -.99360899E-04
 151      .79944575E+00     -.46491600E-05
 150      .80379307E+00     -.64373002E-04
 149      .80807602E+00      .11962700E-03
 148      .81247860E+00     -.13500500E-03
 147      .81674618E+00      .94354204E-04
 146      .82110810E+00     -.26226001E-05
 145      .82546741E+00      .11032800E-03
 144      .82993704E+00     -.20283500E-03
 143      .83420384E+00      .80347098E-04
 142      .83855098E+00     -.22530599E-04
 141      .84287560E+00      .58770202E-04
 140      .84725899E+00     -.59843100E-04
 139      .85158253E+00      .38743001E-05
 138      .85590994E+00     -.22649799E-05
 137      .86023510E+00      .11169900E-03
 136      .86467195E+00     -.15354200E-03
 135      .86895525E+00      .67949302E-04
 134      .87330651E+00     -.37074100E-04
 133      .87762070E+00      .53048101E-04
 132      .88198793E+00     -.81360296E-04
 131      .88627380E+00      .45061101E-04
 130      .89060473E+00      .82254401E-05
 129      .89494389E+00      .79035803E-04
 128      .89936209E+00     -.13035499E-03
 127      .90364993E+00     -.18119799E-04
 126      .90791965E+00      .24318701E-04
 125      .91221368E+00      .78439698E-04
 124      .91658616E+00     -.10782500E-03
 123      .92085081E+00      .51498399E-04
 122      .92516696E+00     -.20146401E-04
 121      .92946297E+00      .79572201E-04
 120      .93383855E+00     -.12940200E-03
 119      .93808472E+00     -.12099700E-04
 118      .94231880E+00      .34570701E-04
 117      .94658744E+00      .21159600E-04
 116      .95087725E+00     -.12838800E-03
 115      .95503867E+00      .45239900E-04
 114      .95924532E+00     -.11003000E-03
 113      .96334195E+00     -.56803201E-04
 112      .96738178E+00     -.23764400E-03
 111      .97118396E+00     -.12797100E-03
 110      .97485816E+00     -.12588500E-03
 109      .97840649E+00     -.18233100E-03
 108      .98177248E+00     -.30642701E-03
 107      .98483205E+00     -.33074600E-03
 106      .98756087E+00     -.25987599E-03
 105      .99002981E+00     -.30845401E-03
 104      .99219030E+00     -.32764699E-03
 103      .99402314E+00     -.30601001E-03
 102      .99554998E+00     -.33223600E-03
 101      .99674457E+00     -.19556300E-03
 100      .99774361E+00     -.28538701E-03
  99      .99845725E+00     -.18376100E-03
  98      .99898714E+00     -.15240900E-03
  97      .99936461E+00     -.12630199E-03
  96      .99961579E+00     -.94950199E-04
  95      .99977201E+00     -.61631203E-04
  94      .99986660E+00     -.35703200E-04
  93      .99992549E+00     -.24795499E-04
  92      .99995959E+00     -.17583399E-04
  91      .99997610E+00     -.53048102E-05
  90      .99998730E+00     -.73909800E-05
  89      .99999112E+00     -.22053700E-05
  88      .99999273E+00     -.12517000E-05
  87      .99999309E+00      .41723300E-06
  86      .99999386E+00      .47683699E-06
  85      .99999511E+00      .00000000E+00
  84      .99999636E+00     -.71525602E-06
  83      .99999690E+00      .77485998E-06
  82      .99999821E+00     -.59604599E-07
  81      .99999946E+00     -.71525602E-06
  80      .10000000E+01     -.53644197E-06
