   95  330
 330     0.0000e+00     1.0000e-03
 329     0.0000e+00     1.0000e-03
 328     0.0000e+00     1.0000e-03
 327     8.8690e-06     1.0000e-03
 326     1.1825e-05     1.0000e-03
 325     4.1389e-05     1.0000e-03
 324     4.8484e-04     1.0000e-03
 323     2.2616e-03     1.0000e-03
 322     7.0331e-03     1.0000e-03
 321     1.5293e-02     1.0000e-03
 320     2.7056e-02     1.0000e-03
 319     3.9606e-02     1.0000e-03
 318     5.1632e-02     1.0000e-03
 317     6.2429e-02     1.0000e-03
 316     7.3308e-02     1.0000e-03
 315     8.3697e-02     1.0000e-03
 314     9.3414e-02     1.0000e-03
 313     1.0319e-01     1.0000e-03
 312     1.1302e-01     1.0000e-03
 311     1.2199e-01     1.0000e-03
 310     1.3113e-01     1.0000e-03
 309     1.3987e-01     1.0000e-03
 308     1.4826e-01     1.0000e-03
 307     1.5605e-01     1.0000e-03
 306     1.6323e-01     1.0000e-03
 305     1.7023e-01     1.0000e-03
 304     1.7659e-01     1.0000e-03
 303     1.8252e-01     1.0000e-03
 302     1.8834e-01     1.0000e-03
 301     1.9401e-01     1.0000e-03
 300     1.9980e-01     1.0000e-03
 299     2.0515e-01     1.0000e-03
 298     2.1037e-01     1.0000e-03
 297     2.1549e-01     1.0000e-03
 296     2.2057e-01     1.0000e-03
 295     2.2554e-01     1.0000e-03
 294     2.3050e-01     1.0000e-03
 293     2.3520e-01     1.0000e-03
 292     2.4010e-01     1.0000e-03
 291     2.4466e-01     1.0000e-03
 290     2.4937e-01     1.0000e-03
 289     2.5392e-01     1.0000e-03
 288     2.5866e-01     1.0000e-03
 287     2.6337e-01     1.0000e-03
 286     2.6789e-01     1.0000e-03
 285     2.7228e-01     1.0000e-03
 284     2.7681e-01     1.0000e-03
 283     2.8142e-01     1.0000e-03
 282     2.8590e-01     1.0000e-03
 281     2.9061e-01     1.0000e-03
 280     2.9523e-01     1.0000e-03
 279     2.9958e-01     1.0000e-03
 278     3.0387e-01     1.0000e-03
 277     3.0816e-01     1.0000e-03
 276     3.1244e-01     1.0000e-03
 275     3.1675e-01     1.0000e-03
 274     3.2106e-01     1.0000e-03
