  100  335
 335     2.3910e-06     1.0000e-03
 334     4.7821e-06     1.0000e-03
 333     5.5791e-06     1.0000e-03
 332     1.0361e-05     1.0000e-03
 331     1.4346e-05     1.0000e-03
 330     1.9128e-05     1.0000e-03
 329     5.0212e-05     1.0000e-03
 328     2.2635e-04     1.0000e-03
 327     1.0114e-03     1.0000e-03
 326     3.0318e-03     1.0000e-03
 325     6.9348e-03     1.0000e-03
 324     1.3045e-02     1.0000e-03
 323     2.0956e-02     1.0000e-03
 322     2.9969e-02     1.0000e-03
 321     3.9632e-02     1.0000e-03
 320     4.9378e-02     1.0000e-03
 319     5.8889e-02     1.0000e-03
 318     6.8130e-02     1.0000e-03
 317     7.7095e-02     1.0000e-03
 316     8.6010e-02     1.0000e-03
 315     9.4239e-02     1.0000e-03
 314     1.0246e-01     1.0000e-03
 313     1.1019e-01     1.0000e-03
 312     1.1769e-01     1.0000e-03
 311     1.2457e-01     1.0000e-03
 310     1.3117e-01     1.0000e-03
 309     1.3741e-01     1.0000e-03
 308     1.4359e-01     1.0000e-03
 307     1.4932e-01     1.0000e-03
 306     1.5503e-01     1.0000e-03
 305     1.6060e-01     1.0000e-03
 304     1.6603e-01     1.0000e-03
 303     1.7118e-01     1.0000e-03
 302     1.7637e-01     1.0000e-03
 301     1.8146e-01     1.0000e-03
 300     1.8656e-01     1.0000e-03
 299     1.9151e-01     1.0000e-03
 298     1.9645e-01     1.0000e-03
 297     2.0149e-01     1.0000e-03
 296     2.0645e-01     1.0000e-03
 295     2.1117e-01     1.0000e-03
 294     2.1600e-01     1.0000e-03
 293     2.2083e-01     1.0000e-03
 292     2.2551e-01     1.0000e-03
 291     2.3020e-01     1.0000e-03
 290     2.3493e-01     1.0000e-03
 289     2.3969e-01     1.0000e-03
 288     2.4447e-01     1.0000e-03
 287     2.4903e-01     1.0000e-03
 286     2.5381e-01     1.0000e-03
 285     2.5849e-01     1.0000e-03
 284     2.6337e-01     1.0000e-03
 283     2.6793e-01     1.0000e-03
 282     2.7254e-01     1.0000e-03
 281     2.7717e-01     1.0000e-03
 280     2.8195e-01     1.0000e-03
 279     2.8665e-01     1.0000e-03
 278     2.9128e-01     1.0000e-03
 277     2.9586e-01     1.0000e-03
 276     3.0066e-01     1.0000e-03
 275     3.0520e-01     1.0000e-03
 274     3.0988e-01     1.0000e-03
 273     3.1445e-01     1.0000e-03
 272     3.1909e-01     1.0000e-03
 271     3.2357e-01     1.0000e-03
 270     3.2804e-01     1.0000e-03
 269     3.3250e-01     1.0000e-03
 268     3.3714e-01     1.0000e-03
 267     3.4162e-01     1.0000e-03
 266     3.4617e-01     1.0000e-03
 265     3.5052e-01     1.0000e-03
 264     3.5504e-01     1.0000e-03
 263     3.5950e-01     1.0000e-03
 262     3.6397e-01     1.0000e-03
 261     3.6850e-01     1.0000e-03
 260     3.7309e-01     1.0000e-03
 259     3.7766e-01     1.0000e-03
 258     3.8222e-01     1.0000e-03
 257     3.8691e-01     1.0000e-03
 256     3.9165e-01     1.0000e-03
 255     3.9617e-01     1.0000e-03
 254     4.0079e-01     1.0000e-03
 253     4.0532e-01     1.0000e-03
 252     4.0985e-01     1.0000e-03
 251     4.1429e-01     1.0000e-03
 250     4.1885e-01     1.0000e-03
 249     4.2334e-01     1.0000e-03
 248     4.2810e-01     1.0000e-03
 247     4.3261e-01     1.0000e-03
 246     4.3714e-01     1.0000e-03
 245     4.4154e-01     1.0000e-03
 244     4.4612e-01     1.0000e-03
 243     4.5053e-01     1.0000e-03
 242     4.5515e-01     1.0000e-03
 241     4.5965e-01     1.0000e-03
 240     4.6427e-01     1.0000e-03
 239     4.6862e-01     1.0000e-03
 238     4.7316e-01     1.0000e-03
 237     4.7757e-01     1.0000e-03
 236     4.8216e-01     1.0000e-03
 235     4.8664e-01     1.0000e-03
 234     4.9110e-01     1.0000e-03
 233     4.9562e-01     1.0000e-03
 232     5.0020e-01     1.0000e-03
 231     5.0457e-01     1.0000e-03
 230     5.0918e-01     1.0000e-03
 229     5.1362e-01     1.0000e-03
 228     5.1819e-01     1.0000e-03
 227     5.2265e-01     1.0000e-03
 226     5.2719e-01     1.0000e-03
 225     5.3156e-01     1.0000e-03
 224     5.3602e-01     1.0000e-03
 223     5.4040e-01     1.0000e-03
 222     5.4485e-01     1.0000e-03
 221     5.4928e-01     1.0000e-03
 220     5.5372e-01     1.0000e-03
 219     5.5815e-01     1.0000e-03
 218     5.6258e-01     1.0000e-03
 217     5.6699e-01     1.0000e-03
 216     5.7151e-01     1.0000e-03
 215     5.7589e-01     1.0000e-03
 214     5.8031e-01     1.0000e-03
 213     5.8467e-01     1.0000e-03
 212     5.8909e-01     1.0000e-03
 211     5.9346e-01     1.0000e-03
 210     5.9784e-01     1.0000e-03
 209     6.0216e-01     1.0000e-03
 208     6.0668e-01     1.0000e-03
 207     6.1099e-01     1.0000e-03
 206     6.1542e-01     1.0000e-03
 205     6.1974e-01     1.0000e-03
 204     6.2430e-01     1.0000e-03
 203     6.2864e-01     1.0000e-03
 202     6.3300e-01     1.0000e-03
 201     6.3734e-01     1.0000e-03
 200     6.4179e-01     1.0000e-03
 199     6.4611e-01     1.0000e-03
 198     6.5055e-01     1.0000e-03
 197     6.5483e-01     1.0000e-03
 196     6.5926e-01     1.0000e-03
 195     6.6357e-01     1.0000e-03
 194     6.6799e-01     1.0000e-03
 193     6.7234e-01     1.0000e-03
 192     6.7687e-01     1.0000e-03
 191     6.8125e-01     1.0000e-03
 190     6.8560e-01     1.0000e-03
 189     6.8991e-01     1.0000e-03
 188     6.9445e-01     1.0000e-03
 187     6.9870e-01     1.0000e-03
 186     7.0310e-01     1.0000e-03
 185     7.0747e-01     1.0000e-03
 184     7.1189e-01     1.0000e-03
 183     7.1628e-01     1.0000e-03
 182     7.2062e-01     1.0000e-03
 181     7.2493e-01     1.0000e-03
 180     7.2939e-01     1.0000e-03
 179     7.3365e-01     1.0000e-03
 178     7.3808e-01     1.0000e-03
 177     7.4248e-01     1.0000e-03
 176     7.4677e-01     1.0000e-03
 175     7.5101e-01     1.0000e-03
 174     7.5525e-01     1.0000e-03
 173     7.5956e-01     1.0000e-03
 172     7.6388e-01     1.0000e-03
 171     7.6816e-01     1.0000e-03
 170     7.7250e-01     1.0000e-03
 169     7.7681e-01     1.0000e-03
 168     7.8124e-01     1.0000e-03
 167     7.8552e-01     1.0000e-03
 166     7.8989e-01     1.0000e-03
 165     7.9422e-01     1.0000e-03
 164     7.9852e-01     1.0000e-03
 163     8.0281e-01     1.0000e-03
 162     8.0717e-01     1.0000e-03
 161     8.1154e-01     1.0000e-03
 160     8.1598e-01     1.0000e-03
 159     8.2030e-01     1.0000e-03
 158     8.2465e-01     1.0000e-03
 157     8.2891e-01     1.0000e-03
 156     8.3335e-01     1.0000e-03
 155     8.3762e-01     1.0000e-03
 154     8.4199e-01     1.0000e-03
 153     8.4636e-01     1.0000e-03
 152     8.5070e-01     1.0000e-03
 151     8.5501e-01     1.0000e-03
 150     8.5930e-01     1.0000e-03
 149     8.6368e-01     1.0000e-03
 148     8.6792e-01     1.0000e-03
 147     8.7219e-01     1.0000e-03
 146     8.7641e-01     1.0000e-03
 145     8.8060e-01     1.0000e-03
 144     8.8496e-01     1.0000e-03
 143     8.8932e-01     1.0000e-03
 142     8.9362e-01     1.0000e-03
 141     8.9789e-01     1.0000e-03
 140     9.0218e-01     1.0000e-03
 139     9.0634e-01     1.0000e-03
 138     9.1053e-01     1.0000e-03
 137     9.1476e-01     1.0000e-03
 136     9.1912e-01     1.0000e-03
 135     9.2331e-01     1.0000e-03
 134     9.2754e-01     1.0000e-03
 133     9.3177e-01     1.0000e-03
 132     9.3612e-01     1.0000e-03
 131     9.4041e-01     1.0000e-03
 130     9.4458e-01     1.0000e-03
 129     9.4878e-01     1.0000e-03
 128     9.5314e-01     1.0000e-03
 127     9.5728e-01     1.0000e-03
 126     9.6134e-01     1.0000e-03
 125     9.6538e-01     1.0000e-03
 124     9.6943e-01     1.0000e-03
 123     9.7332e-01     1.0000e-03
