   85  320
 320     1.4957e-06     1.0000e-03
 319     2.9914e-06     1.0000e-03
 318     8.9743e-06     1.0000e-03
 317     1.0470e-05     1.0000e-03
 316     1.3461e-05     1.0000e-03
 315     1.7949e-05     1.0000e-03
 314     2.0940e-05     1.0000e-03
 313     2.8419e-05     1.0000e-03
 312     1.4658e-04     1.0000e-03
 311     9.3333e-04     1.0000e-03
 310     3.6032e-03     1.0000e-03
 309     9.8523e-03     1.0000e-03
 308     1.9954e-02     1.0000e-03
 307     3.2626e-02     1.0000e-03
 306     4.5236e-02     1.0000e-03
 305     5.6742e-02     1.0000e-03
 304     6.7695e-02     1.0000e-03
 303     7.7870e-02     1.0000e-03
 302     8.7829e-02     1.0000e-03
 301     9.7646e-02     1.0000e-03
 300     1.0747e-01     1.0000e-03
 299     1.1674e-01     1.0000e-03
 298     1.2588e-01     1.0000e-03
 297     1.3510e-01     1.0000e-03
 296     1.4410e-01     1.0000e-03
 295     1.5227e-01     1.0000e-03
 294     1.6023e-01     1.0000e-03
 293     1.6750e-01     1.0000e-03
 292     1.7456e-01     1.0000e-03
 291     1.8097e-01     1.0000e-03
 290     1.8720e-01     1.0000e-03
 289     1.9323e-01     1.0000e-03
 288     1.9905e-01     1.0000e-03
 287     2.0455e-01     1.0000e-03
 286     2.0988e-01     1.0000e-03
 285     2.1528e-01     1.0000e-03
 284     2.2059e-01     1.0000e-03
 283     2.2547e-01     1.0000e-03
 282     2.3056e-01     1.0000e-03
 281     2.3561e-01     1.0000e-03
 280     2.4053e-01     1.0000e-03
 279     2.4529e-01     1.0000e-03
 278     2.5017e-01     1.0000e-03
 277     2.5499e-01     1.0000e-03
 276     2.5984e-01     1.0000e-03
 275     2.6463e-01     1.0000e-03
 274     2.6948e-01     1.0000e-03
 273     2.7417e-01     1.0000e-03
 272     2.7893e-01     1.0000e-03
 271     2.8358e-01     1.0000e-03
 270     2.8809e-01     1.0000e-03
 269     2.9264e-01     1.0000e-03
 268     2.9728e-01     1.0000e-03
 267     3.0180e-01     1.0000e-03
 266     3.0626e-01     1.0000e-03
 265     3.1069e-01     1.0000e-03
 264     3.1500e-01     1.0000e-03
 263     3.1910e-01     1.0000e-03
 262     3.2329e-01     1.0000e-03
 261     3.2754e-01     1.0000e-03
 260     3.3189e-01     1.0000e-03
 259     3.3618e-01     1.0000e-03
 258     3.4061e-01     1.0000e-03
 257     3.4511e-01     1.0000e-03
 256     3.4968e-01     1.0000e-03
 255     3.5412e-01     1.0000e-03
 254     3.5876e-01     1.0000e-03
 253     3.6324e-01     1.0000e-03
 252     3.6800e-01     1.0000e-03
 251     3.7262e-01     1.0000e-03
 250     3.7722e-01     1.0000e-03
 249     3.8192e-01     1.0000e-03
 248     3.8672e-01     1.0000e-03
 247     3.9116e-01     1.0000e-03
 246     3.9560e-01     1.0000e-03
 245     4.0020e-01     1.0000e-03
 244     4.0486e-01     1.0000e-03
 243     4.0928e-01     1.0000e-03
 242     4.1375e-01     1.0000e-03
 241     4.1843e-01     1.0000e-03
 240     4.2306e-01     1.0000e-03
 239     4.2755e-01     1.0000e-03
 238     4.3217e-01     1.0000e-03
 237     4.3659e-01     1.0000e-03
 236     4.4115e-01     1.0000e-03
 235     4.4563e-01     1.0000e-03
 234     4.5025e-01     1.0000e-03
 233     4.5476e-01     1.0000e-03
 232     4.5932e-01     1.0000e-03
 231     4.6380e-01     1.0000e-03
 230     4.6827e-01     1.0000e-03
 229     4.7277e-01     1.0000e-03
 228     4.7716e-01     1.0000e-03
 227     4.8165e-01     1.0000e-03
 226     4.8605e-01     1.0000e-03
 225     4.9052e-01     1.0000e-03
 224     4.9502e-01     1.0000e-03
 223     4.9924e-01     1.0000e-03
 222     5.0375e-01     1.0000e-03
 221     5.0827e-01     1.0000e-03
 220     5.1282e-01     1.0000e-03
 219     5.1718e-01     1.0000e-03
 218     5.2167e-01     1.0000e-03
 217     5.2609e-01     1.0000e-03
 216     5.3045e-01     1.0000e-03
 215     5.3468e-01     1.0000e-03
 214     5.3907e-01     1.0000e-03
 213     5.4332e-01     1.0000e-03
 212     5.4780e-01     1.0000e-03
 211     5.5204e-01     1.0000e-03
 210     5.5639e-01     1.0000e-03
 209     5.6089e-01     1.0000e-03
 208     5.6522e-01     1.0000e-03
 207     5.6948e-01     1.0000e-03
 206     5.7361e-01     1.0000e-03
 205     5.7789e-01     1.0000e-03
 204     5.8219e-01     1.0000e-03
 203     5.8634e-01     1.0000e-03
 202     5.9060e-01     1.0000e-03
 201     5.9485e-01     1.0000e-03
 200     5.9910e-01     1.0000e-03
 199     6.0326e-01     1.0000e-03
 198     6.0739e-01     1.0000e-03
 197     6.1158e-01     1.0000e-03
 196     6.1586e-01     1.0000e-03
 195     6.2027e-01     1.0000e-03
 194     6.2443e-01     1.0000e-03
 193     6.2864e-01     1.0000e-03
 192     6.3299e-01     1.0000e-03
 191     6.3719e-01     1.0000e-03
 190     6.4139e-01     1.0000e-03
 189     6.4579e-01     1.0000e-03
 188     6.4995e-01     1.0000e-03
 187     6.5434e-01     1.0000e-03
 186     6.5866e-01     1.0000e-03
 185     6.6299e-01     1.0000e-03
 184     6.6746e-01     1.0000e-03
 183     6.7166e-01     1.0000e-03
 182     6.7593e-01     1.0000e-03
 181     6.8020e-01     1.0000e-03
 180     6.8438e-01     1.0000e-03
 179     6.8871e-01     1.0000e-03
 178     6.9283e-01     1.0000e-03
 177     6.9703e-01     1.0000e-03
 176     7.0133e-01     1.0000e-03
 175     7.0549e-01     1.0000e-03
 174     7.0976e-01     1.0000e-03
 173     7.1402e-01     1.0000e-03
 172     7.1835e-01     1.0000e-03
 171     7.2242e-01     1.0000e-03
 170     7.2671e-01     1.0000e-03
 169     7.3096e-01     1.0000e-03
 168     7.3523e-01     1.0000e-03
 167     7.3935e-01     1.0000e-03
 166     7.4378e-01     1.0000e-03
 165     7.4789e-01     1.0000e-03
 164     7.5228e-01     1.0000e-03
 163     7.5657e-01     1.0000e-03
 162     7.6090e-01     1.0000e-03
 161     7.6511e-01     1.0000e-03
 160     7.6948e-01     1.0000e-03
 159     7.7365e-01     1.0000e-03
 158     7.7800e-01     1.0000e-03
 157     7.8223e-01     1.0000e-03
 156     7.8653e-01     1.0000e-03
 155     7.9074e-01     1.0000e-03
 154     7.9506e-01     1.0000e-03
 153     7.9915e-01     1.0000e-03
 152     8.0342e-01     1.0000e-03
 151     8.0757e-01     1.0000e-03
 150     8.1177e-01     1.0000e-03
 149     8.1583e-01     1.0000e-03
 148     8.2000e-01     1.0000e-03
 147     8.2410e-01     1.0000e-03
 146     8.2815e-01     1.0000e-03
 145     8.3237e-01     1.0000e-03
 144     8.3660e-01     1.0000e-03
 143     8.4071e-01     1.0000e-03
 142     8.4483e-01     1.0000e-03
 141     8.4887e-01     1.0000e-03
 140     8.5314e-01     1.0000e-03
 139     8.5699e-01     1.0000e-03
 138     8.6117e-01     1.0000e-03
 137     8.6513e-01     1.0000e-03
 136     8.6928e-01     1.0000e-03
 135     8.7344e-01     1.0000e-03
 134     8.7757e-01     1.0000e-03
 133     8.8153e-01     1.0000e-03
 132     8.8583e-01     1.0000e-03
 131     8.8971e-01     1.0000e-03
 130     8.9379e-01     1.0000e-03
 129     8.9793e-01     1.0000e-03
 128     9.0204e-01     1.0000e-03
 127     9.0606e-01     1.0000e-03
 126     9.1018e-01     1.0000e-03
 125     9.1403e-01     1.0000e-03
 124     9.1817e-01     1.0000e-03
 123     9.2219e-01     1.0000e-03
 122     9.2622e-01     1.0000e-03
 121     9.3040e-01     1.0000e-03
 120     9.3446e-01     1.0000e-03
 119     9.3845e-01     1.0000e-03
 118     9.4246e-01     1.0000e-03
 117     9.4627e-01     1.0000e-03
 116     9.5043e-01     1.0000e-03
 115     9.5437e-01     1.0000e-03
 114     9.5835e-01     1.0000e-03
 113     9.6219e-01     1.0000e-03
 112     9.6604e-01     1.0000e-03
 111     9.6980e-01     1.0000e-03
 110     9.7342e-01     1.0000e-03
 109     9.7699e-01     1.0000e-03
 108     9.8039e-01     1.0000e-03
 107     9.8359e-01     1.0000e-03
 106     9.8647e-01     1.0000e-03
 105     9.8907e-01     1.0000e-03
 104     9.9152e-01     1.0000e-03
 103     9.9352e-01     1.0000e-03
 102     9.9521e-01     1.0000e-03
 101     9.9656e-01     1.0000e-03
 100     9.9759e-01     1.0000e-03
  99     9.9837e-01     1.0000e-03
  98     9.9894e-01     1.0000e-03
  97     9.9928e-01     1.0000e-03
  96     9.9960e-01     1.0000e-03
  95     9.9975e-01     1.0000e-03
  94     9.9985e-01     1.0000e-03
  93     9.9991e-01     1.0000e-03
  92     9.9994e-01     1.0000e-03
  91     9.9996e-01     1.0000e-03
  90     9.9998e-01     1.0000e-03
  89     9.9999e-01     1.0000e-03
  88     9.9999e-01     1.0000e-03
  87     9.9999e-01     1.0000e-03
  86     1.0000e+00     1.0000e-03
  85     1.0000e+00     1.0000e-03
