   90  330
 330     0.0000e+00     1.0000e-03
 329     2.7062e-06     1.0000e-03
 328     8.1187e-06     1.0000e-03
 327     1.0825e-05     1.0000e-03
 326     1.8944e-05     1.0000e-03
 325     2.1650e-05     1.0000e-03
 324     2.1650e-05     1.0000e-03
 323     2.1650e-05     1.0000e-03
 322     2.4356e-05     1.0000e-03
 321     2.7062e-05     1.0000e-03
 320     2.9769e-05     1.0000e-03
 319     2.9769e-05     1.0000e-03
 318     2.9769e-05     1.0000e-03
 317     2.9769e-05     1.0000e-03
 316     7.3068e-05     1.0000e-03
 315     6.1702e-04     1.0000e-03
 314     2.2786e-03     1.0000e-03
 313     5.8752e-03     1.0000e-03
 312     1.2262e-02     1.0000e-03
 311     2.0792e-02     1.0000e-03
 310     3.0827e-02     1.0000e-03
 309     4.0815e-02     1.0000e-03
 308     5.1031e-02     1.0000e-03
 307     6.0517e-02     1.0000e-03
 306     6.9772e-02     1.0000e-03
 305     7.8651e-02     1.0000e-03
 304     8.7187e-02     1.0000e-03
 303     9.5083e-02     1.0000e-03
 302     1.0300e-01     1.0000e-03
 301     1.1056e-01     1.0000e-03
 300     1.1814e-01     1.0000e-03
 299     1.2467e-01     1.0000e-03
 298     1.3104e-01     1.0000e-03
 297     1.3733e-01     1.0000e-03
 296     1.4322e-01     1.0000e-03
 295     1.4919e-01     1.0000e-03
 294     1.5506e-01     1.0000e-03
 293     1.6072e-01     1.0000e-03
 292     1.6619e-01     1.0000e-03
 291     1.7161e-01     1.0000e-03
 290     1.7670e-01     1.0000e-03
 289     1.8208e-01     1.0000e-03
 288     1.8735e-01     1.0000e-03
 287     1.9249e-01     1.0000e-03
 286     1.9728e-01     1.0000e-03
 285     2.0229e-01     1.0000e-03
 284     2.0736e-01     1.0000e-03
 283     2.1237e-01     1.0000e-03
 282     2.1712e-01     1.0000e-03
 281     2.2201e-01     1.0000e-03
 280     2.2713e-01     1.0000e-03
 279     2.3186e-01     1.0000e-03
 278     2.3688e-01     1.0000e-03
 277     2.4177e-01     1.0000e-03
 276     2.4641e-01     1.0000e-03
 275     2.5123e-01     1.0000e-03
 274     2.5607e-01     1.0000e-03
 273     2.6101e-01     1.0000e-03
