   90  330
 330     2.5868e-06     1.0000e-03
 329     4.5268e-06     1.0000e-03
 328     9.0537e-06     1.0000e-03
 327     1.2934e-05     1.0000e-03
 326     1.9401e-05     1.0000e-03
 325     7.3723e-05     1.0000e-03
 324     6.7838e-04     1.0000e-03
 323     2.9496e-03     1.0000e-03
 322     8.1296e-03     1.0000e-03
 321     1.7170e-02     1.0000e-03
 320     2.9347e-02     1.0000e-03
 319     4.2077e-02     1.0000e-03
 318     5.4168e-02     1.0000e-03
 317     6.5121e-02     1.0000e-03
 316     7.5494e-02     1.0000e-03
 315     8.5202e-02     1.0000e-03
 314     9.4797e-02     1.0000e-03
 313     1.0439e-01     1.0000e-03
 312     1.1396e-01     1.0000e-03
 311     1.2310e-01     1.0000e-03
 310     1.3218e-01     1.0000e-03
 309     1.4103e-01     1.0000e-03
 308     1.4950e-01     1.0000e-03
 307     1.5749e-01     1.0000e-03
 306     1.6489e-01     1.0000e-03
 305     1.7178e-01     1.0000e-03
 304     1.7833e-01     1.0000e-03
 303     1.8442e-01     1.0000e-03
 302     1.9039e-01     1.0000e-03
 301     1.9601e-01     1.0000e-03
 300     2.0169e-01     1.0000e-03
 299     2.0699e-01     1.0000e-03
 298     2.1226e-01     1.0000e-03
 297     2.1741e-01     1.0000e-03
 296     2.2255e-01     1.0000e-03
 295     2.2744e-01     1.0000e-03
 294     2.3242e-01     1.0000e-03
 293     2.3736e-01     1.0000e-03
 292     2.4222e-01     1.0000e-03
 291     2.4700e-01     1.0000e-03
 290     2.5165e-01     1.0000e-03
 289     2.5640e-01     1.0000e-03
 288     2.6119e-01     1.0000e-03
 287     2.6584e-01     1.0000e-03
 286     2.7054e-01     1.0000e-03
 285     2.7528e-01     1.0000e-03
 284     2.7996e-01     1.0000e-03
 283     2.8447e-01     1.0000e-03
 282     2.8891e-01     1.0000e-03
 281     2.9350e-01     1.0000e-03
 280     2.9803e-01     1.0000e-03
 279     3.0242e-01     1.0000e-03
 278     3.0678e-01     1.0000e-03
 277     3.1108e-01     1.0000e-03
 276     3.1537e-01     1.0000e-03
 275     3.1952e-01     1.0000e-03
 274     3.2372e-01     1.0000e-03
 273     3.2788e-01     1.0000e-03
 272     3.3207e-01     1.0000e-03
 271     3.3626e-01     1.0000e-03
 270     3.4052e-01     1.0000e-03
 269     3.4480e-01     1.0000e-03
 268     3.4930e-01     1.0000e-03
 267     3.5367e-01     1.0000e-03
 266     3.5813e-01     1.0000e-03
 265     3.6271e-01     1.0000e-03
 264     3.6724e-01     1.0000e-03
 263     3.7158e-01     1.0000e-03
 262     3.7612e-01     1.0000e-03
 261     3.8062e-01     1.0000e-03
 260     3.8518e-01     1.0000e-03
 259     3.8958e-01     1.0000e-03
