   85  320
 320     5.6562e-06     1.0000e-03
 319     1.0055e-05     1.0000e-03
 318     1.3198e-05     1.0000e-03
 317     1.6340e-05     1.0000e-03
 316     2.0739e-05     1.0000e-03
 315     2.6395e-05     1.0000e-03
 314     3.1423e-05     1.0000e-03
 313     4.3992e-05     1.0000e-03
 312     1.9420e-04     1.0000e-03
 311     1.2142e-03     1.0000e-03
 310     4.3169e-03     1.0000e-03
 309     1.1177e-02     1.0000e-03
 308     2.1807e-02     1.0000e-03
 307     3.4064e-02     1.0000e-03
 306     4.6551e-02     1.0000e-03
 305     5.8038e-02     1.0000e-03
 304     6.9060e-02     1.0000e-03
 303     7.9322e-02     1.0000e-03
 302     8.9180e-02     1.0000e-03
 301     9.8814e-02     1.0000e-03
 300     1.0845e-01     1.0000e-03
 299     1.1767e-01     1.0000e-03
 298     1.2706e-01     1.0000e-03
 297     1.3614e-01     1.0000e-03
 296     1.4511e-01     1.0000e-03
 295     1.5332e-01     1.0000e-03
 294     1.6112e-01     1.0000e-03
 293     1.6842e-01     1.0000e-03
 292     1.7533e-01     1.0000e-03
 291     1.8188e-01     1.0000e-03
 290     1.8811e-01     1.0000e-03
 289     1.9410e-01     1.0000e-03
 288     1.9988e-01     1.0000e-03
 287     2.0532e-01     1.0000e-03
 286     2.1078e-01     1.0000e-03
 285     2.1605e-01     1.0000e-03
 284     2.2148e-01     1.0000e-03
 283     2.2658e-01     1.0000e-03
 282     2.3163e-01     1.0000e-03
 281     2.3663e-01     1.0000e-03
 280     2.4178e-01     1.0000e-03
 279     2.4665e-01     1.0000e-03
 278     2.5155e-01     1.0000e-03
 277     2.5635e-01     1.0000e-03
 276     2.6122e-01     1.0000e-03
 275     2.6601e-01     1.0000e-03
 274     2.7075e-01     1.0000e-03
 273     2.7549e-01     1.0000e-03
 272     2.8030e-01     1.0000e-03
 271     2.8492e-01     1.0000e-03
 270     2.8945e-01     1.0000e-03
 269     2.9398e-01     1.0000e-03
 268     2.9860e-01     1.0000e-03
 267     3.0309e-01     1.0000e-03
 266     3.0762e-01     1.0000e-03
 265     3.1204e-01     1.0000e-03
 264     3.1645e-01     1.0000e-03
 263     3.2071e-01     1.0000e-03
 262     3.2491e-01     1.0000e-03
 261     3.2914e-01     1.0000e-03
 260     3.3356e-01     1.0000e-03
 259     3.3779e-01     1.0000e-03
 258     3.4213e-01     1.0000e-03
 257     3.4657e-01     1.0000e-03
 256     3.5114e-01     1.0000e-03
 255     3.5561e-01     1.0000e-03
 254     3.6024e-01     1.0000e-03
 253     3.6479e-01     1.0000e-03
 252     3.6942e-01     1.0000e-03
 251     3.7397e-01     1.0000e-03
 250     3.7857e-01     1.0000e-03
 249     3.8324e-01     1.0000e-03
 248     3.8780e-01     1.0000e-03
 247     3.9224e-01     1.0000e-03
 246     3.9679e-01     1.0000e-03
 245     4.0129e-01     1.0000e-03
 244     4.0584e-01     1.0000e-03
 243     4.1029e-01     1.0000e-03
 242     4.1485e-01     1.0000e-03
 241     4.1937e-01     1.0000e-03
 240     4.2405e-01     1.0000e-03
 239     4.2857e-01     1.0000e-03
 238     4.3302e-01     1.0000e-03
 237     4.3756e-01     1.0000e-03
 236     4.4215e-01     1.0000e-03
 235     4.4667e-01     1.0000e-03
 234     4.5106e-01     1.0000e-03
 233     4.5554e-01     1.0000e-03
 232     4.5999e-01     1.0000e-03
 231     4.6438e-01     1.0000e-03
 230     4.6882e-01     1.0000e-03
 229     4.7331e-01     1.0000e-03
 228     4.7784e-01     1.0000e-03
 227     4.8228e-01     1.0000e-03
 226     4.8670e-01     1.0000e-03
 225     4.9117e-01     1.0000e-03
 224     4.9559e-01     1.0000e-03
 223     4.9997e-01     1.0000e-03
 222     5.0433e-01     1.0000e-03
 221     5.0880e-01     1.0000e-03
 220     5.1330e-01     1.0000e-03
 219     5.1764e-01     1.0000e-03
 218     5.2203e-01     1.0000e-03
 217     5.2648e-01     1.0000e-03
 216     5.3097e-01     1.0000e-03
 215     5.3525e-01     1.0000e-03
 214     5.3963e-01     1.0000e-03
 213     5.4403e-01     1.0000e-03
 212     5.4837e-01     1.0000e-03
 211     5.5259e-01     1.0000e-03
 210     5.5683e-01     1.0000e-03
 209     5.6123e-01     1.0000e-03
 208     5.6555e-01     1.0000e-03
 207     5.6979e-01     1.0000e-03
 206     5.7405e-01     1.0000e-03
 205     5.7830e-01     1.0000e-03
 204     5.8264e-01     1.0000e-03
 203     5.8688e-01     1.0000e-03
 202     5.9114e-01     1.0000e-03
 201     5.9548e-01     1.0000e-03
 200     5.9978e-01     1.0000e-03
 199     6.0400e-01     1.0000e-03
 198     6.0828e-01     1.0000e-03
 197     6.1255e-01     1.0000e-03
 196     6.1686e-01     1.0000e-03
 195     6.2104e-01     1.0000e-03
 194     6.2531e-01     1.0000e-03
 193     6.2949e-01     1.0000e-03
 192     6.3382e-01     1.0000e-03
 191     6.3804e-01     1.0000e-03
 190     6.4232e-01     1.0000e-03
 189     6.4660e-01     1.0000e-03
 188     6.5087e-01     1.0000e-03
 187     6.5506e-01     1.0000e-03
 186     6.5922e-01     1.0000e-03
 185     6.6344e-01     1.0000e-03
 184     6.6777e-01     1.0000e-03
 183     6.7199e-01     1.0000e-03
 182     6.7619e-01     1.0000e-03
