   90  320
 320     1.4205e-06     1.0000e-03
 319     5.6820e-06     1.0000e-03
 318     6.3922e-06     1.0000e-03
 317     8.5229e-06     1.0000e-03
 316     1.0014e-04     1.0000e-03
 315     7.0598e-04     1.0000e-03
 314     2.4738e-03     1.0000e-03
 313     6.2495e-03     1.0000e-03
 312     1.2623e-02     1.0000e-03
 311     2.0780e-02     1.0000e-03
 310     3.0160e-02     1.0000e-03
 309     3.9978e-02     1.0000e-03
 308     4.9827e-02     1.0000e-03
 307     5.9229e-02     1.0000e-03
 306     6.8275e-02     1.0000e-03
 305     7.7085e-02     1.0000e-03
 304     8.5847e-02     1.0000e-03
 303     9.3935e-02     1.0000e-03
 302     1.0211e-01     1.0000e-03
 301     1.0986e-01     1.0000e-03
 300     1.1744e-01     1.0000e-03
 299     1.2450e-01     1.0000e-03
 298     1.3138e-01     1.0000e-03
 297     1.3783e-01     1.0000e-03
 296     1.4424e-01     1.0000e-03
 295     1.5023e-01     1.0000e-03
 294     1.5596e-01     1.0000e-03
 293     1.6158e-01     1.0000e-03
 292     1.6711e-01     1.0000e-03
 291     1.7253e-01     1.0000e-03
 290     1.7778e-01     1.0000e-03
 289     1.8292e-01     1.0000e-03
 288     1.8826e-01     1.0000e-03
 287     1.9319e-01     1.0000e-03
 286     1.9815e-01     1.0000e-03
 285     2.0322e-01     1.0000e-03
 284     2.0822e-01     1.0000e-03
 283     2.1323e-01     1.0000e-03
 282     2.1812e-01     1.0000e-03
 281     2.2296e-01     1.0000e-03
 280     2.2775e-01     1.0000e-03
 279     2.3248e-01     1.0000e-03
 278     2.3723e-01     1.0000e-03
 277     2.4211e-01     1.0000e-03
 276     2.4698e-01     1.0000e-03
 275     2.5172e-01     1.0000e-03
 274     2.5651e-01     1.0000e-03
 273     2.6136e-01     1.0000e-03
 272     2.6616e-01     1.0000e-03
 271     2.7084e-01     1.0000e-03
 270     2.7548e-01     1.0000e-03
 269     2.8013e-01     1.0000e-03
 268     2.8494e-01     1.0000e-03
 267     2.8964e-01     1.0000e-03
 266     2.9445e-01     1.0000e-03
 265     2.9907e-01     1.0000e-03
 264     3.0376e-01     1.0000e-03
 263     3.0838e-01     1.0000e-03
 262     3.1309e-01     1.0000e-03
 261     3.1783e-01     1.0000e-03
 260     3.2253e-01     1.0000e-03
 259     3.2721e-01     1.0000e-03
 258     3.3189e-01     1.0000e-03
 257     3.3639e-01     1.0000e-03
 256     3.4101e-01     1.0000e-03
 255     3.4549e-01     1.0000e-03
 254     3.5009e-01     1.0000e-03
 253     3.5470e-01     1.0000e-03
 252     3.5933e-01     1.0000e-03
 251     3.6378e-01     1.0000e-03
 250     3.6825e-01     1.0000e-03
 249     3.7289e-01     1.0000e-03
 248     3.7769e-01     1.0000e-03
 247     3.8236e-01     1.0000e-03
 246     3.8716e-01     1.0000e-03
 245     3.9182e-01     1.0000e-03
 244     3.9659e-01     1.0000e-03
 243     4.0133e-01     1.0000e-03
 242     4.0598e-01     1.0000e-03
 241     4.1063e-01     1.0000e-03
 240     4.1528e-01     1.0000e-03
 239     4.1995e-01     1.0000e-03
 238     4.2451e-01     1.0000e-03
 237     4.2900e-01     1.0000e-03
 236     4.3372e-01     1.0000e-03
 235     4.3830e-01     1.0000e-03
 234     4.4290e-01     1.0000e-03
 233     4.4749e-01     1.0000e-03
 232     4.5218e-01     1.0000e-03
 231     4.5670e-01     1.0000e-03
 230     4.6127e-01     1.0000e-03
 229     4.6578e-01     1.0000e-03
 228     4.7040e-01     1.0000e-03
 227     4.7499e-01     1.0000e-03
 226     4.7958e-01     1.0000e-03
 225     4.8409e-01     1.0000e-03
 224     4.8881e-01     1.0000e-03
 223     4.9337e-01     1.0000e-03
 222     4.9791e-01     1.0000e-03
 221     5.0251e-01     1.0000e-03
 220     5.0714e-01     1.0000e-03
 219     5.1167e-01     1.0000e-03
 218     5.1624e-01     1.0000e-03
 217     5.2076e-01     1.0000e-03
 216     5.2538e-01     1.0000e-03
 215     5.2978e-01     1.0000e-03
 214     5.3433e-01     1.0000e-03
 213     5.3887e-01     1.0000e-03
 212     5.4337e-01     1.0000e-03
 211     5.4795e-01     1.0000e-03
 210     5.5244e-01     1.0000e-03
 209     5.5682e-01     1.0000e-03
 208     5.6142e-01     1.0000e-03
 207     5.6590e-01     1.0000e-03
 206     5.7038e-01     1.0000e-03
 205     5.7485e-01     1.0000e-03
 204     5.7942e-01     1.0000e-03
 203     5.8396e-01     1.0000e-03
 202     5.8844e-01     1.0000e-03
 201     5.9284e-01     1.0000e-03
 200     5.9744e-01     1.0000e-03
 199     6.0186e-01     1.0000e-03
 198     6.0632e-01     1.0000e-03
 197     6.1083e-01     1.0000e-03
 196     6.1534e-01     1.0000e-03
 195     6.1975e-01     1.0000e-03
 194     6.2424e-01     1.0000e-03
 193     6.2872e-01     1.0000e-03
 192     6.3324e-01     1.0000e-03
 191     6.3764e-01     1.0000e-03
 190     6.4224e-01     1.0000e-03
 189     6.4664e-01     1.0000e-03
 188     6.5111e-01     1.0000e-03
 187     6.5550e-01     1.0000e-03
 186     6.6003e-01     1.0000e-03
 185     6.6450e-01     1.0000e-03
 184     6.6912e-01     1.0000e-03
 183     6.7361e-01     1.0000e-03
 182     6.7808e-01     1.0000e-03
 181     6.8252e-01     1.0000e-03
 180     6.8708e-01     1.0000e-03
 179     6.9153e-01     1.0000e-03
 178     6.9595e-01     1.0000e-03
 177     7.0041e-01     1.0000e-03
 176     7.0487e-01     1.0000e-03
 175     7.0915e-01     1.0000e-03
 174     7.1357e-01     1.0000e-03
 173     7.1802e-01     1.0000e-03
 172     7.2244e-01     1.0000e-03
 171     7.2689e-01     1.0000e-03
 170     7.3133e-01     1.0000e-03
 169     7.3570e-01     1.0000e-03
 168     7.4016e-01     1.0000e-03
 167     7.4463e-01     1.0000e-03
 166     7.4906e-01     1.0000e-03
 165     7.5347e-01     1.0000e-03
 164     7.5792e-01     1.0000e-03
 163     7.6236e-01     1.0000e-03
