   70  315
 315     0.0000e+00     1.0000e-03
 314     0.0000e+00     1.0000e-03
 313     0.0000e+00     1.0000e-03
 312     0.0000e+00     1.0000e-03
 311     0.0000e+00     1.0000e-03
 310     0.0000e+00     1.0000e-03
 309     3.0498e-05     1.0000e-03
 308     3.0498e-05     1.0000e-03
 307     3.0498e-05     1.0000e-03
 306     1.2199e-04     1.0000e-03
 305     9.4545e-04     1.0000e-03
 304     4.2850e-03     1.0000e-03
 303     1.1864e-02     1.0000e-03
 302     2.4246e-02     1.0000e-03
 301     3.7513e-02     1.0000e-03
 300     5.0383e-02     1.0000e-03
 299     6.0966e-02     1.0000e-03
 298     7.1488e-02     1.0000e-03
 297     8.1477e-02     1.0000e-03
 296     9.1831e-02     1.0000e-03
 295     1.0150e-01     1.0000e-03
 294     1.1048e-01     1.0000e-03
 293     1.2047e-01     1.0000e-03
 292     1.2956e-01     1.0000e-03
 291     1.3797e-01     1.0000e-03
 290     1.4635e-01     1.0000e-03
 289     1.5426e-01     1.0000e-03
 288     1.6155e-01     1.0000e-03
 287     1.6831e-01     1.0000e-03
 286     1.7471e-01     1.0000e-03
 285     1.8116e-01     1.0000e-03
 284     1.8696e-01     1.0000e-03
 283     1.9251e-01     1.0000e-03
 282     1.9827e-01     1.0000e-03
 281     2.0391e-01     1.0000e-03
 280     2.0974e-01     1.0000e-03
 279     2.1517e-01     1.0000e-03
 278     2.2026e-01     1.0000e-03
 277     2.2534e-01     1.0000e-03
 276     2.3039e-01     1.0000e-03
 275     2.3514e-01     1.0000e-03
 274     2.4030e-01     1.0000e-03
 273     2.4513e-01     1.0000e-03
 272     2.4998e-01     1.0000e-03
 271     2.5498e-01     1.0000e-03
 270     2.5979e-01     1.0000e-03
 269     2.6470e-01     1.0000e-03
 268     2.6903e-01     1.0000e-03
 267     2.7359e-01     1.0000e-03
 266     2.7774e-01     1.0000e-03
 265     2.8217e-01     1.0000e-03
 264     2.8658e-01     1.0000e-03
 263     2.9109e-01     1.0000e-03
 262     2.9536e-01     1.0000e-03
 261     2.9957e-01     1.0000e-03
 260     3.0445e-01     1.0000e-03
 259     3.0913e-01     1.0000e-03
 258     3.1327e-01     1.0000e-03
 257     3.1792e-01     1.0000e-03
 256     3.2203e-01     1.0000e-03
 255     3.2559e-01     1.0000e-03
 254     3.2941e-01     1.0000e-03
 253     3.3370e-01     1.0000e-03
 252     3.3800e-01     1.0000e-03
 251     3.4231e-01     1.0000e-03
 250     3.4660e-01     1.0000e-03
 249     3.5127e-01     1.0000e-03
 248     3.5601e-01     1.0000e-03
 247     3.6037e-01     1.0000e-03
 246     3.6498e-01     1.0000e-03
 245     3.6963e-01     1.0000e-03
 244     3.7368e-01     1.0000e-03
 243     3.7827e-01     1.0000e-03
 242     3.8240e-01     1.0000e-03
 241     3.8735e-01     1.0000e-03
 240     3.9210e-01     1.0000e-03
 239     3.9689e-01     1.0000e-03
 238     4.0174e-01     1.0000e-03
 237     4.0653e-01     1.0000e-03
 236     4.1129e-01     1.0000e-03
 235     4.1565e-01     1.0000e-03
 234     4.1986e-01     1.0000e-03
 233     4.2455e-01     1.0000e-03
 232     4.2873e-01     1.0000e-03
 231     4.3308e-01     1.0000e-03
 230     4.3717e-01     1.0000e-03
 229     4.4183e-01     1.0000e-03
 228     4.4653e-01     1.0000e-03
 227     4.5107e-01     1.0000e-03
 226     4.5566e-01     1.0000e-03
 225     4.6012e-01     1.0000e-03
 224     4.6452e-01     1.0000e-03
 223     4.6899e-01     1.0000e-03
 222     4.7361e-01     1.0000e-03
 221     4.7773e-01     1.0000e-03
 220     4.8230e-01     1.0000e-03
 219     4.8651e-01     1.0000e-03
 218     4.9043e-01     1.0000e-03
 217     4.9499e-01     1.0000e-03
 216     4.9903e-01     1.0000e-03
 215     5.0365e-01     1.0000e-03
 214     5.0814e-01     1.0000e-03
 213     5.1236e-01     1.0000e-03
 212     5.1649e-01     1.0000e-03
 211     5.2110e-01     1.0000e-03
 210     5.2555e-01     1.0000e-03
 209     5.2997e-01     1.0000e-03
 208     5.3418e-01     1.0000e-03
 207     5.3862e-01     1.0000e-03
 206     5.4290e-01     1.0000e-03
 205     5.4720e-01     1.0000e-03
 204     5.5179e-01     1.0000e-03
 203     5.5554e-01     1.0000e-03
 202     5.5981e-01     1.0000e-03
 201     5.6424e-01     1.0000e-03
 200     5.6860e-01     1.0000e-03
 199     5.7255e-01     1.0000e-03
 198     5.7667e-01     1.0000e-03
 197     5.8086e-01     1.0000e-03
 196     5.8520e-01     1.0000e-03
 195     5.8940e-01     1.0000e-03
 194     5.9400e-01     1.0000e-03
 193     5.9835e-01     1.0000e-03
 192     6.0192e-01     1.0000e-03
 191     6.0590e-01     1.0000e-03
 190     6.1005e-01     1.0000e-03
 189     6.1425e-01     1.0000e-03
 188     6.1823e-01     1.0000e-03
 187     6.2229e-01     1.0000e-03
 186     6.2644e-01     1.0000e-03
 185     6.3059e-01     1.0000e-03
 184     6.3449e-01     1.0000e-03
 183     6.3868e-01     1.0000e-03
 182     6.4266e-01     1.0000e-03
 181     6.4703e-01     1.0000e-03
 180     6.5120e-01     1.0000e-03
 179     6.5499e-01     1.0000e-03
 178     6.5948e-01     1.0000e-03
 177     6.6375e-01     1.0000e-03
 176     6.6819e-01     1.0000e-03
 175     6.7232e-01     1.0000e-03
 174     6.7626e-01     1.0000e-03
 173     6.8021e-01     1.0000e-03
 172     6.8428e-01     1.0000e-03
 171     6.8852e-01     1.0000e-03
 170     6.9290e-01     1.0000e-03
 169     6.9709e-01     1.0000e-03
 168     7.0139e-01     1.0000e-03
 167     7.0575e-01     1.0000e-03
 166     7.1030e-01     1.0000e-03
 165     7.1479e-01     1.0000e-03
 164     7.1922e-01     1.0000e-03
 163     7.2330e-01     1.0000e-03
 162     7.2733e-01     1.0000e-03
 161     7.3190e-01     1.0000e-03
 160     7.3607e-01     1.0000e-03
 159     7.4041e-01     1.0000e-03
 158     7.4464e-01     1.0000e-03
 157     7.4865e-01     1.0000e-03
 156     7.5264e-01     1.0000e-03
 155     7.5665e-01     1.0000e-03
 154     7.6066e-01     1.0000e-03
 153     7.6531e-01     1.0000e-03
 152     7.6967e-01     1.0000e-03
 151     7.7390e-01     1.0000e-03
 150     7.7815e-01     1.0000e-03
 149     7.8177e-01     1.0000e-03
 148     7.8621e-01     1.0000e-03
 147     7.9003e-01     1.0000e-03
 146     7.9443e-01     1.0000e-03
 145     7.9828e-01     1.0000e-03
 144     8.0254e-01     1.0000e-03
 143     8.0649e-01     1.0000e-03
 142     8.1034e-01     1.0000e-03
 141     8.1490e-01     1.0000e-03
 140     8.1931e-01     1.0000e-03
 139     8.2303e-01     1.0000e-03
 138     8.2688e-01     1.0000e-03
 137     8.3096e-01     1.0000e-03
 136     8.3505e-01     1.0000e-03
 135     8.3857e-01     1.0000e-03
 134     8.4234e-01     1.0000e-03
 133     8.4693e-01     1.0000e-03
 132     8.5130e-01     1.0000e-03
 131     8.5535e-01     1.0000e-03
 130     8.5945e-01     1.0000e-03
 129     8.6375e-01     1.0000e-03
 128     8.6791e-01     1.0000e-03
 127     8.7130e-01     1.0000e-03
 126     8.7552e-01     1.0000e-03
 125     8.7979e-01     1.0000e-03
 124     8.8392e-01     1.0000e-03
 123     8.8827e-01     1.0000e-03
 122     8.9229e-01     1.0000e-03
 121     8.9603e-01     1.0000e-03
 120     9.0007e-01     1.0000e-03
 119     9.0372e-01     1.0000e-03
 118     9.0800e-01     1.0000e-03
 117     9.1222e-01     1.0000e-03
 116     9.1633e-01     1.0000e-03
 115     9.2020e-01     1.0000e-03
 114     9.2418e-01     1.0000e-03
 113     9.2795e-01     1.0000e-03
 112     9.3225e-01     1.0000e-03
 111     9.3623e-01     1.0000e-03
 110     9.4010e-01     1.0000e-03
 109     9.4411e-01     1.0000e-03
 108     9.4730e-01     1.0000e-03
 107     9.5132e-01     1.0000e-03
 106     9.5524e-01     1.0000e-03
 105     9.5916e-01     1.0000e-03
 104     9.6317e-01     1.0000e-03
 103     9.6708e-01     1.0000e-03
 102     9.7058e-01     1.0000e-03
 101     9.7405e-01     1.0000e-03
 100     9.7752e-01     1.0000e-03
  99     9.8089e-01     1.0000e-03
  98     9.8411e-01     1.0000e-03
  97     9.8734e-01     1.0000e-03
  96     9.9012e-01     1.0000e-03
  95     9.9213e-01     1.0000e-03
  94     9.9404e-01     1.0000e-03
  93     9.9564e-01     1.0000e-03
  92     9.9671e-01     1.0000e-03
  91     9.9761e-01     1.0000e-03
  90     9.9828e-01     1.0000e-03
  89     9.9887e-01     1.0000e-03
  88     9.9922e-01     1.0000e-03
  87     9.9950e-01     1.0000e-03
  86     9.9970e-01     1.0000e-03
  85     9.9977e-01     1.0000e-03
  84     9.9986e-01     1.0000e-03
  83     9.9992e-01     1.0000e-03
  82     9.9994e-01     1.0000e-03
  81     9.9994e-01     1.0000e-03
  80     9.9995e-01     1.0000e-03
  79     9.9995e-01     1.0000e-03
  78     9.9995e-01     1.0000e-03
  77     9.9997e-01     1.0000e-03
  76     9.9997e-01     1.0000e-03
  75     9.9997e-01     1.0000e-03
  74     9.9997e-01     1.0000e-03
  73     9.9997e-01     1.0000e-03
  72     9.9999e-01     1.0000e-03
  71     9.9999e-01     1.0000e-03
  70     1.0000e+00     1.0000e-03
