   80  315
 315     1.7974e-05     1.0000e-03
 314     1.7974e-05     1.0000e-03
 313     1.7974e-05     1.0000e-03
 312     1.7974e-05     1.0000e-03
 311     5.3922e-05     1.0000e-03
 310     7.1896e-05     1.0000e-03
 309     3.7745e-04     1.0000e-03
 308     1.4918e-03     1.0000e-03
 307     3.5589e-03     1.0000e-03
 306     6.6683e-03     1.0000e-03
 305     1.1881e-02     1.0000e-03
 304     1.8603e-02     1.0000e-03
 303     2.7284e-02     1.0000e-03
 302     3.6703e-02     1.0000e-03
 301     4.6103e-02     1.0000e-03
 300     5.5845e-02     1.0000e-03
 299     6.4634e-02     1.0000e-03
 298     7.5023e-02     1.0000e-03
 297     8.4478e-02     1.0000e-03
 296     9.4238e-02     1.0000e-03
 295     1.0286e-01     1.0000e-03
 294     1.1077e-01     1.0000e-03
 293     1.1840e-01     1.0000e-03
 292     1.2603e-01     1.0000e-03
 291     1.3285e-01     1.0000e-03
 290     1.3982e-01     1.0000e-03
 289     1.4570e-01     1.0000e-03
 288     1.5168e-01     1.0000e-03
 287     1.5697e-01     1.0000e-03
 286     1.6295e-01     1.0000e-03
 285     1.6804e-01     1.0000e-03
 284     1.7399e-01     1.0000e-03
 283     1.7884e-01     1.0000e-03
 282     1.8418e-01     1.0000e-03
 281     1.8943e-01     1.0000e-03
 280     1.9457e-01     1.0000e-03
 279     1.9951e-01     1.0000e-03
 278     2.0453e-01     1.0000e-03
 277     2.0990e-01     1.0000e-03
 276     2.1470e-01     1.0000e-03
 275     2.1986e-01     1.0000e-03
 274     2.2468e-01     1.0000e-03
 273     2.2899e-01     1.0000e-03
 272     2.3363e-01     1.0000e-03
 271     2.3859e-01     1.0000e-03
 270     2.4380e-01     1.0000e-03
 269     2.4910e-01     1.0000e-03
 268     2.5385e-01     1.0000e-03
 267     2.5866e-01     1.0000e-03
 266     2.6290e-01     1.0000e-03
 265     2.6708e-01     1.0000e-03
 264     2.7196e-01     1.0000e-03
 263     2.7694e-01     1.0000e-03
 262     2.8181e-01     1.0000e-03
 261     2.8652e-01     1.0000e-03
 260     2.9202e-01     1.0000e-03
 259     2.9670e-01     1.0000e-03
 258     3.0132e-01     1.0000e-03
 257     3.0572e-01     1.0000e-03
 256     3.1011e-01     1.0000e-03
 255     3.1472e-01     1.0000e-03
 254     3.1918e-01     1.0000e-03
 253     3.2362e-01     1.0000e-03
 252     3.2817e-01     1.0000e-03
 251     3.3299e-01     1.0000e-03
 250     3.3705e-01     1.0000e-03
 249     3.4186e-01     1.0000e-03
 248     3.4647e-01     1.0000e-03
 247     3.5037e-01     1.0000e-03
 246     3.5432e-01     1.0000e-03
 245     3.5907e-01     1.0000e-03
 244     3.6361e-01     1.0000e-03
 243     3.6823e-01     1.0000e-03
 242     3.7273e-01     1.0000e-03
 241     3.7650e-01     1.0000e-03
 240     3.8078e-01     1.0000e-03
 239     3.8563e-01     1.0000e-03
 238     3.9021e-01     1.0000e-03
 237     3.9476e-01     1.0000e-03
 236     3.9935e-01     1.0000e-03
 235     4.0384e-01     1.0000e-03
 234     4.0853e-01     1.0000e-03
 233     4.1319e-01     1.0000e-03
 232     4.1753e-01     1.0000e-03
 231     4.2255e-01     1.0000e-03
 230     4.2744e-01     1.0000e-03
 229     4.3188e-01     1.0000e-03
 228     4.3635e-01     1.0000e-03
 227     4.4106e-01     1.0000e-03
 226     4.4539e-01     1.0000e-03
 225     4.5000e-01     1.0000e-03
