   70  295
 295     0.0000e+00     1.0000e-03
 294     3.0463e-05     1.0000e-03
 293     3.6555e-04     1.0000e-03
 292     1.8278e-03     1.0000e-03
 291     6.2905e-03     1.0000e-03
 290     1.5521e-02     1.0000e-03
 289     2.7934e-02     1.0000e-03
 288     4.1414e-02     1.0000e-03
 287     5.4117e-02     1.0000e-03
 286     6.6241e-02     1.0000e-03
 285     7.6979e-02     1.0000e-03
 284     8.7352e-02     1.0000e-03
 283     9.6338e-02     1.0000e-03
 282     1.0634e-01     1.0000e-03
 281     1.1625e-01     1.0000e-03
 280     1.2616e-01     1.0000e-03
 279     1.3446e-01     1.0000e-03
 278     1.4310e-01     1.0000e-03
 277     1.5128e-01     1.0000e-03
 276     1.5931e-01     1.0000e-03
 275     1.6643e-01     1.0000e-03
 274     1.7329e-01     1.0000e-03
 273     1.7994e-01     1.0000e-03
 272     1.8632e-01     1.0000e-03
 271     1.9150e-01     1.0000e-03
 270     1.9731e-01     1.0000e-03
 269     2.0299e-01     1.0000e-03
 268     2.0827e-01     1.0000e-03
 267     2.1312e-01     1.0000e-03
 266     2.1831e-01     1.0000e-03
 265     2.2357e-01     1.0000e-03
 264     2.2852e-01     1.0000e-03
 263     2.3304e-01     1.0000e-03
 262     2.3788e-01     1.0000e-03
 261     2.4285e-01     1.0000e-03
 260     2.4859e-01     1.0000e-03
 259     2.5307e-01     1.0000e-03
 258     2.5785e-01     1.0000e-03
 257     2.6228e-01     1.0000e-03
 256     2.6765e-01     1.0000e-03
 255     2.7275e-01     1.0000e-03
 254     2.7774e-01     1.0000e-03
 253     2.8250e-01     1.0000e-03
 252     2.8713e-01     1.0000e-03
 251     2.9173e-01     1.0000e-03
 250     2.9690e-01     1.0000e-03
 249     3.0131e-01     1.0000e-03
 248     3.0617e-01     1.0000e-03
 247     3.1052e-01     1.0000e-03
 246     3.1526e-01     1.0000e-03
 245     3.1992e-01     1.0000e-03
 244     3.2431e-01     1.0000e-03
 243     3.2871e-01     1.0000e-03
 242     3.3311e-01     1.0000e-03
 241     3.3777e-01     1.0000e-03
 240     3.4220e-01     1.0000e-03
 239     3.4642e-01     1.0000e-03
 238     3.5087e-01     1.0000e-03
 237     3.5558e-01     1.0000e-03
 236     3.6056e-01     1.0000e-03
 235     3.6514e-01     1.0000e-03
 234     3.6938e-01     1.0000e-03
 233     3.7454e-01     1.0000e-03
 232     3.7963e-01     1.0000e-03
 231     3.8432e-01     1.0000e-03
 230     3.8905e-01     1.0000e-03
 229     3.9343e-01     1.0000e-03
 228     3.9798e-01     1.0000e-03
 227     4.0249e-01     1.0000e-03
 226     4.0716e-01     1.0000e-03
 225     4.1135e-01     1.0000e-03
 224     4.1547e-01     1.0000e-03
 223     4.2020e-01     1.0000e-03
 222     4.2461e-01     1.0000e-03
 221     4.2946e-01     1.0000e-03
 220     4.3338e-01     1.0000e-03
 219     4.3772e-01     1.0000e-03
 218     4.4217e-01     1.0000e-03
 217     4.4655e-01     1.0000e-03
 216     4.5094e-01     1.0000e-03
 215     4.5513e-01     1.0000e-03
 214     4.5962e-01     1.0000e-03
 213     4.6393e-01     1.0000e-03
 212     4.6850e-01     1.0000e-03
 211     4.7275e-01     1.0000e-03
 210     4.7741e-01     1.0000e-03
 209     4.8151e-01     1.0000e-03
 208     4.8629e-01     1.0000e-03
 207     4.9069e-01     1.0000e-03
 206     4.9514e-01     1.0000e-03
 205     4.9936e-01     1.0000e-03
 204     5.0372e-01     1.0000e-03
 203     5.0883e-01     1.0000e-03
 202     5.1334e-01     1.0000e-03
 201     5.1785e-01     1.0000e-03
 200     5.2216e-01     1.0000e-03
 199     5.2633e-01     1.0000e-03
 198     5.3060e-01     1.0000e-03
 197     5.3480e-01     1.0000e-03
 196     5.3908e-01     1.0000e-03
 195     5.4373e-01     1.0000e-03
 194     5.4777e-01     1.0000e-03
 193     5.5209e-01     1.0000e-03
 192     5.5637e-01     1.0000e-03
 191     5.6085e-01     1.0000e-03
 190     5.6508e-01     1.0000e-03
 189     5.6938e-01     1.0000e-03
 188     5.7415e-01     1.0000e-03
 187     5.7882e-01     1.0000e-03
 186     5.8339e-01     1.0000e-03
 185     5.8764e-01     1.0000e-03
 184     5.9229e-01     1.0000e-03
 183     5.9645e-01     1.0000e-03
 182     6.0109e-01     1.0000e-03
 181     6.0505e-01     1.0000e-03
 180     6.0968e-01     1.0000e-03
 179     6.1411e-01     1.0000e-03
 178     6.1812e-01     1.0000e-03
 177     6.2284e-01     1.0000e-03
 176     6.2759e-01     1.0000e-03
 175     6.3169e-01     1.0000e-03
 174     6.3591e-01     1.0000e-03
 173     6.4033e-01     1.0000e-03
 172     6.4441e-01     1.0000e-03
 171     6.4909e-01     1.0000e-03
 170     6.5318e-01     1.0000e-03
 169     6.5742e-01     1.0000e-03
 168     6.6180e-01     1.0000e-03
 167     6.6585e-01     1.0000e-03
 166     6.7000e-01     1.0000e-03
 165     6.7475e-01     1.0000e-03
 164     6.7901e-01     1.0000e-03
 163     6.8366e-01     1.0000e-03
 162     6.8795e-01     1.0000e-03
 161     6.9260e-01     1.0000e-03
 160     6.9694e-01     1.0000e-03
 159     7.0125e-01     1.0000e-03
 158     7.0559e-01     1.0000e-03
 157     7.0981e-01     1.0000e-03
 156     7.1443e-01     1.0000e-03
 155     7.1868e-01     1.0000e-03
 154     7.2284e-01     1.0000e-03
 153     7.2693e-01     1.0000e-03
 152     7.3129e-01     1.0000e-03
 151     7.3531e-01     1.0000e-03
 150     7.3944e-01     1.0000e-03
 149     7.4349e-01     1.0000e-03
 148     7.4740e-01     1.0000e-03
 147     7.5184e-01     1.0000e-03
 146     7.5619e-01     1.0000e-03
 145     7.6006e-01     1.0000e-03
 144     7.6426e-01     1.0000e-03
 143     7.6859e-01     1.0000e-03
 142     7.7258e-01     1.0000e-03
 141     7.7697e-01     1.0000e-03
 140     7.8120e-01     1.0000e-03
 139     7.8527e-01     1.0000e-03
 138     7.8926e-01     1.0000e-03
 137     7.9310e-01     1.0000e-03
 136     7.9741e-01     1.0000e-03
 135     8.0141e-01     1.0000e-03
 134     8.0531e-01     1.0000e-03
 133     8.0920e-01     1.0000e-03
 132     8.1336e-01     1.0000e-03
 131     8.1788e-01     1.0000e-03
 130     8.2185e-01     1.0000e-03
 129     8.2627e-01     1.0000e-03
 128     8.3013e-01     1.0000e-03
 127     8.3373e-01     1.0000e-03
 126     8.3792e-01     1.0000e-03
 125     8.4207e-01     1.0000e-03
 124     8.4621e-01     1.0000e-03
 123     8.5025e-01     1.0000e-03
 122     8.5436e-01     1.0000e-03
 121     8.5820e-01     1.0000e-03
 120     8.6240e-01     1.0000e-03
 119     8.6639e-01     1.0000e-03
 118     8.7023e-01     1.0000e-03
 117     8.7431e-01     1.0000e-03
 116     8.7876e-01     1.0000e-03
 115     8.8321e-01     1.0000e-03
 114     8.8729e-01     1.0000e-03
 113     8.9129e-01     1.0000e-03
 112     8.9525e-01     1.0000e-03
 111     8.9941e-01     1.0000e-03
 110     9.0314e-01     1.0000e-03
 109     9.0771e-01     1.0000e-03
 108     9.1173e-01     1.0000e-03
 107     9.1638e-01     1.0000e-03
 106     9.2057e-01     1.0000e-03
 105     9.2476e-01     1.0000e-03
 104     9.2864e-01     1.0000e-03
 103     9.3278e-01     1.0000e-03
 102     9.3720e-01     1.0000e-03
 101     9.4086e-01     1.0000e-03
 100     9.4451e-01     1.0000e-03
  99     9.4847e-01     1.0000e-03
  98     9.5254e-01     1.0000e-03
  97     9.5642e-01     1.0000e-03
  96     9.6022e-01     1.0000e-03
  95     9.6437e-01     1.0000e-03
  94     9.6733e-01     1.0000e-03
  93     9.7108e-01     1.0000e-03
  92     9.7494e-01     1.0000e-03
  91     9.7831e-01     1.0000e-03
  90     9.8146e-01     1.0000e-03
  89     9.8477e-01     1.0000e-03
  88     9.8783e-01     1.0000e-03
  87     9.9018e-01     1.0000e-03
  86     9.9251e-01     1.0000e-03
  85     9.9430e-01     1.0000e-03
  84     9.9598e-01     1.0000e-03
  83     9.9724e-01     1.0000e-03
  82     9.9814e-01     1.0000e-03
  81     9.9889e-01     1.0000e-03
  80     9.9938e-01     1.0000e-03
  79     9.9965e-01     1.0000e-03
  78     9.9980e-01     1.0000e-03
  77     9.9992e-01     1.0000e-03
  76     9.9994e-01     1.0000e-03
  75     9.9999e-01     1.0000e-03
  74     1.0000e+00     1.0000e-03
  73     1.0000e+00     1.0000e-03
  72     1.0000e+00     1.0000e-03
  71     1.0000e+00     1.0000e-03
  70     1.0000e+00     1.0000e-03
