   70  300
 300     1.6899e-05     1.0000e-03
 299     1.6899e-05     1.0000e-03
 298     1.6899e-05     1.0000e-03
 297     1.5209e-04     1.0000e-03
 296     8.9563e-04     1.0000e-03
 295     3.0418e-03     1.0000e-03
 294     8.5170e-03     1.0000e-03
 293     1.5733e-02     1.0000e-03
 292     2.5551e-02     1.0000e-03
 291     3.5504e-02     1.0000e-03
 290     4.5305e-02     1.0000e-03
 289     5.5259e-02     1.0000e-03
 288     6.4638e-02     1.0000e-03
 287     7.3256e-02     1.0000e-03
 286     8.2973e-02     1.0000e-03
 285     9.1405e-02     1.0000e-03
 284     9.9770e-02     1.0000e-03
 283     1.0798e-01     1.0000e-03
 282     1.1523e-01     1.0000e-03
 281     1.2225e-01     1.0000e-03
 280     1.2949e-01     1.0000e-03
 279     1.3642e-01     1.0000e-03
 278     1.4230e-01     1.0000e-03
 277     1.4873e-01     1.0000e-03
 276     1.5518e-01     1.0000e-03
 275     1.6079e-01     1.0000e-03
 274     1.6627e-01     1.0000e-03
 273     1.7201e-01     1.0000e-03
 272     1.7744e-01     1.0000e-03
 271     1.8263e-01     1.0000e-03
 270     1.8766e-01     1.0000e-03
 269     1.9241e-01     1.0000e-03
 268     1.9734e-01     1.0000e-03
 267     2.0243e-01     1.0000e-03
 266     2.0755e-01     1.0000e-03
 265     2.1211e-01     1.0000e-03
 264     2.1766e-01     1.0000e-03
 263     2.2276e-01     1.0000e-03
 262     2.2795e-01     1.0000e-03
 261     2.3281e-01     1.0000e-03
 260     2.3763e-01     1.0000e-03
 259     2.4280e-01     1.0000e-03
 258     2.4851e-01     1.0000e-03
 257     2.5318e-01     1.0000e-03
 256     2.5776e-01     1.0000e-03
 255     2.6245e-01     1.0000e-03
 254     2.6749e-01     1.0000e-03
 253     2.7241e-01     1.0000e-03
 252     2.7716e-01     1.0000e-03
 251     2.8162e-01     1.0000e-03
 250     2.8648e-01     1.0000e-03
 249     2.9117e-01     1.0000e-03
 248     2.9585e-01     1.0000e-03
 247     3.0034e-01     1.0000e-03
 246     3.0460e-01     1.0000e-03
 245     3.0899e-01     1.0000e-03
 244     3.1337e-01     1.0000e-03
 243     3.1847e-01     1.0000e-03
 242     3.2331e-01     1.0000e-03
 241     3.2865e-01     1.0000e-03
 240     3.3297e-01     1.0000e-03
 239     3.3730e-01     1.0000e-03
 238     3.4198e-01     1.0000e-03
 237     3.4622e-01     1.0000e-03
 236     3.5067e-01     1.0000e-03
 235     3.5579e-01     1.0000e-03
 234     3.6031e-01     1.0000e-03
 233     3.6444e-01     1.0000e-03
 232     3.6907e-01     1.0000e-03
 231     3.7392e-01     1.0000e-03
 230     3.7878e-01     1.0000e-03
 229     3.8372e-01     1.0000e-03
 228     3.8926e-01     1.0000e-03
 227     3.9428e-01     1.0000e-03
 226     3.9905e-01     1.0000e-03
 225     4.0376e-01     1.0000e-03
 224     4.0851e-01     1.0000e-03
 223     4.1304e-01     1.0000e-03
 222     4.1760e-01     1.0000e-03
 221     4.2222e-01     1.0000e-03
 220     4.2691e-01     1.0000e-03
 219     4.3185e-01     1.0000e-03
 218     4.3665e-01     1.0000e-03
 217     4.4109e-01     1.0000e-03
 216     4.4586e-01     1.0000e-03
 215     4.4986e-01     1.0000e-03
 214     4.5459e-01     1.0000e-03
 213     4.5900e-01     1.0000e-03
 212     4.6355e-01     1.0000e-03
 211     4.6818e-01     1.0000e-03
 210     4.7276e-01     1.0000e-03
 209     4.7712e-01     1.0000e-03
 208     4.8200e-01     1.0000e-03
 207     4.8689e-01     1.0000e-03
 206     4.9182e-01     1.0000e-03
 205     4.9682e-01     1.0000e-03
 204     5.0208e-01     1.0000e-03
 203     5.0634e-01     1.0000e-03
 202     5.1075e-01     1.0000e-03
 201     5.1573e-01     1.0000e-03
 200     5.2028e-01     1.0000e-03
 199     5.2474e-01     1.0000e-03
 198     5.2925e-01     1.0000e-03
 197     5.3354e-01     1.0000e-03
 196     5.3794e-01     1.0000e-03
 195     5.4270e-01     1.0000e-03
 194     5.4673e-01     1.0000e-03
 193     5.5112e-01     1.0000e-03
 192     5.5620e-01     1.0000e-03
 191     5.6072e-01     1.0000e-03
 190     5.6540e-01     1.0000e-03
 189     5.7001e-01     1.0000e-03
 188     5.7490e-01     1.0000e-03
 187     5.7941e-01     1.0000e-03
 186     5.8436e-01     1.0000e-03
 185     5.8909e-01     1.0000e-03
 184     5.9367e-01     1.0000e-03
 183     5.9794e-01     1.0000e-03
 182     6.0224e-01     1.0000e-03
 181     6.0692e-01     1.0000e-03
 180     6.1138e-01     1.0000e-03
 179     6.1555e-01     1.0000e-03
 178     6.1981e-01     1.0000e-03
 177     6.2429e-01     1.0000e-03
 176     6.2863e-01     1.0000e-03
 175     6.3298e-01     1.0000e-03
 174     6.3700e-01     1.0000e-03
 173     6.4127e-01     1.0000e-03
 172     6.4584e-01     1.0000e-03
 171     6.5004e-01     1.0000e-03
 170     6.5457e-01     1.0000e-03
 169     6.5932e-01     1.0000e-03
 168     6.6429e-01     1.0000e-03
 167     6.6833e-01     1.0000e-03
 166     6.7269e-01     1.0000e-03
 165     6.7673e-01     1.0000e-03
 164     6.8170e-01     1.0000e-03
 163     6.8572e-01     1.0000e-03
 162     6.9030e-01     1.0000e-03
 161     6.9513e-01     1.0000e-03
 160     6.9976e-01     1.0000e-03
 159     7.0376e-01     1.0000e-03
 158     7.0863e-01     1.0000e-03
 157     7.1323e-01     1.0000e-03
 156     7.1784e-01     1.0000e-03
 155     7.2217e-01     1.0000e-03
 154     7.2693e-01     1.0000e-03
 153     7.3167e-01     1.0000e-03
 152     7.3565e-01     1.0000e-03
 151     7.3986e-01     1.0000e-03
 150     7.4405e-01     1.0000e-03
