  100  340
 340     0.0000e+00     1.0000e-03
 339     0.0000e+00     1.0000e-03
 338     2.0922e-06     1.0000e-03
 337     2.0922e-06     1.0000e-03
 336     2.0922e-06     1.0000e-03
 335     5.2305e-06     1.0000e-03
 334     6.2766e-06     1.0000e-03
 333     7.3228e-06     1.0000e-03
 332     8.3689e-06     1.0000e-03
 331     8.3689e-06     1.0000e-03
 330     1.0461e-05     1.0000e-03
 329     1.1507e-05     1.0000e-03
 328     1.3599e-05     1.0000e-03
 327     1.4646e-05     1.0000e-03
 326     1.6738e-05     1.0000e-03
 325     2.8245e-05     1.0000e-03
 324     2.7094e-04     1.0000e-03
 323     1.8464e-03     1.0000e-03
 322     6.0590e-03     1.0000e-03
 321     1.4614e-02     1.0000e-03
 320     2.6824e-02     1.0000e-03
 319     3.9768e-02     1.0000e-03
 318     5.1988e-02     1.0000e-03
 317     6.3432e-02     1.0000e-03
 316     7.4034e-02     1.0000e-03
 315     8.4137e-02     1.0000e-03
 314     9.4149e-02     1.0000e-03
 313     1.0381e-01     1.0000e-03
 312     1.1345e-01     1.0000e-03
 311     1.2281e-01     1.0000e-03
 310     1.3204e-01     1.0000e-03
 309     1.4075e-01     1.0000e-03
 308     1.4908e-01     1.0000e-03
 307     1.5669e-01     1.0000e-03
 306     1.6399e-01     1.0000e-03
 305     1.7076e-01     1.0000e-03
 304     1.7732e-01     1.0000e-03
 303     1.8341e-01     1.0000e-03
 302     1.8924e-01     1.0000e-03
 301     1.9481e-01     1.0000e-03
 300     2.0029e-01     1.0000e-03
 299     2.0563e-01     1.0000e-03
 298     2.1097e-01     1.0000e-03
 297     2.1619e-01     1.0000e-03
 296     2.2125e-01     1.0000e-03
 295     2.2613e-01     1.0000e-03
 294     2.3103e-01     1.0000e-03
 293     2.3592e-01     1.0000e-03
 292     2.4078e-01     1.0000e-03
 291     2.4554e-01     1.0000e-03
 290     2.5035e-01     1.0000e-03
 289     2.5525e-01     1.0000e-03
 288     2.6002e-01     1.0000e-03
 287     2.6468e-01     1.0000e-03
 286     2.6941e-01     1.0000e-03
 285     2.7415e-01     1.0000e-03
 284     2.7878e-01     1.0000e-03
 283     2.8345e-01     1.0000e-03
 282     2.8808e-01     1.0000e-03
 281     2.9284e-01     1.0000e-03
 280     2.9748e-01     1.0000e-03
 279     3.0185e-01     1.0000e-03
 278     3.0624e-01     1.0000e-03
 277     3.1059e-01     1.0000e-03
 276     3.1489e-01     1.0000e-03
 275     3.1915e-01     1.0000e-03
 274     3.2351e-01     1.0000e-03
 273     3.2787e-01     1.0000e-03
 272     3.3229e-01     1.0000e-03
 271     3.3663e-01     1.0000e-03
 270     3.4108e-01     1.0000e-03
 269     3.4573e-01     1.0000e-03
 268     3.5032e-01     1.0000e-03
 267     3.5491e-01     1.0000e-03
 266     3.5960e-01     1.0000e-03
 265     3.6421e-01     1.0000e-03
 264     3.6879e-01     1.0000e-03
 263     3.7324e-01     1.0000e-03
 262     3.7781e-01     1.0000e-03
 261     3.8224e-01     1.0000e-03
 260     3.8680e-01     1.0000e-03
 259     3.9131e-01     1.0000e-03
 258     3.9584e-01     1.0000e-03
 257     4.0032e-01     1.0000e-03
 256     4.0498e-01     1.0000e-03
 255     4.0942e-01     1.0000e-03
 254     4.1398e-01     1.0000e-03
 253     4.1852e-01     1.0000e-03
 252     4.2303e-01     1.0000e-03
 251     4.2754e-01     1.0000e-03
 250     4.3192e-01     1.0000e-03
 249     4.3644e-01     1.0000e-03
 248     4.4106e-01     1.0000e-03
 247     4.4539e-01     1.0000e-03
 246     4.4984e-01     1.0000e-03
 245     4.5438e-01     1.0000e-03
 244     4.5894e-01     1.0000e-03
 243     4.6329e-01     1.0000e-03
 242     4.6780e-01     1.0000e-03
 241     4.7238e-01     1.0000e-03
 240     4.7702e-01     1.0000e-03
 239     4.8133e-01     1.0000e-03
 238     4.8587e-01     1.0000e-03
 237     4.9036e-01     1.0000e-03
 236     4.9484e-01     1.0000e-03
 235     4.9939e-01     1.0000e-03
 234     5.0371e-01     1.0000e-03
 233     5.0820e-01     1.0000e-03
 232     5.1263e-01     1.0000e-03
 231     5.1695e-01     1.0000e-03
 230     5.2141e-01     1.0000e-03
 229     5.2582e-01     1.0000e-03
 228     5.3027e-01     1.0000e-03
 227     5.3458e-01     1.0000e-03
 226     5.3902e-01     1.0000e-03
 225     5.4347e-01     1.0000e-03
 224     5.4792e-01     1.0000e-03
 223     5.5221e-01     1.0000e-03
 222     5.5645e-01     1.0000e-03
 221     5.6087e-01     1.0000e-03
 220     5.6523e-01     1.0000e-03
 219     5.6950e-01     1.0000e-03
 218     5.7386e-01     1.0000e-03
 217     5.7807e-01     1.0000e-03
 216     5.8239e-01     1.0000e-03
 215     5.8652e-01     1.0000e-03
 214     5.9077e-01     1.0000e-03
 213     5.9507e-01     1.0000e-03
 212     5.9937e-01     1.0000e-03
 211     6.0357e-01     1.0000e-03
 210     6.0783e-01     1.0000e-03
 209     6.1214e-01     1.0000e-03
 208     6.1628e-01     1.0000e-03
 207     6.2049e-01     1.0000e-03
 206     6.2479e-01     1.0000e-03
 205     6.2898e-01     1.0000e-03
 204     6.3318e-01     1.0000e-03
 203     6.3747e-01     1.0000e-03
 202     6.4173e-01     1.0000e-03
 201     6.4592e-01     1.0000e-03
 200     6.5020e-01     1.0000e-03
 199     6.5450e-01     1.0000e-03
 198     6.5876e-01     1.0000e-03
 197     6.6306e-01     1.0000e-03
 196     6.6738e-01     1.0000e-03
 195     6.7175e-01     1.0000e-03
 194     6.7601e-01     1.0000e-03
 193     6.8028e-01     1.0000e-03
 192     6.8457e-01     1.0000e-03
 191     6.8883e-01     1.0000e-03
 190     6.9324e-01     1.0000e-03
 189     6.9751e-01     1.0000e-03
 188     7.0186e-01     1.0000e-03
 187     7.0598e-01     1.0000e-03
 186     7.1030e-01     1.0000e-03
 185     7.1463e-01     1.0000e-03
 184     7.1896e-01     1.0000e-03
 183     7.2311e-01     1.0000e-03
 182     7.2740e-01     1.0000e-03
 181     7.3162e-01     1.0000e-03
 180     7.3588e-01     1.0000e-03
 179     7.4006e-01     1.0000e-03
 178     7.4431e-01     1.0000e-03
 177     7.4848e-01     1.0000e-03
 176     7.5262e-01     1.0000e-03
 175     7.5682e-01     1.0000e-03
 174     7.6103e-01     1.0000e-03
 173     7.6521e-01     1.0000e-03
 172     7.6939e-01     1.0000e-03
 171     7.7355e-01     1.0000e-03
 170     7.7768e-01     1.0000e-03
 169     7.8195e-01     1.0000e-03
 168     7.8623e-01     1.0000e-03
 167     7.9040e-01     1.0000e-03
 166     7.9467e-01     1.0000e-03
 165     7.9882e-01     1.0000e-03
 164     8.0298e-01     1.0000e-03
 163     8.0714e-01     1.0000e-03
 162     8.1139e-01     1.0000e-03
 161     8.1557e-01     1.0000e-03
 160     8.1984e-01     1.0000e-03
 159     8.2384e-01     1.0000e-03
 158     8.2801e-01     1.0000e-03
 157     8.3211e-01     1.0000e-03
 156     8.3636e-01     1.0000e-03
 155     8.4042e-01     1.0000e-03
 154     8.4466e-01     1.0000e-03
 153     8.4881e-01     1.0000e-03
 152     8.5298e-01     1.0000e-03
 151     8.5704e-01     1.0000e-03
 150     8.6117e-01     1.0000e-03
 149     8.6530e-01     1.0000e-03
 148     8.6952e-01     1.0000e-03
 147     8.7359e-01     1.0000e-03
 146     8.7777e-01     1.0000e-03
 145     8.8186e-01     1.0000e-03
 144     8.8601e-01     1.0000e-03
 143     8.9017e-01     1.0000e-03
 142     8.9416e-01     1.0000e-03
 141     8.9830e-01     1.0000e-03
 140     9.0239e-01     1.0000e-03
 139     9.0640e-01     1.0000e-03
 138     9.1062e-01     1.0000e-03
 137     9.1467e-01     1.0000e-03
 136     9.1880e-01     1.0000e-03
 135     9.2283e-01     1.0000e-03
 134     9.2684e-01     1.0000e-03
 133     9.3090e-01     1.0000e-03
 132     9.3496e-01     1.0000e-03
 131     9.3901e-01     1.0000e-03
 130     9.4316e-01     1.0000e-03
 129     9.4719e-01     1.0000e-03
 128     9.5134e-01     1.0000e-03
 127     9.5531e-01     1.0000e-03
 126     9.5936e-01     1.0000e-03
 125     9.6331e-01     1.0000e-03
 124     9.6719e-01     1.0000e-03
 123     9.7096e-01     1.0000e-03
 122     9.7465e-01     1.0000e-03
 121     9.7814e-01     1.0000e-03
 120     9.8145e-01     1.0000e-03
 119     9.8442e-01     1.0000e-03
 118     9.8720e-01     1.0000e-03
 117     9.8971e-01     1.0000e-03
 116     9.9199e-01     1.0000e-03
 115     9.9385e-01     1.0000e-03
 114     9.9548e-01     1.0000e-03
 113     9.9673e-01     1.0000e-03
 112     9.9771e-01     1.0000e-03
 111     9.9848e-01     1.0000e-03
 110     9.9906e-01     1.0000e-03
 109     9.9942e-01     1.0000e-03
 108     9.9964e-01     1.0000e-03
 107     9.9980e-01     1.0000e-03
 106     9.9991e-01     1.0000e-03
 105     9.9996e-01     1.0000e-03
 104     9.9998e-01     1.0000e-03
 103     9.9999e-01     1.0000e-03
 102     1.0000e+00     1.0000e-03
 101     1.0000e+00     1.0000e-03
 100     1.0000e+00     1.0000e-03
