  100  335
 335     1.2807e-06     1.0000e-03
 334     2.5613e-06     1.0000e-03
 333     2.5613e-06     1.0000e-03
 332     2.5613e-06     1.0000e-03
 331     2.5613e-06     1.0000e-03
 330     2.5613e-06     1.0000e-03
 329     7.6840e-06     1.0000e-03
 328     6.6594e-05     1.0000e-03
 327     4.4311e-04     1.0000e-03
 326     1.6713e-03     1.0000e-03
 325     4.0866e-03     1.0000e-03
 324     8.3012e-03     1.0000e-03
 323     1.4199e-02     1.0000e-03
 322     2.2040e-02     1.0000e-03
 321     3.0804e-02     1.0000e-03
 320     4.0543e-02     1.0000e-03
 319     5.0336e-02     1.0000e-03
 318     6.0177e-02     1.0000e-03
 317     6.9875e-02     1.0000e-03
 316     7.9629e-02     1.0000e-03
 315     8.8695e-02     1.0000e-03
 314     9.7431e-02     1.0000e-03
 313     1.0591e-01     1.0000e-03
 312     1.1382e-01     1.0000e-03
 311     1.2110e-01     1.0000e-03
 310     1.2828e-01     1.0000e-03
 309     1.3489e-01     1.0000e-03
 308     1.4142e-01     1.0000e-03
 307     1.4742e-01     1.0000e-03
 306     1.5331e-01     1.0000e-03
 305     1.5895e-01     1.0000e-03
 304     1.6462e-01     1.0000e-03
 303     1.6992e-01     1.0000e-03
 302     1.7528e-01     1.0000e-03
 301     1.8064e-01     1.0000e-03
 300     1.8600e-01     1.0000e-03
 299     1.9111e-01     1.0000e-03
 298     1.9622e-01     1.0000e-03
 297     2.0123e-01     1.0000e-03
 296     2.0635e-01     1.0000e-03
 295     2.1124e-01     1.0000e-03
 294     2.1612e-01     1.0000e-03
 293     2.2098e-01     1.0000e-03
 292     2.2611e-01     1.0000e-03
 291     2.3088e-01     1.0000e-03
 290     2.3578e-01     1.0000e-03
 289     2.4058e-01     1.0000e-03
 288     2.4556e-01     1.0000e-03
 287     2.5027e-01     1.0000e-03
 286     2.5508e-01     1.0000e-03
 285     2.5984e-01     1.0000e-03
 284     2.6482e-01     1.0000e-03
 283     2.6967e-01     1.0000e-03
 282     2.7449e-01     1.0000e-03
 281     2.7920e-01     1.0000e-03
 280     2.8411e-01     1.0000e-03
 279     2.8895e-01     1.0000e-03
 278     2.9385e-01     1.0000e-03
 277     2.9863e-01     1.0000e-03
 276     3.0356e-01     1.0000e-03
 275     3.0819e-01     1.0000e-03
 274     3.1294e-01     1.0000e-03
 273     3.1771e-01     1.0000e-03
 272     3.2245e-01     1.0000e-03
 271     3.2713e-01     1.0000e-03
 270     3.3177e-01     1.0000e-03
 269     3.3640e-01     1.0000e-03
 268     3.4117e-01     1.0000e-03
 267     3.4580e-01     1.0000e-03
 266     3.5033e-01     1.0000e-03
 265     3.5472e-01     1.0000e-03
 264     3.5926e-01     1.0000e-03
 263     3.6391e-01     1.0000e-03
 262     3.6874e-01     1.0000e-03
 261     3.7346e-01     1.0000e-03
 260     3.7809e-01     1.0000e-03
 259     3.8286e-01     1.0000e-03
 258     3.8766e-01     1.0000e-03
 257     3.9255e-01     1.0000e-03
 256     3.9730e-01     1.0000e-03
 255     4.0197e-01     1.0000e-03
 254     4.0658e-01     1.0000e-03
 253     4.1122e-01     1.0000e-03
 252     4.1590e-01     1.0000e-03
 251     4.2049e-01     1.0000e-03
 250     4.2511e-01     1.0000e-03
 249     4.2984e-01     1.0000e-03
 248     4.3457e-01     1.0000e-03
 247     4.3901e-01     1.0000e-03
 246     4.4364e-01     1.0000e-03
 245     4.4817e-01     1.0000e-03
 244     4.5277e-01     1.0000e-03
 243     4.5739e-01     1.0000e-03
 242     4.6196e-01     1.0000e-03
 241     4.6652e-01     1.0000e-03
 240     4.7125e-01     1.0000e-03
 239     4.7569e-01     1.0000e-03
 238     4.8029e-01     1.0000e-03
 237     4.8472e-01     1.0000e-03
 236     4.8939e-01     1.0000e-03
 235     4.9399e-01     1.0000e-03
 234     4.9866e-01     1.0000e-03
 233     5.0331e-01     1.0000e-03
 232     5.0804e-01     1.0000e-03
 231     5.1258e-01     1.0000e-03
