   95  315
 315     9.9251e-07     1.0000e-03
 314     2.9775e-06     1.0000e-03
 313     3.9701e-06     1.0000e-03
 312     3.0768e-05     1.0000e-03
 311     3.7616e-04     1.0000e-03
 310     1.9027e-03     1.0000e-03
 309     5.9501e-03     1.0000e-03
 308     1.3728e-02     1.0000e-03
 307     2.4650e-02     1.0000e-03
 306     3.7411e-02     1.0000e-03
 305     5.0140e-02     1.0000e-03
 304     6.2325e-02     1.0000e-03
 303     7.3368e-02     1.0000e-03
 302     8.4128e-02     1.0000e-03
 301     9.4447e-02     1.0000e-03
 300     1.0468e-01     1.0000e-03
 299     1.1443e-01     1.0000e-03
 298     1.2389e-01     1.0000e-03
 297     1.3314e-01     1.0000e-03
 296     1.4202e-01     1.0000e-03
 295     1.5027e-01     1.0000e-03
 294     1.5803e-01     1.0000e-03
 293     1.6548e-01     1.0000e-03
 292     1.7243e-01     1.0000e-03
 291     1.7894e-01     1.0000e-03
 290     1.8522e-01     1.0000e-03
 289     1.9117e-01     1.0000e-03
 288     1.9703e-01     1.0000e-03
 287     2.0262e-01     1.0000e-03
 286     2.0819e-01     1.0000e-03
 285     2.1346e-01     1.0000e-03
 284     2.1882e-01     1.0000e-03
 283     2.2392e-01     1.0000e-03
 282     2.2915e-01     1.0000e-03
 281     2.3425e-01     1.0000e-03
 280     2.3938e-01     1.0000e-03
 279     2.4433e-01     1.0000e-03
 278     2.4924e-01     1.0000e-03
 277     2.5428e-01     1.0000e-03
 276     2.5925e-01     1.0000e-03
 275     2.6416e-01     1.0000e-03
 274     2.6903e-01     1.0000e-03
 273     2.7377e-01     1.0000e-03
 272     2.7871e-01     1.0000e-03
 271     2.8337e-01     1.0000e-03
 270     2.8810e-01     1.0000e-03
 269     2.9264e-01     1.0000e-03
 268     2.9732e-01     1.0000e-03
 267     3.0185e-01     1.0000e-03
 266     3.0630e-01     1.0000e-03
 265     3.1084e-01     1.0000e-03
 264     3.1537e-01     1.0000e-03
 263     3.1973e-01     1.0000e-03
