   95  320
 320     0.0000e+00     1.0000e-03
 319     1.1347e-06     1.0000e-03
 318     2.2694e-06     1.0000e-03
 317     2.2694e-06     1.0000e-03
 316     1.7020e-05     1.0000e-03
 315     1.9290e-04     1.0000e-03
 314     9.5880e-04     1.0000e-03
 313     2.9978e-03     1.0000e-03
 312     6.9363e-03     1.0000e-03
 311     1.3300e-02     1.0000e-03
 310     2.1949e-02     1.0000e-03
 309     3.1798e-02     1.0000e-03
 308     4.2366e-02     1.0000e-03
 307     5.2515e-02     1.0000e-03
 306     6.2321e-02     1.0000e-03
 305     7.1755e-02     1.0000e-03
 304     8.0791e-02     1.0000e-03
 303     8.9245e-02     1.0000e-03
 302     9.7520e-02     1.0000e-03
 301     1.0558e-01     1.0000e-03
 300     1.1309e-01     1.0000e-03
 299     1.2022e-01     1.0000e-03
 298     1.2712e-01     1.0000e-03
 297     1.3369e-01     1.0000e-03
 296     1.3999e-01     1.0000e-03
 295     1.4599e-01     1.0000e-03
 294     1.5198e-01     1.0000e-03
 293     1.5779e-01     1.0000e-03
 292     1.6356e-01     1.0000e-03
 291     1.6901e-01     1.0000e-03
 290     1.7441e-01     1.0000e-03
 289     1.7980e-01     1.0000e-03
 288     1.8514e-01     1.0000e-03
 287     1.9042e-01     1.0000e-03
 286     1.9574e-01     1.0000e-03
 285     2.0094e-01     1.0000e-03
 284     2.0627e-01     1.0000e-03
 283     2.1140e-01     1.0000e-03
 282     2.1653e-01     1.0000e-03
 281     2.2141e-01     1.0000e-03
 280     2.2636e-01     1.0000e-03
 279     2.3132e-01     1.0000e-03
 278     2.3625e-01     1.0000e-03
 277     2.4125e-01     1.0000e-03
 276     2.4625e-01     1.0000e-03
 275     2.5131e-01     1.0000e-03
 274     2.5639e-01     1.0000e-03
 273     2.6123e-01     1.0000e-03
 272     2.6631e-01     1.0000e-03
 271     2.7123e-01     1.0000e-03
 270     2.7615e-01     1.0000e-03
 269     2.8121e-01     1.0000e-03
 268     2.8615e-01     1.0000e-03
 267     2.9110e-01     1.0000e-03
 266     2.9602e-01     1.0000e-03
 265     3.0089e-01     1.0000e-03
 264     3.0589e-01     1.0000e-03
 263     3.1066e-01     1.0000e-03
 262     3.1539e-01     1.0000e-03
 261     3.2021e-01     1.0000e-03
 260     3.2508e-01     1.0000e-03
 259     3.2995e-01     1.0000e-03
 258     3.3484e-01     1.0000e-03
 257     3.3978e-01     1.0000e-03
 256     3.4457e-01     1.0000e-03
 255     3.4916e-01     1.0000e-03
 254     3.5386e-01     1.0000e-03
 253     3.5855e-01     1.0000e-03
 252     3.6333e-01     1.0000e-03
 251     3.6802e-01     1.0000e-03
 250     3.7287e-01     1.0000e-03
 249     3.7782e-01     1.0000e-03
 248     3.8286e-01     1.0000e-03
 247     3.8771e-01     1.0000e-03
 246     3.9279e-01     1.0000e-03
 245     3.9768e-01     1.0000e-03
 244     4.0261e-01     1.0000e-03
 243     4.0750e-01     1.0000e-03
 242     4.1225e-01     1.0000e-03
 241     4.1710e-01     1.0000e-03
 240     4.2211e-01     1.0000e-03
 239     4.2683e-01     1.0000e-03
 238     4.3170e-01     1.0000e-03
 237     4.3648e-01     1.0000e-03
 236     4.4136e-01     1.0000e-03
 235     4.4632e-01     1.0000e-03
 234     4.5121e-01     1.0000e-03
 233     4.5592e-01     1.0000e-03
 232     4.6076e-01     1.0000e-03
 231     4.6540e-01     1.0000e-03
 230     4.7005e-01     1.0000e-03
 229     4.7485e-01     1.0000e-03
 228     4.7962e-01     1.0000e-03
 227     4.8434e-01     1.0000e-03
 226     4.8908e-01     1.0000e-03
 225     4.9392e-01     1.0000e-03
 224     4.9881e-01     1.0000e-03
 223     5.0357e-01     1.0000e-03
 222     5.0833e-01     1.0000e-03
 221     5.1299e-01     1.0000e-03
 220     5.1748e-01     1.0000e-03
 219     5.2213e-01     1.0000e-03
 218     5.2681e-01     1.0000e-03
 217     5.3142e-01     1.0000e-03
 216     5.3614e-01     1.0000e-03
 215     5.4087e-01     1.0000e-03
 214     5.4579e-01     1.0000e-03
 213     5.5048e-01     1.0000e-03
 212     5.5525e-01     1.0000e-03
 211     5.5981e-01     1.0000e-03
 210     5.6446e-01     1.0000e-03
 209     5.6905e-01     1.0000e-03
 208     5.7375e-01     1.0000e-03
 207     5.7832e-01     1.0000e-03
 206     5.8279e-01     1.0000e-03
 205     5.8715e-01     1.0000e-03
 204     5.9164e-01     1.0000e-03
 203     5.9610e-01     1.0000e-03
 202     6.0067e-01     1.0000e-03
 201     6.0528e-01     1.0000e-03
 200     6.1000e-01     1.0000e-03
 199     6.1454e-01     1.0000e-03
 198     6.1917e-01     1.0000e-03
 197     6.2376e-01     1.0000e-03
 196     6.2829e-01     1.0000e-03
 195     6.3274e-01     1.0000e-03
 194     6.3750e-01     1.0000e-03
 193     6.4202e-01     1.0000e-03
 192     6.4665e-01     1.0000e-03
 191     6.5133e-01     1.0000e-03
 190     6.5600e-01     1.0000e-03
