  100  500
 500     1.9303e-06     2.5019e-03
 499     4.5041e-06     2.5026e-03
 498     5.1475e-06     2.5006e-03
 497     6.4344e-06     2.5013e-03
 496     7.0778e-06     2.5006e-03
 495     1.0295e-05     2.5032e-03
 494     1.2869e-05     2.5026e-03
 493     1.4799e-05     2.5019e-03
 492     1.5443e-05     2.5006e-03
 491     1.6729e-05     2.5013e-03
 490     1.9303e-05     2.5026e-03
 489     1.9947e-05     2.5006e-03
 488     2.0590e-05     2.5006e-03
 487     2.0590e-05     2.5000e-03
 486     2.3807e-05     2.5032e-03
 485     2.5094e-05     2.5013e-03
 484     2.5738e-05     2.5006e-03
 483     2.7024e-05     2.5013e-03
 482     2.9598e-05     2.5026e-03
 481     2.9598e-05     2.5000e-03
 480     3.4102e-05     2.5045e-03
 479     3.5389e-05     2.5013e-03
 478     3.5389e-05     2.5000e-03
 477     3.5389e-05     2.5000e-03
 476     3.7320e-05     2.5019e-03
 475     3.9250e-05     2.5019e-03
 474     4.1824e-05     2.5026e-03
 473     4.3754e-05     2.5019e-03
 472     4.5684e-05     2.5019e-03
 471     4.7615e-05     2.5019e-03
 470     4.9545e-05     2.5019e-03
 469     5.0188e-05     2.5006e-03
 468     5.3406e-05     2.5032e-03
 467     5.4692e-05     2.5013e-03
 466     5.5979e-05     2.5013e-03
 465     5.8553e-05     2.5026e-03
 464     5.9840e-05     2.5013e-03
 463     6.3057e-05     2.5032e-03
 462     6.4988e-05     2.5019e-03
 461     6.4988e-05     2.5000e-03
 460     6.7561e-05     2.5026e-03
 459     6.9491e-05     2.5019e-03
 458     7.1422e-05     2.5019e-03
 457     7.2709e-05     2.5013e-03
 456     7.3996e-05     2.5013e-03
 455     7.6569e-05     2.5026e-03
 454     7.8500e-05     2.5019e-03
 453     8.0430e-05     2.5019e-03
 452     8.1073e-05     2.5006e-03
 451     8.3004e-05     2.5019e-03
 450     8.4934e-05     2.5019e-03
 449     8.6221e-05     2.5013e-03
 448     8.8795e-05     2.5026e-03
 447     9.1369e-05     2.5026e-03
 446     9.3299e-05     2.5019e-03
 445     9.5229e-05     2.5019e-03
 444     9.7803e-05     2.5026e-03
 443     1.0166e-04     2.5039e-03
 442     1.0359e-04     2.5019e-03
 441     1.0488e-04     2.5013e-03
 440     1.0681e-04     2.5019e-03
 439     1.0938e-04     2.5026e-03
 438     1.1003e-04     2.5006e-03
 437     1.1132e-04     2.5013e-03
 436     1.1453e-04     2.5032e-03
 435     1.1711e-04     2.5026e-03
 434     1.1904e-04     2.5019e-03
 433     1.2097e-04     2.5019e-03
 432     1.2161e-04     2.5006e-03
 431     1.2290e-04     2.5013e-03
 430     1.2547e-04     2.5026e-03
 429     1.2740e-04     2.5019e-03
 428     1.2933e-04     2.5019e-03
 427     1.3126e-04     2.5019e-03
 426     1.3319e-04     2.5019e-03
 425     1.3512e-04     2.5019e-03
 424     1.3641e-04     2.5013e-03
 423     1.3770e-04     2.5013e-03
 422     1.4027e-04     2.5026e-03
 421     1.4477e-04     2.5045e-03
 420     1.4735e-04     2.5026e-03
 419     1.4735e-04     2.5000e-03
 418     1.4735e-04     2.5000e-03
 417     1.4863e-04     2.5013e-03
 416     1.4928e-04     2.5006e-03
 415     1.5056e-04     2.5013e-03
 414     1.5185e-04     2.5013e-03
 413     1.5249e-04     2.5006e-03
 412     1.5507e-04     2.5026e-03
 411     1.5893e-04     2.5039e-03
 410     1.5957e-04     2.5006e-03
 409     1.6022e-04     2.5006e-03
 408     1.6086e-04     2.5006e-03
 407     1.6150e-04     2.5006e-03
 406     1.6279e-04     2.5013e-03
 405     1.6536e-04     2.5026e-03
 404     1.6536e-04     2.5000e-03
 403     1.6794e-04     2.5026e-03
 402     1.6923e-04     2.5013e-03
 401     1.7051e-04     2.5013e-03
 400     1.7180e-04     2.5013e-03
 399     1.7373e-04     2.5019e-03
 398     1.7437e-04     2.5006e-03
 397     1.7566e-04     2.5013e-03
 396     1.7695e-04     2.5013e-03
 395     1.7759e-04     2.5006e-03
 394     1.7952e-04     2.5019e-03
 393     1.8081e-04     2.5013e-03
 392     1.8274e-04     2.5019e-03
 391     1.8402e-04     2.5013e-03
 390     1.8660e-04     2.5026e-03
 389     1.8724e-04     2.5006e-03
 388     1.8724e-04     2.5000e-03
 387     1.8724e-04     2.5000e-03
 386     1.8788e-04     2.5006e-03
 385     1.9046e-04     2.5026e-03
 384     1.9303e-04     2.5026e-03
 383     1.9368e-04     2.5006e-03
 382     1.9561e-04     2.5019e-03
 381     1.9754e-04     2.5019e-03
 380     1.9882e-04     2.5013e-03
 379     2.0011e-04     2.5013e-03
 378     2.0204e-04     2.5019e-03
 377     2.0461e-04     2.5026e-03
 376     2.0719e-04     2.5026e-03
 375     2.0848e-04     2.5013e-03
 374     2.0976e-04     2.5013e-03
 373     2.1040e-04     2.5006e-03
 372     2.1105e-04     2.5006e-03
 371     2.1298e-04     2.5019e-03
 370     2.1427e-04     2.5013e-03
