  100  500
 500     0.0000e+00     2.5000e-03
 499     7.7321e-07     2.5008e-03
 498     7.7321e-07     2.5000e-03
 497     7.7321e-07     2.5000e-03
 496     7.7321e-07     2.5000e-03
 495     1.5464e-06     2.5008e-03
 494     3.0928e-06     2.5015e-03
 493     3.0928e-06     2.5000e-03
 492     4.6392e-06     2.5015e-03
 491     5.4125e-06     2.5008e-03
 490     5.4125e-06     2.5000e-03
 489     5.4125e-06     2.5000e-03
 488     5.4125e-06     2.5000e-03
 487     7.7321e-06     2.5023e-03
 486     7.7321e-06     2.5000e-03
 485     7.7321e-06     2.5000e-03
 484     7.7321e-06     2.5000e-03
 483     7.7321e-06     2.5000e-03
 482     8.5053e-06     2.5008e-03
 481     8.5053e-06     2.5000e-03
 480     9.2785e-06     2.5008e-03
 479     1.0052e-05     2.5008e-03
 478     1.0825e-05     2.5008e-03
 477     1.0825e-05     2.5000e-03
 476     1.1598e-05     2.5008e-03
 475     1.1598e-05     2.5000e-03
 474     1.1598e-05     2.5000e-03
 473     1.2371e-05     2.5008e-03
 472     1.3918e-05     2.5015e-03
 471     1.4691e-05     2.5008e-03
 470     1.4691e-05     2.5000e-03
 469     1.4691e-05     2.5000e-03
 468     1.5464e-05     2.5008e-03
 467     1.5464e-05     2.5000e-03
 466     1.6237e-05     2.5008e-03
 465     1.6237e-05     2.5000e-03
 464     1.6237e-05     2.5000e-03
 463     1.7011e-05     2.5008e-03
 462     1.7011e-05     2.5000e-03
 461     1.7011e-05     2.5000e-03
 460     1.7011e-05     2.5000e-03
 459     1.7011e-05     2.5000e-03
 458     1.7011e-05     2.5000e-03
 457     1.7784e-05     2.5008e-03
 456     1.7784e-05     2.5000e-03
 455     1.7784e-05     2.5000e-03
 454     1.8557e-05     2.5008e-03
 453     1.8557e-05     2.5000e-03
 452     1.8557e-05     2.5000e-03
 451     2.0103e-05     2.5015e-03
 450     2.0877e-05     2.5008e-03
 449     2.2423e-05     2.5015e-03
 448     2.2423e-05     2.5000e-03
 447     2.2423e-05     2.5000e-03
 446     2.3969e-05     2.5015e-03
 445     2.3969e-05     2.5000e-03
 444     2.4743e-05     2.5008e-03
 443     2.6289e-05     2.5015e-03
 442     2.7062e-05     2.5008e-03
 441     2.7835e-05     2.5008e-03
 440     2.7835e-05     2.5000e-03
 439     2.7835e-05     2.5000e-03
 438     2.7835e-05     2.5000e-03
 437     2.8609e-05     2.5008e-03
 436     2.9382e-05     2.5008e-03
 435     3.0928e-05     2.5015e-03
 434     3.1702e-05     2.5008e-03
 433     3.2475e-05     2.5008e-03
 432     3.4794e-05     2.5023e-03
 431     3.4794e-05     2.5000e-03
 430     3.4794e-05     2.5000e-03
 429     3.4794e-05     2.5000e-03
 428     3.5568e-05     2.5008e-03
 427     3.5568e-05     2.5000e-03
 426     3.5568e-05     2.5000e-03
 425     3.5568e-05     2.5000e-03
 424     3.5568e-05     2.5000e-03
 423     3.5568e-05     2.5000e-03
 422     3.5568e-05     2.5000e-03
 421     3.7114e-05     2.5015e-03
 420     3.7887e-05     2.5008e-03
 419     3.7887e-05     2.5000e-03
 418     3.8660e-05     2.5008e-03
 417     4.0980e-05     2.5023e-03
 416     4.0980e-05     2.5000e-03
 415     4.0980e-05     2.5000e-03
 414     4.1753e-05     2.5008e-03
 413     4.2526e-05     2.5008e-03
 412     4.3300e-05     2.5008e-03
 411     4.4073e-05     2.5008e-03
 410     4.4073e-05     2.5000e-03
 409     4.6392e-05     2.5023e-03
 408     4.6392e-05     2.5000e-03
 407     4.6392e-05     2.5000e-03
 406     4.7166e-05     2.5008e-03
 405     4.7166e-05     2.5000e-03
 404     4.9485e-05     2.5023e-03
 403     5.1032e-05     2.5015e-03
 402     5.1805e-05     2.5008e-03
 401     5.3351e-05     2.5015e-03
 400     5.3351e-05     2.5000e-03
 399     5.4124e-05     2.5008e-03
 398     5.5671e-05     2.5015e-03
 397     5.6444e-05     2.5008e-03
 396     5.6444e-05     2.5000e-03
 395     5.7217e-05     2.5008e-03
 394     5.7990e-05     2.5008e-03
 393     5.7990e-05     2.5000e-03
 392     5.7990e-05     2.5000e-03
 391     5.8764e-05     2.5008e-03
 390     6.0310e-05     2.5015e-03
 389     6.1857e-05     2.5015e-03
 388     6.1857e-05     2.5000e-03
 387     6.1857e-05     2.5000e-03
 386     6.2630e-05     2.5008e-03
 385     6.3403e-05     2.5008e-03
 384     6.4949e-05     2.5015e-03
 383     6.6496e-05     2.5015e-03
 382     6.8042e-05     2.5015e-03
 381     6.8815e-05     2.5008e-03
 380     6.8815e-05     2.5000e-03
 379     6.8815e-05     2.5000e-03
 378     6.8815e-05     2.5000e-03
 377     6.8815e-05     2.5000e-03
 376     6.8815e-05     2.5000e-03
 375     6.9589e-05     2.5008e-03
 374     7.0362e-05     2.5008e-03
 373     7.0362e-05     2.5000e-03
 372     7.0362e-05     2.5000e-03
 371     7.0362e-05     2.5000e-03
 370     7.0362e-05     2.5000e-03
 369     7.1135e-05     2.5008e-03
 368     7.1908e-05     2.5008e-03
 367     7.1908e-05     2.5000e-03
 366     7.3455e-05     2.5015e-03
 365     7.3455e-05     2.5000e-03
 364     7.3455e-05     2.5000e-03
 363     7.3455e-05     2.5000e-03
 362     7.4228e-05     2.5008e-03
 361     7.4228e-05     2.5000e-03
 360     7.5001e-05     2.5008e-03
 359     7.5001e-05     2.5000e-03
 358     7.6548e-05     2.5015e-03
 357     7.6548e-05     2.5000e-03
 356     7.6548e-05     2.5000e-03
 355     7.6548e-05     2.5000e-03
 354     7.6548e-05     2.5000e-03
 353     7.8867e-05     2.5023e-03
 352     7.8867e-05     2.5000e-03
 351     7.9640e-05     2.5008e-03
 350     8.0413e-05     2.5008e-03
 349     8.0413e-05     2.5000e-03
 348     8.0413e-05     2.5000e-03
 347     8.0413e-05     2.5000e-03
 346     8.0413e-05     2.5000e-03
 345     8.0413e-05     2.5000e-03
 344     8.1187e-05     2.5008e-03
 343     8.1960e-05     2.5008e-03
 342     8.1960e-05     2.5000e-03
 341     8.1960e-05     2.5000e-03
 340     8.4280e-05     2.5023e-03
 339     8.5053e-05     2.5008e-03
 338     8.7372e-05     2.5023e-03
 337     8.9692e-05     2.5023e-03
 336     9.1238e-05     2.5015e-03
 335     9.1238e-05     2.5000e-03
 334     9.1238e-05     2.5000e-03
 333     9.1238e-05     2.5000e-03
 332     9.2012e-05     2.5008e-03
 331     9.2012e-05     2.5000e-03
 330     9.2012e-05     2.5000e-03
 329     9.2012e-05     2.5000e-03
 328     9.2012e-05     2.5000e-03
 327     1.0825e-04     2.5162e-03
 326     2.5516e-04     2.6469e-03
 325     9.0156e-04     3.1464e-03
 324     2.5678e-03     4.1663e-03
 323     5.5501e-03     5.4823e-03
 322     9.9519e-03     6.9019e-03
 321     1.5773e-02     8.3215e-03
 320     2.3327e-02     1.0053e-02
 319     3.1791e-02     1.0964e-02
 318     4.1104e-02     1.1813e-02
 317     5.0910e-02     1.2306e-02
 316     6.1144e-02     1.2735e-02
 315     7.1413e-02     1.2769e-02
 314     8.1504e-02     1.2590e-02
 313     9.1211e-02     1.2208e-02
 312     1.0080e-01     1.2089e-02
 311     1.0961e-01     1.1309e-02
 310     1.1792e-01     1.0812e-02
 309     1.2580e-01     1.0375e-02
 308     1.3311e-01     9.8161e-03
 307     1.3990e-01     9.2841e-03
 306     1.4639e-01     8.9918e-03
 305     1.5265e-01     8.7591e-03
 304     1.5880e-01     8.6493e-03
 303     1.6464e-01     8.3416e-03
 302     1.7044e-01     8.3060e-03
 301     1.7595e-01     8.0068e-03
 300     1.8142e-01     7.9666e-03
 299     1.8684e-01     7.9186e-03
 298     1.9229e-01     7.9557e-03
 297     1.9749e-01     7.7021e-03
 296     2.0284e-01     7.8452e-03
 295     2.0785e-01     7.5127e-03
 294     2.1304e-01     7.6844e-03
 293     2.1817e-01     7.6326e-03
 292     2.2336e-01     7.6952e-03
 291     2.2836e-01     7.4941e-03
 290     2.3333e-01     7.4740e-03
 289     2.3830e-01     7.4725e-03
 288     2.4346e-01     7.6596e-03
 287     2.4833e-01     7.3697e-03
 286     2.5328e-01     7.4485e-03
 285     2.5818e-01     7.3952e-03
 284     2.6319e-01     7.5166e-03
 283     2.6810e-01     7.4044e-03
 282     2.7283e-01     7.2320e-03
 281     2.7767e-01     7.3356e-03
 280     2.8251e-01     7.3434e-03
 279     2.8726e-01     7.2537e-03
