  100  500
 500     1.9198e-06     2.5019e-03
 499     5.7595e-06     2.5038e-03
 498     8.3194e-06     2.5026e-03
 497     1.2799e-05     2.5045e-03
 496     1.8559e-05     2.5058e-03
 495     1.9838e-05     2.5013e-03
 494     2.2398e-05     2.5026e-03
 493     2.5598e-05     2.5032e-03
 492     2.9438e-05     2.5038e-03
 491     3.2638e-05     2.5032e-03
 490     3.5837e-05     2.5032e-03
 489     3.8397e-05     2.5026e-03
 488     4.0317e-05     2.5019e-03
 487     4.5436e-05     2.5051e-03
 486     5.0556e-05     2.5051e-03
 485     5.3756e-05     2.5032e-03
 484     5.8236e-05     2.5045e-03
 483     6.3995e-05     2.5058e-03
 482     6.9115e-05     2.5051e-03
 481     7.3594e-05     2.5045e-03
 480     7.6154e-05     2.5026e-03
 479     7.9994e-05     2.5038e-03
 478     8.3193e-05     2.5032e-03
 477     8.7033e-05     2.5038e-03
 476     9.3433e-05     2.5064e-03
 475     9.7912e-05     2.5045e-03
 474     1.0047e-04     2.5026e-03
 473     1.0623e-04     2.5058e-03
 472     1.0943e-04     2.5032e-03
 471     1.1007e-04     2.5006e-03
 470     1.1327e-04     2.5032e-03
 469     1.2223e-04     2.5090e-03
 468     1.2671e-04     2.5045e-03
 467     1.3375e-04     2.5070e-03
 466     1.3823e-04     2.5045e-03
 465     1.4079e-04     2.5026e-03
 464     1.4271e-04     2.5019e-03
 463     1.4783e-04     2.5051e-03
 462     1.5039e-04     2.5026e-03
 461     1.5167e-04     2.5013e-03
 460     1.5615e-04     2.5045e-03
 459     1.6127e-04     2.5051e-03
 458     1.6511e-04     2.5038e-03
 457     1.6767e-04     2.5026e-03
 456     1.7087e-04     2.5032e-03
 455     1.7215e-04     2.5013e-03
 454     1.7535e-04     2.5032e-03
 453     1.7727e-04     2.5019e-03
 452     1.8047e-04     2.5032e-03
 451     1.8559e-04     2.5051e-03
 450     1.8943e-04     2.5038e-03
 449     1.9390e-04     2.5045e-03
 448     1.9966e-04     2.5058e-03
 447     2.0158e-04     2.5019e-03
 446     2.0670e-04     2.5051e-03
 445     2.1310e-04     2.5064e-03
 444     2.1438e-04     2.5013e-03
 443     2.1886e-04     2.5045e-03
 442     2.2270e-04     2.5038e-03
 441     2.2398e-04     2.5013e-03
 440     2.2782e-04     2.5038e-03
 439     2.3102e-04     2.5032e-03
 438     2.3422e-04     2.5032e-03
 437     2.3614e-04     2.5019e-03
 436     2.3870e-04     2.5026e-03
 435     2.4126e-04     2.5026e-03
 434     2.4382e-04     2.5026e-03
 433     2.4830e-04     2.5045e-03
 432     2.5278e-04     2.5045e-03
 431     2.5662e-04     2.5038e-03
 430     2.5982e-04     2.5032e-03
 429     2.6686e-04     2.5070e-03
 428     2.7262e-04     2.5058e-03
 427     2.7518e-04     2.5026e-03
 426     2.7902e-04     2.5038e-03
 425     2.8222e-04     2.5032e-03
 424     2.8606e-04     2.5038e-03
 423     2.9054e-04     2.5045e-03
 422     2.9502e-04     2.5045e-03
 421     2.9822e-04     2.5032e-03
 420     2.9950e-04     2.5013e-03
 419     3.0526e-04     2.5058e-03
 418     3.1102e-04     2.5058e-03
 417     3.1486e-04     2.5038e-03
 416     3.1677e-04     2.5019e-03
 415     3.2062e-04     2.5038e-03
 414     3.2189e-04     2.5013e-03
 413     3.2638e-04     2.5045e-03
 412     3.3149e-04     2.5051e-03
 411     3.3341e-04     2.5019e-03
 410     3.3597e-04     2.5026e-03
 409     3.3725e-04     2.5013e-03
 408     3.4173e-04     2.5045e-03
 407     3.4429e-04     2.5026e-03
 406     3.4877e-04     2.5045e-03
 405     3.5261e-04     2.5038e-03
 404     3.5773e-04     2.5051e-03
 403     3.6029e-04     2.5026e-03
 402     3.6669e-04     2.5064e-03
 401     3.6925e-04     2.5026e-03
 400     3.7309e-04     2.5038e-03
 399     3.7693e-04     2.5038e-03
 398     3.8141e-04     2.5045e-03
 397     3.8333e-04     2.5019e-03
 396     3.8717e-04     2.5038e-03
 395     3.9101e-04     2.5038e-03
 394     3.9229e-04     2.5013e-03
 393     3.9485e-04     2.5026e-03
 392     3.9805e-04     2.5032e-03
 391     4.0125e-04     2.5032e-03
 390     4.0253e-04     2.5013e-03
 389     4.0445e-04     2.5019e-03
 388     4.0829e-04     2.5038e-03
 387     4.1021e-04     2.5019e-03
 386     4.1405e-04     2.5038e-03
 385     4.1789e-04     2.5038e-03
 384     4.2237e-04     2.5045e-03
 383     4.2813e-04     2.5058e-03
 382     4.3261e-04     2.5045e-03
 381     4.3581e-04     2.5032e-03
 380     4.3773e-04     2.5019e-03
 379     4.4093e-04     2.5032e-03
 378     4.4348e-04     2.5026e-03
 377     4.5117e-04     2.5077e-03
 376     4.5500e-04     2.5038e-03
 375     4.5948e-04     2.5045e-03
 374     4.6204e-04     2.5026e-03
 373     4.6588e-04     2.5038e-03
 372     4.7164e-04     2.5058e-03
 371     4.7548e-04     2.5038e-03
 370     4.7740e-04     2.5019e-03
 369     4.8316e-04     2.5058e-03
 368     4.8892e-04     2.5058e-03
 367     4.9148e-04     2.5026e-03
 366     4.9404e-04     2.5026e-03
 365     4.9852e-04     2.5045e-03
 364     5.0300e-04     2.5045e-03
 363     5.0620e-04     2.5032e-03
 362     5.1004e-04     2.5038e-03
 361     5.1324e-04     2.5032e-03
 360     5.1772e-04     2.5045e-03
 359     5.2220e-04     2.5045e-03
 358     5.2476e-04     2.5026e-03
 357     5.2796e-04     2.5032e-03
 356     5.3116e-04     2.5032e-03
 355     5.3308e-04     2.5019e-03
 354     5.3628e-04     2.5032e-03
 353     5.3756e-04     2.5013e-03
 352     5.4140e-04     2.5038e-03
 351     5.4524e-04     2.5038e-03
 350     5.4972e-04     2.5045e-03
 349     5.5164e-04     2.5019e-03
 348     5.5420e-04     2.5026e-03
 347     5.5676e-04     2.5026e-03
 346     5.6060e-04     2.5038e-03
 345     5.6508e-04     2.5045e-03
 344     5.6892e-04     2.5038e-03
 343     5.7339e-04     2.5045e-03
 342     5.7788e-04     2.5045e-03
 341     5.8236e-04     2.5045e-03
 340     5.8491e-04     2.5026e-03
 339     5.9003e-04     2.5051e-03
 338     5.9259e-04     2.5026e-03
 337     5.9451e-04     2.5019e-03
 336     5.9643e-04     2.5019e-03
 335     6.0027e-04     2.5038e-03
 334     6.0283e-04     2.5026e-03
 333     6.0859e-04     2.5058e-03
 332     6.1435e-04     2.5058e-03
 331     6.2011e-04     2.5058e-03
 330     6.2139e-04     2.5013e-03
 329     6.2779e-04     2.5064e-03
 328     6.3035e-04     2.5026e-03
 327     6.3547e-04     2.5051e-03
 326     6.3803e-04     2.5026e-03
 325     6.4187e-04     2.5038e-03
 324     6.4379e-04     2.5019e-03
 323     6.4891e-04     2.5051e-03
 322     6.5467e-04     2.5058e-03
 321     6.5915e-04     2.5045e-03
 320     6.6299e-04     2.5038e-03
 319     6.6619e-04     2.5032e-03
 318     6.7003e-04     2.5038e-03
 317     6.7259e-04     2.5026e-03
 316     6.7643e-04     2.5038e-03
 315     6.8027e-04     2.5038e-03
 314     6.8347e-04     2.5032e-03
 313     6.8731e-04     2.5038e-03
 312     6.8987e-04     2.5026e-03
 311     6.9371e-04     2.5038e-03
 310     7.2186e-04     2.5282e-03
 309     1.0892e-03     2.8673e-03
 308     2.8049e-03     4.2157e-03
 307     7.1866e-03     6.8817e-03
 306     1.5438e-02     1.0752e-02
 305     2.7133e-02     1.4194e-02
 304     4.0543e-02     1.5911e-02
 303     5.3625e-02     1.5582e-02
 302     6.5925e-02     1.4800e-02
 301     7.7488e-02     1.4063e-02
 300     8.8484e-02     1.3496e-02
 299     9.8863e-02     1.2879e-02
 298     1.0906e-01     1.2701e-02
 297     1.1915e-01     1.2582e-02
 296     1.2889e-01     1.2241e-02
 295     1.3807e-01     1.1683e-02
 294     1.4680e-01     1.1232e-02
