B field    Ex        Px        x         P0         delta P      brho1/brho2
(%)        (MeV)     (MeV/c)   (mm)      (MeV/c)    (MeV/c)      (-)
100        4.238     1242.20   -315.1    1213.15    29.05        1
100        6.010     1236.58   -240.4    1213.15    23.43        1
100        6.432     1235.23   -222.7    1213.15    22.08        1
100        7.349     1232.31   -184.0    1213.15    19.16        1
100        7.616     1231.45   -172.8    1213.15    18.3         1
100        8.358     1229.08   -141.6    1213.15    15.93        1
100        8.438     1228.82   -138.5    1213.15    15.67        1
101        0         1255.55   -330.1    1225.19    30.36        1.010
101        1.369     1251.25   -273.8    1225.19    26.06        1.010
101        4.238     1242.20   -155.3    1225.19    17.01        1.010
101        6.010     1236.58   -82.2     1225.19    11.39        1.010
101        6.432     1235.23   -64.9     1225.19    10.04        1.010
101        7.349     1232.31   -27.2     1225.19    7.12         1.010
101        7.616     1231.45   -16.1     1225.19    6.26         1.010
101        8.358     1229.08   14.3      1225.19    3.89         1.010
101        8.438     1228.82   17.3      1225.19    3.63         1.010
102        0         1255.55   -171.7    1237.36    18.19        1.021
102        4.238     1242.20   -0.8      1237.36    4.84         1.021
102        6.010     1236.58   70.5      1237.36    -0.78        1.021
102        6.432     1235.23   87.5      1237.36    -2.13        1.021
102        7.349     1232.31   124.3     1237.36    -5.05        1.021
102        7.616     1231.45   135.2     1237.36    -5.91        1.021
102        8.358     1229.08   164.9     1237.36    -8.28        1.021
102        8.438     1228.82   167.8     1237.36    -8.54        1.021
