  100  500
 500     0.0000e+00     2.5000e-03
 499     7.0684e-07     2.5007e-03
 498     7.0684e-07     2.5000e-03
 497     1.4137e-06     2.5007e-03
 496     2.8273e-06     2.5014e-03
 495     2.8273e-06     2.5000e-03
 494     2.8273e-06     2.5000e-03
 493     3.5342e-06     2.5007e-03
 492     4.2410e-06     2.5007e-03
 491     4.9479e-06     2.5007e-03
 490     4.9479e-06     2.5000e-03
 489     4.9479e-06     2.5000e-03
 488     4.9479e-06     2.5000e-03
 487     5.6547e-06     2.5007e-03
 486     6.3615e-06     2.5007e-03
 485     7.0684e-06     2.5007e-03
 484     8.4820e-06     2.5014e-03
 483     9.1889e-06     2.5007e-03
 482     9.8957e-06     2.5007e-03
 481     1.0603e-05     2.5007e-03
 480     1.2016e-05     2.5014e-03
 479     1.2723e-05     2.5007e-03
 478     1.2723e-05     2.5000e-03
 477     1.3430e-05     2.5007e-03
 476     1.3430e-05     2.5000e-03
 475     1.5550e-05     2.5021e-03
 474     1.6257e-05     2.5007e-03
 473     1.8378e-05     2.5021e-03
 472     1.8378e-05     2.5000e-03
 471     1.8378e-05     2.5000e-03
 470     1.8378e-05     2.5000e-03
 469     1.9085e-05     2.5007e-03
 468     2.1912e-05     2.5028e-03
 467     2.1912e-05     2.5000e-03
 466     2.2619e-05     2.5007e-03
 465     2.2619e-05     2.5000e-03
 464     2.4032e-05     2.5014e-03
 463     2.5446e-05     2.5014e-03
 462     2.6153e-05     2.5007e-03
 461     2.6153e-05     2.5000e-03
 460     2.6860e-05     2.5007e-03
 459     2.8980e-05     2.5021e-03
 458     2.9687e-05     2.5007e-03
 457     2.9687e-05     2.5000e-03
 456     2.9687e-05     2.5000e-03
 455     3.1101e-05     2.5014e-03
 454     3.1808e-05     2.5007e-03
 453     3.2514e-05     2.5007e-03
 452     3.2514e-05     2.5000e-03
 451     3.2514e-05     2.5000e-03
 450     3.3221e-05     2.5007e-03
 449     3.3928e-05     2.5007e-03
 448     3.3928e-05     2.5000e-03
 447     3.3928e-05     2.5000e-03
 446     3.5342e-05     2.5014e-03
 445     3.5342e-05     2.5000e-03
 444     3.5342e-05     2.5000e-03
 443     3.6755e-05     2.5014e-03
 442     3.7462e-05     2.5007e-03
 441     3.8169e-05     2.5007e-03
 440     3.9583e-05     2.5014e-03
 439     4.0290e-05     2.5007e-03
 438     4.1703e-05     2.5014e-03
 437     4.2410e-05     2.5007e-03
 436     4.3117e-05     2.5007e-03
 435     4.3117e-05     2.5000e-03
 434     4.3117e-05     2.5000e-03
 433     4.3117e-05     2.5000e-03
 432     4.6651e-05     2.5035e-03
 431     4.6651e-05     2.5000e-03
 430     4.6651e-05     2.5000e-03
 429     4.7358e-05     2.5007e-03
 428     4.8065e-05     2.5007e-03
 427     4.8772e-05     2.5007e-03
 426     5.0185e-05     2.5014e-03
