  170  395
 395     2.2899e-04     1.0000e-03
 394     4.3206e-04     1.0000e-03
 393     7.1723e-04     1.0000e-03
 392     9.7647e-04     1.0000e-03
 391     1.2400e-03     1.0000e-03
 390     1.7585e-03     1.0000e-03
 389     2.7134e-03     1.0000e-03
 388     4.7570e-03     1.0000e-03
 387     8.7018e-03     1.0000e-03
 386     1.4686e-02     1.0000e-03
 385     2.1923e-02     1.0000e-03
 384     3.0111e-02     1.0000e-03
 383     3.7892e-02     1.0000e-03
 382     4.5764e-02     1.0000e-03
 381     5.3265e-02     1.0000e-03
 380     6.0891e-02     1.0000e-03
 379     6.7925e-02     1.0000e-03
 378     7.4946e-02     1.0000e-03
 377     8.1617e-02     1.0000e-03
 376     8.8552e-02     1.0000e-03
 375     9.5128e-02     1.0000e-03
 374     1.0147e-01     1.0000e-03
 373     1.0759e-01     1.0000e-03
 372     1.1381e-01     1.0000e-03
 371     1.1972e-01     1.0000e-03
 370     1.2582e-01     1.0000e-03
 369     1.3125e-01     1.0000e-03
 368     1.3664e-01     1.0000e-03
 367     1.4212e-01     1.0000e-03
 366     1.4770e-01     1.0000e-03
 365     1.5293e-01     1.0000e-03
 364     1.5858e-01     1.0000e-03
 363     1.6392e-01     1.0000e-03
 362     1.6920e-01     1.0000e-03
 361     1.7443e-01     1.0000e-03
 360     1.7966e-01     1.0000e-03
 359     1.8470e-01     1.0000e-03
 358     1.8988e-01     1.0000e-03
 357     1.9495e-01     1.0000e-03
 356     2.0020e-01     1.0000e-03
 355     2.0509e-01     1.0000e-03
 354     2.1001e-01     1.0000e-03
 353     2.1509e-01     1.0000e-03
 352     2.2011e-01     1.0000e-03
 351     2.2513e-01     1.0000e-03
 350     2.3058e-01     1.0000e-03
 349     2.3549e-01     1.0000e-03
 348     2.4056e-01     1.0000e-03
 347     2.4551e-01     1.0000e-03
 346     2.5093e-01     1.0000e-03
 345     2.5587e-01     1.0000e-03
 344     2.6089e-01     1.0000e-03
 343     2.6600e-01     1.0000e-03
 342     2.7088e-01     1.0000e-03
 341     2.7600e-01     1.0000e-03
 340     2.8124e-01     1.0000e-03
 339     2.8608e-01     1.0000e-03
 338     2.9134e-01     1.0000e-03
 337     2.9630e-01     1.0000e-03
 336     3.0135e-01     1.0000e-03
 335     3.0654e-01     1.0000e-03
 334     3.1164e-01     1.0000e-03
 333     3.1671e-01     1.0000e-03
 332     3.2192e-01     1.0000e-03
 331     3.2682e-01     1.0000e-03
 330     3.3198e-01     1.0000e-03
 329     3.3721e-01     1.0000e-03
 328     3.4230e-01     1.0000e-03
 327     3.4726e-01     1.0000e-03
 326     3.5220e-01     1.0000e-03
 325     3.5734e-01     1.0000e-03
 324     3.6254e-01     1.0000e-03
 323     3.6755e-01     1.0000e-03
 322     3.7265e-01     1.0000e-03
 321     3.7776e-01     1.0000e-03
 320     3.8252e-01     1.0000e-03
 319     3.8743e-01     1.0000e-03
 318     3.9240e-01     1.0000e-03
 317     3.9715e-01     1.0000e-03
 316     4.0233e-01     1.0000e-03
 315     4.0738e-01     1.0000e-03
 314     4.1269e-01     1.0000e-03
 313     4.1772e-01     1.0000e-03
 312     4.2272e-01     1.0000e-03
 311     4.2785e-01     1.0000e-03
 310     4.3273e-01     1.0000e-03
 309     4.3749e-01     1.0000e-03
 308     4.4255e-01     1.0000e-03
 307     4.4746e-01     1.0000e-03
 306     4.5230e-01     1.0000e-03
 305     4.5735e-01     1.0000e-03
 304     4.6254e-01     1.0000e-03
 303     4.6756e-01     1.0000e-03
 302     4.7228e-01     1.0000e-03
 301     4.7737e-01     1.0000e-03
 300     4.8274e-01     1.0000e-03
 299     4.8773e-01     1.0000e-03
 298     4.9266e-01     1.0000e-03
 297     4.9755e-01     1.0000e-03
 296     5.0270e-01     1.0000e-03
