  160  390
 390     4.9481e-04     1.0000e-03
 389     1.0234e-03     1.0000e-03
 388     1.6282e-03     1.0000e-03
 387     2.5079e-03     1.0000e-03
 386     4.0727e-03     1.0000e-03
 385     6.8047e-03     1.0000e-03
 384     1.1254e-02     1.0000e-03
 383     1.6874e-02     1.0000e-03
 382     2.3599e-02     1.0000e-03
 381     3.1021e-02     1.0000e-03
 380     3.8384e-02     1.0000e-03
 379     4.5269e-02     1.0000e-03
 378     5.2141e-02     1.0000e-03
 377     5.8865e-02     1.0000e-03
 376     6.5437e-02     1.0000e-03
 375     7.1595e-02     1.0000e-03
 374     7.7968e-02     1.0000e-03
 373     8.4113e-02     1.0000e-03
 372     9.0085e-02     1.0000e-03
 371     9.5904e-02     1.0000e-03
 370     1.0195e-01     1.0000e-03
 369     1.0748e-01     1.0000e-03
 368     1.1271e-01     1.0000e-03
 367     1.1798e-01     1.0000e-03
 366     1.2316e-01     1.0000e-03
 365     1.2825e-01     1.0000e-03
 364     1.3356e-01     1.0000e-03
 363     1.3859e-01     1.0000e-03
 362     1.4353e-01     1.0000e-03
 361     1.4838e-01     1.0000e-03
 360     1.5329e-01     1.0000e-03
 359     1.5828e-01     1.0000e-03
 358     1.6319e-01     1.0000e-03
 357     1.6779e-01     1.0000e-03
 356     1.7252e-01     1.0000e-03
 355     1.7737e-01     1.0000e-03
 354     1.8220e-01     1.0000e-03
 353     1.8706e-01     1.0000e-03
 352     1.9204e-01     1.0000e-03
 351     1.9692e-01     1.0000e-03
 350     2.0198e-01     1.0000e-03
 349     2.0723e-01     1.0000e-03
 348     2.1248e-01     1.0000e-03
 347     2.1760e-01     1.0000e-03
 346     2.2242e-01     1.0000e-03
 345     2.2721e-01     1.0000e-03
 344     2.3220e-01     1.0000e-03
 343     2.3725e-01     1.0000e-03
 342     2.4248e-01     1.0000e-03
 341     2.4771e-01     1.0000e-03
 340     2.5249e-01     1.0000e-03
 339     2.5751e-01     1.0000e-03
 338     2.6247e-01     1.0000e-03
 337     2.6773e-01     1.0000e-03
 336     2.7279e-01     1.0000e-03
 335     2.7785e-01     1.0000e-03
 334     2.8281e-01     1.0000e-03
 333     2.8746e-01     1.0000e-03
 332     2.9252e-01     1.0000e-03
 331     2.9732e-01     1.0000e-03
 330     3.0228e-01     1.0000e-03
 329     3.0704e-01     1.0000e-03
 328     3.1192e-01     1.0000e-03
 327     3.1683e-01     1.0000e-03
 326     3.2190e-01     1.0000e-03
 325     3.2698e-01     1.0000e-03
 324     3.3203e-01     1.0000e-03
 323     3.3722e-01     1.0000e-03
 322     3.4207e-01     1.0000e-03
 321     3.4688e-01     1.0000e-03
 320     3.5206e-01     1.0000e-03
 319     3.5686e-01     1.0000e-03
 318     3.6158e-01     1.0000e-03
 317     3.6657e-01     1.0000e-03
 316     3.7151e-01     1.0000e-03
 315     3.7633e-01     1.0000e-03
 314     3.8112e-01     1.0000e-03
 313     3.8579e-01     1.0000e-03
 312     3.9074e-01     1.0000e-03
 311     3.9588e-01     1.0000e-03
 310     4.0070e-01     1.0000e-03
 309     4.0533e-01     1.0000e-03
