  155  375
 375     9.9999e-05     1.0000e-03
 374     2.4800e-04     1.0000e-03
 373     3.8000e-04     1.0000e-03
 372     4.7200e-04     1.0000e-03
 371     6.0799e-04     1.0000e-03
 370     7.3999e-04     1.0000e-03
 369     8.5599e-04     1.0000e-03
 368     1.1080e-03     1.0000e-03
 367     1.6720e-03     1.0000e-03
 366     3.0680e-03     1.0000e-03
 365     5.8360e-03     1.0000e-03
 364     1.0660e-02     1.0000e-03
 363     1.7228e-02     1.0000e-03
 362     2.5092e-02     1.0000e-03
 361     3.4224e-02     1.0000e-03
 360     4.3320e-02     1.0000e-03
 359     5.1736e-02     1.0000e-03
 358     6.0136e-02     1.0000e-03
 357     6.8236e-02     1.0000e-03
 356     7.6239e-02     1.0000e-03
 355     8.3671e-02     1.0000e-03
 354     9.0959e-02     1.0000e-03
 353     9.8407e-02     1.0000e-03
 352     1.0559e-01     1.0000e-03
 351     1.1217e-01     1.0000e-03
 350     1.1859e-01     1.0000e-03
 349     1.2517e-01     1.0000e-03
 348     1.3168e-01     1.0000e-03
 347     1.3785e-01     1.0000e-03
 346     1.4374e-01     1.0000e-03
 345     1.4955e-01     1.0000e-03
 344     1.5533e-01     1.0000e-03
 343     1.6130e-01     1.0000e-03
 342     1.6684e-01     1.0000e-03
 341     1.7241e-01     1.0000e-03
 340     1.7802e-01     1.0000e-03
 339     1.8352e-01     1.0000e-03
 338     1.8898e-01     1.0000e-03
 337     1.9442e-01     1.0000e-03
 336     1.9977e-01     1.0000e-03
 335     2.0517e-01     1.0000e-03
 334     2.1034e-01     1.0000e-03
 333     2.1574e-01     1.0000e-03
 332     2.2131e-01     1.0000e-03
 331     2.2667e-01     1.0000e-03
 330     2.3223e-01     1.0000e-03
 329     2.3785e-01     1.0000e-03
 328     2.4325e-01     1.0000e-03
 327     2.4859e-01     1.0000e-03
 326     2.5393e-01     1.0000e-03
 325     2.5903e-01     1.0000e-03
 324     2.6446e-01     1.0000e-03
 323     2.6956e-01     1.0000e-03
 322     2.7471e-01     1.0000e-03
 321     2.7989e-01     1.0000e-03
 320     2.8516e-01     1.0000e-03
 319     2.9028e-01     1.0000e-03
 318     2.9555e-01     1.0000e-03
 317     3.0077e-01     1.0000e-03
 316     3.0605e-01     1.0000e-03
 315     3.1131e-01     1.0000e-03
 314     3.1664e-01     1.0000e-03
 313     3.2179e-01     1.0000e-03
 312     3.2687e-01     1.0000e-03
 311     3.3232e-01     1.0000e-03
 310     3.3773e-01     1.0000e-03
 309     3.4295e-01     1.0000e-03
 308     3.4826e-01     1.0000e-03
 307     3.5354e-01     1.0000e-03
 306     3.5857e-01     1.0000e-03
 305     3.6371e-01     1.0000e-03
 304     3.6885e-01     1.0000e-03
 303     3.7406e-01     1.0000e-03
 302     3.7922e-01     1.0000e-03
 301     3.8423e-01     1.0000e-03
 300     3.8929e-01     1.0000e-03
 299     3.9413e-01     1.0000e-03
 298     3.9925e-01     1.0000e-03
 297     4.0425e-01     1.0000e-03
 296     4.0947e-01     1.0000e-03
 295     4.1494e-01     1.0000e-03
 294     4.2007e-01     1.0000e-03
 293     4.2531e-01     1.0000e-03
 292     4.3028e-01     1.0000e-03
 291     4.3561e-01     1.0000e-03
 290     4.4078e-01     1.0000e-03
 289     4.4611e-01     1.0000e-03
 288     4.5158e-01     1.0000e-03
 287     4.5664e-01     1.0000e-03
 286     4.6181e-01     1.0000e-03
 285     4.6680e-01     1.0000e-03
 284     4.7173e-01     1.0000e-03
 283     4.7686e-01     1.0000e-03
 282     4.8190e-01     1.0000e-03
 281     4.8708e-01     1.0000e-03
 280     4.9205e-01     1.0000e-03
 279     4.9720e-01     1.0000e-03
 278     5.0216e-01     1.0000e-03
 277     5.0731e-01     1.0000e-03
 276     5.1236e-01     1.0000e-03
 275     5.1753e-01     1.0000e-03
 274     5.2253e-01     1.0000e-03
 273     5.2768e-01     1.0000e-03
 272     5.3260e-01     1.0000e-03
 271     5.3774e-01     1.0000e-03
 270     5.4283e-01     1.0000e-03
 269     5.4770e-01     1.0000e-03
 268     5.5296e-01     1.0000e-03
 267     5.5784e-01     1.0000e-03
 266     5.6302e-01     1.0000e-03
 265     5.6814e-01     1.0000e-03
 264     5.7327e-01     1.0000e-03
 263     5.7814e-01     1.0000e-03
 262     5.8337e-01     1.0000e-03
 261     5.8830e-01     1.0000e-03
 260     5.9320e-01     1.0000e-03
