  155  380
 380     1.5889e-04     1.0000e-03
 379     3.0106e-04     1.0000e-03
 378     4.6831e-04     1.0000e-03
 377     5.8957e-04     1.0000e-03
 376     7.3591e-04     1.0000e-03
 375     8.5299e-04     1.0000e-03
 374     1.0453e-03     1.0000e-03
 373     1.4008e-03     1.0000e-03
 372     2.3875e-03     1.0000e-03
 371     4.7458e-03     1.0000e-03
 370     8.7139e-03     1.0000e-03
 369     1.4538e-02     1.0000e-03
 368     2.1730e-02     1.0000e-03
 367     2.9541e-02     1.0000e-03
 366     3.7431e-02     1.0000e-03
 365     4.4795e-02     1.0000e-03
 364     5.2451e-02     1.0000e-03
 363     5.9421e-02     1.0000e-03
 362     6.6295e-02     1.0000e-03
 361     7.2722e-02     1.0000e-03
 360     7.9592e-02     1.0000e-03
 359     8.5688e-02     1.0000e-03
 358     9.1893e-02     1.0000e-03
 357     9.8061e-02     1.0000e-03
 356     1.0395e-01     1.0000e-03
 355     1.0990e-01     1.0000e-03
 354     1.1546e-01     1.0000e-03
 353     1.2115e-01     1.0000e-03
 352     1.2679e-01     1.0000e-03
 351     1.3177e-01     1.0000e-03
 350     1.3715e-01     1.0000e-03
 349     1.4227e-01     1.0000e-03
 348     1.4771e-01     1.0000e-03
 347     1.5285e-01     1.0000e-03
 346     1.5821e-01     1.0000e-03
 345     1.6351e-01     1.0000e-03
 344     1.6870e-01     1.0000e-03
 343     1.7398e-01     1.0000e-03
 342     1.7902e-01     1.0000e-03
 341     1.8422e-01     1.0000e-03
 340     1.8947e-01     1.0000e-03
 339     1.9505e-01     1.0000e-03
 338     2.0030e-01     1.0000e-03
 337     2.0554e-01     1.0000e-03
 336     2.1076e-01     1.0000e-03
 335     2.1574e-01     1.0000e-03
 334     2.2096e-01     1.0000e-03
 333     2.2574e-01     1.0000e-03
 332     2.3095e-01     1.0000e-03
 331     2.3610e-01     1.0000e-03
 330     2.4116e-01     1.0000e-03
 329     2.4644e-01     1.0000e-03
 328     2.5156e-01     1.0000e-03
 327     2.5671e-01     1.0000e-03
 326     2.6198e-01     1.0000e-03
 325     2.6721e-01     1.0000e-03
 324     2.7253e-01     1.0000e-03
 323     2.7772e-01     1.0000e-03
 322     2.8287e-01     1.0000e-03
 321     2.8774e-01     1.0000e-03
 320     2.9285e-01     1.0000e-03
 319     2.9795e-01     1.0000e-03
 318     3.0323e-01     1.0000e-03
 317     3.0846e-01     1.0000e-03
 316     3.1368e-01     1.0000e-03
 315     3.1872e-01     1.0000e-03
 314     3.2402e-01     1.0000e-03
 313     3.2903e-01     1.0000e-03
 312     3.3470e-01     1.0000e-03
 311     3.3989e-01     1.0000e-03
 310     3.4494e-01     1.0000e-03
 309     3.5026e-01     1.0000e-03
 308     3.5552e-01     1.0000e-03
 307     3.6073e-01     1.0000e-03
 306     3.6596e-01     1.0000e-03
 305     3.7108e-01     1.0000e-03
 304     3.7645e-01     1.0000e-03
 303     3.8165e-01     1.0000e-03
 302     3.8689e-01     1.0000e-03
 301     3.9209e-01     1.0000e-03
 300     3.9732e-01     1.0000e-03
 299     4.0268e-01     1.0000e-03
 298     4.0801e-01     1.0000e-03
 297     4.1313e-01     1.0000e-03
 296     4.1840e-01     1.0000e-03
 295     4.2362e-01     1.0000e-03
 294     4.2871e-01     1.0000e-03
 293     4.3397e-01     1.0000e-03
 292     4.3905e-01     1.0000e-03
 291     4.4402e-01     1.0000e-03
 290     4.4910e-01     1.0000e-03
 289     4.5413e-01     1.0000e-03
 288     4.5924e-01     1.0000e-03
 287     4.6422e-01     1.0000e-03
 286     4.6934e-01     1.0000e-03
 285     4.7429e-01     1.0000e-03
 284     4.7921e-01     1.0000e-03
 283     4.8440e-01     1.0000e-03
 282     4.8949e-01     1.0000e-03
 281     4.9462e-01     1.0000e-03
 280     4.9986e-01     1.0000e-03
 279     5.0513e-01     1.0000e-03
 278     5.1011e-01     1.0000e-03
 277     5.1527e-01     1.0000e-03
 276     5.2029e-01     1.0000e-03
 275     5.2542e-01     1.0000e-03
 274     5.3036e-01     1.0000e-03
 273     5.3551e-01     1.0000e-03
 272     5.4095e-01     1.0000e-03
 271     5.4581e-01     1.0000e-03
 270     5.5092e-01     1.0000e-03
 269     5.5627e-01     1.0000e-03
 268     5.6174e-01     1.0000e-03
 267     5.6717e-01     1.0000e-03
 266     5.7252e-01     1.0000e-03
 265     5.7775e-01     1.0000e-03
 264     5.8301e-01     1.0000e-03
 263     5.8824e-01     1.0000e-03
 262     5.9342e-01     1.0000e-03
 261     5.9827e-01     1.0000e-03
 260     6.0318e-01     1.0000e-03
 259     6.0802e-01     1.0000e-03
 258     6.1320e-01     1.0000e-03
 257     6.1867e-01     1.0000e-03
 256     6.2415e-01     1.0000e-03
 255     6.2921e-01     1.0000e-03
 254     6.3438e-01     1.0000e-03
 253     6.3920e-01     1.0000e-03
 252     6.4450e-01     1.0000e-03
 251     6.4955e-01     1.0000e-03
 250     6.5486e-01     1.0000e-03
 249     6.6013e-01     1.0000e-03
 248     6.6536e-01     1.0000e-03
 247     6.7041e-01     1.0000e-03
 246     6.7575e-01     1.0000e-03
 245     6.8127e-01     1.0000e-03
 244     6.8647e-01     1.0000e-03
